"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10
13603,0,1.51,2.407,1.7056,0.13,0.05,0.97,0,-0,-0,1626,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,410,25,0,0,0,0,0,0,,,,,
13623,0,1.513,2.415,1.6993,0.14,0.04,0.98,0,-0,-0,1626,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,410,25,0,0,0,0,0,0,,,,,
13643,0,1.498,2.398,1.6993,0.13,0.04,1.03,-0,-0,-0,1626,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,410,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
13663,0,1.525,2.396,1.7031,0.13,0.05,1.0,0,-0,-0,1722,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,402,26,0,0,0,0,0,0,,,,,
13683,0,1.513,2.412,1.7132,0.14,0.04,0.99,-0,-0,-0,1722,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,402,26,0,0,0,0,0,0,,,,,
13703,0,1.502,2.408,1.6943,0.15,0.04,1.03,-0,0,-0,1722,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,402,26,0,0,0,0,0,0,,,,,
13723,0,1.518,2.423,1.678,0.15,0.03,1.02,-0,0,-0,1722,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,402,26,0,0,0,0,0,0,,,,,
13743,0,1.516,2.412,1.683,0.15,0.04,0.99,0,0,-0,1722,0,81,24,91,515,0.0,300,300,60,112.0,0,0,28,402,26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
13763,0,1.513,2.416,1.7107,0.16,0.04,0.95,-0,-0,-0,1741,0,81,24,90,511,0.0,300,300,60,110.0,0,0,28,400,26,0,0,0,0,0,0,,,,,
13783,0,1.512,2.408,1.7081,0.15,0.04,0.96,-0,-0,-0,1741,0,81,24,90,511,0.0,300,300,60,110.0,0,0,28,400,26,0,0,0,0,0,0,,,,,
13803,0,1.51,2.412,1.7031,0.16,0.04,0.96,-0,-0,-0,1741,0,81,24,90,511,0.0,300,300,60,110.0,0,0,28,400,26,0,0,0,0,0,0,,,,,
13823,0,1.512,2.406,1.7006,0.15,0.04,0.98,-0,-0,-0,1741,0,81,24,90,511,0.0,300,300,60,110.0,0,0,28,400,26,0,0,0,0,0,0,,,,,
13843,0,1.525,2.401,1.7182,0.15,0.03,0.97,-0,-1,-0,1741,0,81,24,90,511,0.0,300,300,60,110.0,0,0,28,400,26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
13863,0,1.512,2.404,1.688,0.14,0.03,0.98,-0,-0,-0,1812,0,81,24,91,512,0.0,300,300,60,112.0,0,0,28,393,27,0,0,0,0,0,0,,,,,
13883,0,1.507,2.42,1.683,0.14,0.03,0.96,-0,-0,-0,1812,0,81,24,91,512,0.0,300,300,60,112.0,0,0,28,393,27,0,0,0,0,0,0,,,,,
13903,0,1.506,2.407,1.6893,0.15,0.02,0.94,-0,-0,-0,1812,0,81,24,91,512,0.0,300,300,60,112.0,0,0,28,393,27,0,0,0,0,0,0,,,,,
13923,0,1.512,2.418,1.7069,0.15,0.01,0.95,-0,-0,-0,1812,0,81,24,91,512,0.0,300,300,60,112.0,0,0,28,393,27,0,0,0,0,0,0,,,,,
13943,0,1.528,2.412,1.7019,0.14,0.01,0.95,-0,-1,-0,1812,0,81,24,91,512,0.0,300,300,60,112.0,0,0,28,393,27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
13963,0,1.521,2.411,1.6981,0.16,0.01,0.94,0,-0,-0,1764,0,81,24,91,517,0.0,300,300,60,112.0,0,0,28,398,26,0,0,0,0,0,0,,,,,
13983,0,1.515,2.412,1.673,0.15,0.02,0.94,0,-0,-0,1764,0,81,24,91,517,0.0,300,300,60,112.0,0,0,28,398,26,0,0,0,0,0,0,,,,,
14003,0,1.515,2.412,1.6981,0.15,0.02,0.92,0,-0,-0,1764,0,81,24,91,517,0.0,300,300,60,112.0,0,0,28,398,26,0,0,0,0,0,0,,,,,
14023,0,1.513,2.408,1.7056,0.14,0.02,0.94,0,-0,-0,1764,0,81,24,91,517,0.0,300,300,60,112.0,0,0,28,398,26,0,0,0,0,0,0,,,,,
14043,0,1.489,2.418,1.7157,0.15,0.04,0.91,0,-1,-0,1764,0,81,24,91,517,0.0,300,300,60,112.0,0,0,28,398,26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14063,0,1.522,2.398,1.6767,0.15,0.05,0.93,0,-0,-0,1886,0,80,24,90,512,0.0,300,300,60,112.0,0,0,27,387,27,0,0,0,0,0,0,,,,,
14083,0,1.498,2.418,1.7119,0.14,0.04,0.93,0,-0,-0,1886,0,80,24,90,512,0.0,300,300,60,112.0,0,0,27,387,27,0,0,0,0,0,0,,,,,
14103,0,1.515,2.396,1.7207,0.15,0.04,0.97,0,-0,-0,1886,0,80,24,90,512,0.0,300,300,60,112.0,0,0,27,387,27,0,0,0,0,0,0,,,,,
14123,0,1.517,2.402,1.6767,0.15,0.05,0.99,0,0,-0,1886,0,80,24,90,512,0.0,300,300,60,112.0,0,0,27,387,27,0,0,0,0,0,0,,,,,
14143,0,1.503,2.397,1.7119,0.14,0.04,1.04,0,-0,-0,1886,0,80,24,90,512,0.0,300,300,60,112.0,0,0,27,387,27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14163,0,1.518,2.397,1.6805,0.13,0.06,1.08,0,0,-0,2196,0,80,24,87,516,0.0,300,300,60,113.0,0,0,23,366,30,0,0,0,0,0,0,,,,,
14183,0,1.505,2.402,1.7157,0.11,0.05,1.09,0,-0,-1,2196,0,80,24,87,516,0.0,300,300,60,113.0,0,0,23,366,30,0,0,0,0,0,0,,,,,
14203,0,1.54,2.399,1.7069,0.12,0.07,1.1,0,0,-1,2196,0,80,24,87,516,0.0,300,300,60,113.0,0,0,23,366,30,0,0,0,0,0,0,,,,,
14223,0,1.505,2.415,1.7132,0.11,0.07,1.08,0,0,-0,2196,0,80,24,87,516,0.0,300,300,60,113.0,0,0,23,366,30,0,0,0,0,0,0,,,,,
14243,0,1.526,2.396,1.6905,0.12,0.07,1.04,0,1,-0,2196,0,80,24,87,516,0.0,300,300,60,113.0,0,0,23,366,30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14263,0,1.502,2.413,1.7044,0.08,0.09,1.1,0,-0,-0,2393,0,80,24,85,514,0.0,300,300,60,113.0,0,0,17,354,31,0,0,0,0,0,0,,,,,
14283,0,1.526,2.397,1.6767,0.08,0.09,1.07,0,-0,-0,2393,0,80,24,85,514,0.0,300,300,60,113.0,0,0,17,354,31,0,0,0,0,0,0,,,,,
14303,0,1.494,2.435,1.6905,0.06,0.1,1.02,-0,-2,-0,2393,0,80,24,85,514,0.0,300,300,60,113.0,0,0,17,354,31,0,0,0,0,0,0,,,,,
14323,0,1.516,2.381,1.6855,0.08,0.12,1.04,-0,-1,-0,2393,0,80,24,85,514,0.0,300,300,60,113.0,0,0,17,354,31,0,0,0,0,0,0,,,,,
14343,0,1.508,2.451,1.6805,0.1,0.11,0.98,-0,-1,-0,2393,0,80,24,85,514,0.0,300,300,60,113.0,0,0,17,354,31,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14363,0,1.502,2.372,1.7019,0.07,0.1,1.06,-0,-1,-0,2527,0,80,24,82,512,0.0,300,300,60,113.0,0,0,10,347,32,0,0,0,0,0,0,,,,,
14383,0,1.515,2.432,1.683,0.08,0.1,1.04,-0,-0,-0,2527,0,80,24,82,512,0.0,300,300,60,113.0,0,0,10,347,32,0,0,0,0,0,0,,,,,
14403,0,1.496,2.42,1.6943,0.11,0.07,0.98,-0,-2,0,2527,0,80,24,82,512,0.0,300,300,60,113.0,0,0,10,347,32,0,0,0,0,0,0,,,,,
14423,0,1.513,2.404,1.7094,0.13,0.07,0.96,0,-0,0,2527,0,80,24,82,512,0.0,300,300,60,113.0,0,0,10,347,32,0,0,0,0,0,0,,,,,
14443,0,1.503,2.43,1.6805,0.14,0.06,0.9,0,-0,0,2527,0,80,24,82,512,0.0,300,300,60,113.0,0,0,10,347,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14463,0,1.51,2.421,1.6968,0.13,0.02,0.9,-0,-1,0,2532,0,80,24,81,508,0.0,300,300,60,111.0,0,0,3,347,32,0,0,0,0,0,0,,,,,
14483,0,1.516,2.404,1.7094,0.14,0.02,0.94,0,-1,0,2532,0,80,24,81,508,0.0,300,300,60,111.0,0,0,3,347,32,0,0,0,0,0,0,,,,,
14503,0,1.511,2.426,1.7019,0.15,0.04,0.99,0,-0,-0,2532,0,80,24,81,508,0.0,300,300,60,111.0,0,0,3,347,32,0,0,0,0,0,0,,,,,
14523,0,1.512,2.392,1.7195,0.13,0.02,1.03,0,0,-0,2532,0,80,24,81,508,0.0,300,300,60,111.0,0,0,3,347,32,0,0,0,0,0,0,,,,,
14543,0,1.501,2.407,1.6817,0.13,0.01,1.0,0,1,-0,2532,0,80,24,81,508,0.0,300,300,60,111.0,0,0,3,347,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14563,0,1.491,2.412,1.7069,0.13,-0.0,0.95,0,-1,0,2437,0,80,24,81,500,0.0,300,300,60,110.0,0,0,-4,351,32,0,0,0,0,0,0,,,,,
14583,0,1.507,2.394,1.7069,0.13,0.01,0.96,0,-0,0,2437,0,80,24,81,500,0.0,300,300,60,110.0,0,0,-4,351,32,0,0,0,0,0,0,,,,,
14603,0,1.507,2.435,1.6968,0.14,0.02,1.02,0,0,-0,2437,0,80,24,81,500,0.0,300,300,60,110.0,0,0,-4,351,32,0,0,0,0,0,0,,,,,
14623,0,1.51,2.388,1.7119,0.13,0.0,1.03,0,1,-0,2437,0,80,24,81,500,0.0,300,300,60,110.0,0,0,-4,351,32,0,0,0,0,0,0,,,,,
14643,0,1.503,2.408,1.6792,0.13,-0.0,0.99,0,1,-0,2437,0,80,24,81,500,0.0,300,300,60,110.0,0,0,-4,351,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14663,0,1.497,2.412,1.7031,0.11,0.01,0.96,-0,-0,-0,2428,0,80,24,80,507,0.0,300,300,60,111.0,0,0,-11,352,32,0,0,0,0,0,0,,,,,
14683,0,1.515,2.399,1.6968,0.12,0.01,0.97,0,0,-0,2428,0,80,24,80,507,0.0,300,300,60,111.0,0,0,-11,352,32,0,0,0,0,0,0,,,,,
14703,0,1.52,2.437,1.7069,0.14,0.02,1.02,0,-0,-0,2428,0,80,24,80,507,0.0,300,300,60,111.0,0,0,-11,352,32,0,0,0,0,0,0,,,,,
14723,0,1.522,2.399,1.7107,0.15,0.01,1.01,0,1,-0,2428,0,80,24,80,507,0.0,300,300,60,111.0,0,0,-11,352,32,0,0,0,0,0,0,,,,,
14743,0,1.51,2.43,1.688,0.15,0.01,1.0,0,1,-0,2428,0,80,24,80,507,0.0,300,300,60,111.0,0,0,-11,352,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14763,0,1.517,2.402,1.6993,0.1,0.03,1.04,0,1,-0,2398,0,80,24,81,512,0.0,300,300,60,112.0,0,0,-18,354,31,0,0,0,0,0,0,,,,,
14783,0,1.515,2.416,1.6855,0.11,0.05,1.0,0,1,-0,2398,0,80,24,81,512,0.0,300,300,60,112.0,0,0,-18,354,31,0,0,0,0,0,0,,,,,
14803,0,1.502,2.417,1.6993,0.14,0.03,0.95,0,-0,0,2398,0,80,24,81,512,0.0,300,300,60,112.0,0,0,-18,354,31,0,0,0,0,0,0,,,,,
14823,0,1.515,2.392,1.7031,0.16,0.04,0.95,0,1,0,2398,0,80,24,81,512,0.0,300,300,60,112.0,0,0,-18,354,31,0,0,0,0,0,0,,,,,
14843,0,1.491,2.43,1.6855,0.17,0.03,0.92,0,1,-0,2398,0,80,24,81,512,0.0,300,300,60,112.0,0,0,-18,354,31,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14863,0,1.522,2.392,1.7044,0.12,0.05,1.01,0,1,-0,2419,0,79,24,81,514,0.0,300,300,60,117.0,0,0,-25,352,32,0,0,0,0,0,0,,,,,
14883,0,1.511,2.411,1.6792,0.13,0.06,0.97,0,1,-0,2419,0,79,24,81,514,0.0,300,300,60,117.0,0,0,-25,352,32,0,0,0,0,0,0,,,,,
14903,0,1.499,2.427,1.6993,0.15,0.04,0.91,0,-0,0,2419,0,79,24,81,514,0.0,300,300,60,117.0,0,0,-25,352,32,0,0,0,0,0,0,,,,,
14923,0,1.522,2.388,1.6968,0.17,0.04,0.89,0,1,0,2419,0,79,24,81,514,0.0,300,300,60,117.0,0,0,-25,352,32,0,0,0,0,0,0,,,,,
14943,0,1.503,2.435,1.6918,0.19,0.05,0.9,0,1,-0,2419,0,79,24,81,514,0.0,300,300,60,117.0,0,0,-25,352,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14963,0,1.502,2.392,1.6931,0.16,0.04,0.99,0,1,-0,2417,0,79,24,81,518,0.0,300,300,60,117.0,0,0,-32,352,32,0,0,0,0,0,0,,,,,
14983,0,1.51,2.42,1.6868,0.16,0.05,0.95,0,1,-0,2417,0,79,24,81,518,0.0,300,300,60,117.0,0,0,-32,352,32,0,0,0,0,0,0,,,,,
15003,0,1.503,2.427,1.7069,0.15,0.04,0.88,0,-0,0,2417,0,79,24,81,518,0.0,300,300,60,117.0,0,0,-32,352,32,0,0,0,0,0,0,,,,,
