"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10
23643,1551439783271,1.531,2.423,1.7056,0.16,-0.02,0.96,0,0,-1,1789,1,90,20,92,516,0.0,300,300,60,115.0,0,0,-20,393,25,0,0,0,0,0,0,45.845741,5.178934,0.0,739.3,0.0
23663,1551439783291,1.508,2.41,1.683,0.17,-0.03,0.95,0,0,-1,1789,1,90,20,92,516,0.0,300,300,60,115.0,0,0,-20,393,25,0,0,0,0,0,0,,,,,
23683,1551439783311,1.528,2.407,1.7132,0.17,-0.02,0.95,0,-0,-0,1795,1,90,20,92,516,0.0,300,300,60,114.0,0,0,-20,393,24,0,0,0,0,0,0,,,,,
23703,1551439783331,1.53,2.402,1.6918,0.16,-0.03,0.98,0,0,-1,1795,1,90,20,92,516,0.0,300,300,60,114.0,0,0,-20,393,24,0,0,0,0,0,0,,,,,
23723,1551439783351,1.533,2.422,1.6805,0.15,-0.02,0.99,0,0,-0,1795,1,90,20,92,516,0.0,300,300,60,114.0,0,0,-20,393,24,0,0,0,0,0,0,,,,,
23743,1551439783371,1.521,2.408,1.6792,0.16,-0.0,0.94,-0,0,-0,1795,1,90,20,92,516,0.0,300,300,60,114.0,0,0,-20,393,24,0,0,0,0,0,0,45.845741,5.178934,0.0,739.3,0.0
23763,1551439783391,1.521,2.396,1.7157,0.15,0.01,0.95,-0,-0,-0,1795,1,90,20,92,516,0.0,300,300,60,114.0,0,0,-20,393,24,0,0,0,0,0,0,,,,,
23783,1551439783405,1.543,2.415,1.7119,0.15,-0.01,0.95,-0,-0,-0,1778,1,90,20,91,502,0.0,300,300,60,111.0,0,0,-20,393,25,0,0,0,0,0,0,,,,,
23803,1551439783425,1.513,2.407,1.6931,0.16,-0.01,0.94,-0,-0,-0,1778,1,90,20,91,502,0.0,300,300,60,111.0,0,0,-20,393,25,0,0,0,0,0,0,,,,,
23823,1551439783445,1.521,2.402,1.7006,0.15,-0.02,0.96,-0,-0,-0,1778,1,90,20,91,502,0.0,300,300,60,111.0,0,0,-20,393,25,0,0,0,0,0,0,,,,,
23843,1551439783465,1.51,2.399,1.7144,0.15,-0.02,0.97,-0,-0,-0,1778,1,90,20,91,502,0.0,300,300,60,111.0,0,0,-20,393,25,0,0,0,0,0,0,45.845741,5.178934,0.0,739.3,0.0
23863,1551439783485,1.521,2.403,1.6956,0.15,-0.03,0.98,-0,-0,-0,1778,1,90,20,91,502,0.0,300,300,60,111.0,0,0,-20,393,25,0,0,0,0,0,0,,,,,
23883,1551439783509,1.517,2.41,1.678,0.15,-0.03,0.98,-0,-0,-0,1626,1,90,20,93,516,0.0,300,300,60,114.0,0,0,-21,405,25,0,0,0,0,0,0,,,,,
23903,1551439783529,1.505,2.407,1.6817,0.16,-0.03,0.99,0,-0,-0,1626,1,90,20,93,516,0.0,300,300,60,114.0,0,0,-21,405,25,0,0,0,0,0,0,,,,,
23923,1551439783549,1.527,2.426,1.7019,0.16,-0.02,0.95,0,-0,-0,1626,1,90,20,93,516,0.0,300,300,60,114.0,0,0,-21,405,25,0,0,0,0,0,0,,,,,
23943,1551439783569,1.525,2.408,1.7044,0.17,-0.02,0.94,0,-0,-0,1626,1,90,20,93,516,0.0,300,300,60,114.0,0,0,-21,405,25,0,0,0,0,0,0,45.845741,5.178934,0.0,739.3,0.0
