"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
19083,1551446192062,1.483,2.396,1.7408,0.11,-0.02,-0.29,0,4,-1,6474,2,78,22,39,502,0.0,1000,300,60,115.0,0,0,374,265,64,0,0,0,0,0,0,,,,,,,,,,,
19103,1551446192082,1.494,2.42,1.6327,0.13,-0.04,-0.07,-0,9,-2,6474,2,78,22,39,502,0.0,1000,300,60,115.0,0,0,374,265,64,0,0,0,0,0,0,,,,,,,,,,,
19123,1551446192108,1.491,2.427,1.6704,0.2,-0.01,-0.26,0,4,-1,6474,2,78,22,39,502,0.0,1000,300,60,115.0,0,0,374,265,64,0,0,0,0,0,0,,,,,,,,,,,
19143,1551446192128,1.527,2.411,1.7396,0.38,0.03,-0.13,0,10,-1,6474,2,78,22,39,502,0.0,1000,300,60,115.0,0,0,374,265,64,0,0,0,0,0,0,45.84594,5.179195,0.0,726.3,0.0,0,0.0,-1,0.0,0.0,0
19163,1551446192148,1.507,2.362,1.6679,0.14,-0.0,0.08,-0,9,-1,6474,2,78,22,39,502,0.0,1000,300,60,115.0,0,0,374,265,64,0,0,0,0,0,0,,,,,,,,,,,
19183,1551446192168,1.515,2.416,1.7157,-0.07,-0.04,-0.1,0,2,-1,6441,2,79,22,39,512,0.0,300,300,60,118.0,0,0,373,264,64,0,0,0,0,0,0,,,,,,,,,,,
19203,1551446192188,1.52,2.455,1.7685,0.14,0.06,-0.26,-0,4,-1,6441,2,79,22,39,512,0.0,300,300,60,118.0,0,0,373,264,64,0,0,0,0,0,0,,,,,,,,,,,
19223,1551446192208,1.497,2.411,1.6528,0.15,-0.02,-0.04,-0,7,-1,6441,2,79,22,39,512,0.0,300,300,60,118.0,0,0,373,264,64,0,0,0,0,0,0,,,,,,,,,,,
19243,1551446192228,1.562,2.384,1.6189,-0.06,-0.02,0.01,0,1,-1,6441,2,79,22,39,512,0.0,300,300,60,118.0,0,0,373,264,64,0,0,0,0,0,0,45.84594,5.179195,0.0,726.3,0.0,0,0.0,-1,0.0,0.0,0
19263,1551446192248,1.535,2.393,1.732,0.15,0.03,-0.19,-0,4,-1,6441,2,79,22,39,512,0.0,300,300,60,118.0,0,0,373,264,64,0,0,0,0,0,0,,,,,,,,,,,
19283,1551446192268,1.515,2.399,1.7031,0.22,0.03,0.02,-0,8,-2,6485,2,79,22,39,505,0.0,1000,300,60,115.0,0,0,374,266,65,0,0,0,0,0,0,,,,,,,,,,,
19303,1551446192288,1.482,2.435,1.6503,-0.0,-0.04,0.15,-0,1,-1,6485,2,79,22,39,505,0.0,1000,300,60,115.0,0,0,374,266,65,0,0,0,0,0,0,,,,,,,,,,,
19323,1551446192308,1.532,2.391,1.7358,0.2,-0.02,-0.06,0,1,0,6485,2,79,22,39,505,0.0,1000,300,60,115.0,0,0,374,266,65,0,0,0,0,0,0,,,,,,,,,,,
19343,1551446192328,1.488,2.389,1.7308,0.38,-0.04,0.14,-0,7,-1,6485,2,79,22,39,505,0.0,1000,300,60,115.0,0,0,374,266,65,0,0,0,0,0,0,45.84594,5.179195,0.0,726.3,0.0,0,0.0,-1,0.0,0.0,0
19363,1551446192348,1.466,2.411,1.639,0.15,-0.0,0.32,-0,2,-1,6485,2,79,22,39,505,0.0,1000,300,60,115.0,0,0,374,266,65,0,0,0,0,0,0,,,,,,,,,,,
