"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"EngineTemp"|"F"|0|300|1,"OilTemp"|"F"|0|300|1,"OilPress"|"PSI"|0|150|25,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|25,"RPM"|""|0|14000|1,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
691170,0,,,0,,,0.01,0.02,0.99,0,-1,-25,0,,,,,,,,,,,,,,,,
691210,0,,,0,,,0.01,0.02,0.98,0,-1,-20,0,,,,,,,,,,,,,,,,
691250,0,,,0,,,0.02,0.02,0.99,0,-1,-16,0,,,,,,,,,,,,,,,,
691290,0,,,0,,,0.02,0.02,0.99,0,-0,-13,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
691330,0,,,0,,,0.02,0.02,0.99,0,-0,-11,0,,,,,,,,,,,,,,,,
691370,0,,,0,,,0.02,0.02,0.99,0,-0,-9,0,,,,,,,,,,,,,,,,
691410,0,,,0,,,0.02,0.02,0.99,0,-0,-7,0,,,,,,,,,,,,,,,,
691450,0,,,0,,,0.02,0.02,0.99,0,-0,-6,0,,,,,,,,,,,,,,,,
691490,0,290,302,0,0.0,5.16,0.02,0.02,0.99,0,-0,-5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
691530,0,,,0,,,0.02,0.02,0.99,0,-0,-4,0,,,,,,,,,,,,,,,,
691570,0,,,0,,,0.02,0.02,0.99,0,-0,-3,0,,,,,,,,,,,,,,,,
691610,0,,,0,,,0.02,0.02,0.99,0,-0,-3,0,,,,,,,,,,,,,,,,
691650,0,,,0,,,0.02,0.02,0.99,0,0,-2,0,,,,,,,,,,,,,,,,
691690,0,,,0,,,0.02,0.02,0.99,0,0,-2,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
691730,0,,,0,,,0.02,0.02,0.99,0,0,-2,0,,,,,,,,,,,,,,,,
691770,0,,,0,,,0.02,0.02,0.99,0,-0,-1,0,,,,,,,,,,,,,,,,
691810,0,,,0,,,0.02,0.02,0.99,0,-0,-1,0,,,,,,,,,,,,,,,,
691850,0,,,0,,,0.02,0.02,0.99,0,0,-1,0,,,,,,,,,,,,,,,,
691890,0,,,0,,,0.02,0.02,0.99,0,0,-1,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
691930,0,,,0,,,0.02,0.02,0.99,0,0,-1,0,,,,,,,,,,,,,,,,
691970,0,,,0,,,0.02,0.02,0.99,0,0,-1,0,,,,,,,,,,,,,,,,
692010,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692050,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692090,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
692130,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692170,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692210,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692250,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692290,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
692330,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692370,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692410,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692450,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692490,0,290,302,0,0.0,5.15,0.02,0.02,0.99,0,0,-0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
692530,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692570,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692610,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
692650,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692690,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
692730,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692770,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692810,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692850,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692890,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
692930,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
692970,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693010,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693050,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693090,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
693130,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693170,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693210,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693250,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693290,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
693330,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693370,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693410,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693450,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693490,0,291,302,0,0.0,5.16,0.02,0.02,0.98,0,0,-0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
693530,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693570,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693610,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693650,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693690,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
693730,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693770,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693810,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693850,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693890,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
693930,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
693970,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694010,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694050,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694090,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
694130,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694170,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694210,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694250,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694290,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
694330,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694370,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694410,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694450,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694490,0,291,302,0,0.0,5.17,0.01,0.02,0.99,0,0,-0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
694530,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694570,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694610,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694650,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694690,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
694730,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694770,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694810,0,,,0,,,0.01,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
694850,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
