"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
178163,1560690484109,26,2.29,1.88,3.54,1.72,2.84,1.08,0.04,-0.01,0,-8,1,1.08,7239,11,80,29,26,952,582.0,558,460,60,122.0,74,1,266,161,45,0,0,426,243,1504,582,,,,,,,,,,,,
178183,1560690484129,22,2.28,1.88,3.54,1.71,2.84,1.03,-0.01,-0.1,1,-11,-2,1.03,7259,11,80,29,25,961,573.0,576,462,60,122.0,74,1,262,161,45,0,0,353,1760,0,570,,,,,,,,,,,,
178203,1560690484149,22,2.26,1.88,3.56,1.71,2.84,0.94,0.12,-0.25,1,-6,-4,0.95,7159,11,80,30,26,968,566.0,585,460,60,123.0,75,1,265,159,43,0,0,313,-2934,4104,566,,,,,,,,,,,,
178223,1560690484169,27,2.26,1.89,3.52,1.71,2.83,1.05,0.12,-0.13,-1,-10,-5,1.06,7004,11,80,30,25,974,562.0,588,461,60,124.0,75,1,260,159,43,0,0,307,-32504,770,558,,,,,,,,,,,,
178243,1560690484191,24,2.26,1.89,3.46,1.7,2.82,0.96,0.04,-0.18,-0,-8,-6,0.96,6808,11,80,30,26,983,554.0,591,460,60,122.0,75,1,266,160,43,0,0,320,2524,-31744,544,45.70208,4.910907,56.58,198.6,1,1.8267,0,0.0,0.44,2,0.33,2.9707
178263,1560690484211,28,2.27,1.88,3.47,1.71,2.81,1.02,0.13,-0.25,-1,-9,-8,1.03,6670,11,80,30,26,992,546.0,584,462,60,124.0,75,1,267,160,43,0,0,343,2524,1504,540,,,,,,,,,,,,
178283,1560690484231,21,2.27,1.88,3.49,1.71,2.82,1.09,0.07,-0.25,-1,-6,-8,1.09,6533,11,80,30,26,999,538.0,576,462,60,122.0,75,1,268,160,43,0,0,355,-8186,5600,535,,,,,,,,,,,,
178303,1560690484251,20,2.29,1.88,3.49,1.7,2.82,1.17,0.01,-0.17,-2,-6,-8,1.18,6425,11,80,30,27,1001,535.0,567,462,60,123.0,73,1,272,161,39,0,0,353,-32248,16408,528,,,,,,,,,,,,
178323,1560690484271,21,2.3,1.88,3.54,1.69,2.85,1.2,0.1,-0.23,-3,-4,-8,1.21,6454,11,80,30,27,1006,528.0,563,456,60,123.0,73,1,272,161,39,0,0,321,-32248,-8151,520,,,,,,,,,,,,
178343,1560690484291,16,2.31,1.88,3.57,1.7,2.85,1.16,0.17,-0.35,-2,-2,-6,1.17,6517,11,80,30,28,1012,525.0,562,460,60,122.0,73,1,276,163,39,0,0,284,-22519,160,516,45.702072,4.910921,52.97,198.6,1,1.8267,0,0.0,0.4417,2,0.33,2.9724
178363,1560690484311,19,2.31,1.89,3.56,1.71,2.85,1.21,0.02,-0.24,-2,-4,-5,1.21,6397,11,80,30,28,1015,515.0,560,458,60,123.0,73,1,276,163,39,0,0,277,-14,3346,513,,,,,,,,,,,,
178383,1560690484331,20,2.31,1.91,3.52,1.73,2.81,1.29,-0.07,-0.16,-3,-6,-5,1.3,6243,11,80,30,29,1017,508.0,559,462,60,124.0,73,1,280,164,39,0,0,291,-21872,-1246,503,,,,,,,,,,,,
178403,1560690484351,21,2.32,1.91,3.47,1.74,2.79,1.28,-0.01,-0.13,-4,-10,-5,1.28,6123,11,80,30,29,1015,501.0,551,458,60,124.0,76,1,281,164,38,0,0,311,11560,-6524,492,,,,,,,,,,,,
178423,1560690484371,20,2.31,1.9,3.46,1.72,2.79,1.18,0.09,-0.19,-2,-8,-5,1.18,5994,11,80,30,30,1012,492.0,543,461,60,124.0,76,1,283,165,38,0,0,347,-32768,-3314,490,,,,,,,,,,,,
178443,1560690484391,18,2.33,1.88,3.46,1.69,2.82,1.05,0.16,-0.24,-0,-7,-4,1.06,5980,11,80,30,30,1007,488.0,535,459,60,123.0,76,1,283,165,38,0,0,357,1,28696,485,45.702064,4.910935,50.05,198.6,1,1.8267,0,0.0,0.4433,2,0.33,2.974
178463,1560690484411,17,2.33,1.86,3.48,1.66,2.85,0.88,0.26,-0.3,2,-6,-5,0.92,6095,11,80,30,31,1000,484.0,532,458,60,123.0,76,1,287,167,38,0,0,336,-10483,3346,481,,,,,,,,,,,,
178483,1560690484431,16,2.34,1.87,3.51,1.68,2.83,0.81,0.35,-0.35,3,-6,-5,0.88,6071,11,80,30,31,991,479.0,533,465,60,123.0,76,1,287,167,38,0,0,334,2212,120,476,,,,,,,,,,,,
178503,1560690484451,18,2.34,1.88,3.51,1.72,2.83,0.68,0.39,-0.43,4,-2,-4,0.78,6036,11,80,30,31,978,471.0,530,465,60,123.0,80,1,287,167,38,0,0,319,32033,-28416,468,,,,,,,,,,,,
178523,1560690484471,15,2.36,1.88,3.51,1.72,2.82,0.57,0.39,-0.47,5,-0,-4,0.69,5946,11,80,30,32,966,465.0,529,461,60,124.0,80,1,288,168,38,0,0,318,6193,6870,465,,,,,,,,,,,,
178543,1560690484491,15,2.35,1.88,3.49,1.71,2.81,0.5,0.44,-0.55,6,1,-1,0.67,5926,11,80,30,32,959,460.0,529,461,60,124.0,80,1,288,168,38,0,0,320,-9160,-6644,457,45.702064,4.910935,50.05,198.6,1,1.8267,0,0.0,0.4433,2,0.33,2.9757
178563,1560690484510,16,2.36,1.87,3.47,1.7,2.81,0.46,0.47,-0.62,7,2,-0,0.66,6027,11,80,30,32,950,453.0,532,458,60,124.0,80,1,290,169,38,0,0,334,8488,125,453,,,,,,,,,,,,
178583,1560690484530,16,2.36,1.87,3.48,1.68,2.83,0.39,0.55,-0.65,9,3,1,0.68,6083,11,80,30,33,939,449.0,529,464,60,124.0,80,1,292,169,38,0,0,317,21432,250,448,,,,,,,,,,,,
178603,1560690484550,17,2.35,1.87,3.48,1.69,2.81,0.3,0.62,-0.69,10,6,2,0.69,6044,11,80,30,33,929,447.0,530,462,60,124.0,87,1,292,174,39,0,0,309,-28332,90,447,,,,,,,,,,,,
178623,1560690484570,16,2.36,1.87,3.49,1.72,2.8,0.21,0.61,-0.77,11,8,3,0.65,5944,11,80,30,33,924,440.0,528,464,60,124.0,87,1,291,173,39,0,0,333,1779,8841,440,,,,,,,,,,,,
178643,1560690484590,16,2.37,1.87,3.48,1.76,2.78,0.18,0.58,-0.77,12,6,5,0.61,5909,11,80,30,34,920,433.0,524,462,60,124.0,87,1,294,173,39,0,0,340,3826,-6524,431,45.702053,4.910948,46.66,198.6,1,1.8267,0,0.0,0.445,2,0.34,2.9774
178663,1560690484610,17,2.37,1.85,3.49,1.73,2.78,0.13,0.56,-0.78,13,8,6,0.57,6000,11,80,30,34,914,426.0,524,465,60,124.0,87,1,295,179,39,0,0,327,7154,-22016,426,,,,,,,,,,,,
178683,1560690484630,14,2.37,1.83,3.51,1.71,2.79,0.12,0.61,-0.77,14,9,7,0.63,6091,11,80,30,33,908,424.0,522,461,60,124.0,87,1,292,179,39,0,0,335,-4059,30720,424,,,,,,,,,,,,
178703,1560690484650,15,2.37,1.84,3.52,1.74,2.79,0.06,0.67,-0.86,15,12,9,0.68,6139,11,80,30,34,906,420.0,528,466,60,123.0,94,1,295,179,40,0,0,323,1504,30720,419,,,,,,,,,,,,
178723,1560690484670,11,2.35,1.85,3.52,1.77,2.78,0.04,0.63,-0.94,15,13,10,0.63,6085,11,80,30,33,904,415.0,529,465,60,123.0,94,1,292,174,40,0,0,326,-3968,8841,413,,,,,,,,,,,,
178743,1560690484690,10,2.35,1.85,3.51,1.76,2.78,0.17,0.52,-0.88,15,14,11,0.55,6103,11,80,30,33,901,407.0,531,463,60,122.0,94,1,292,174,40,0,0,346,-1562,4104,407,45.702049,4.910959,44.18,198.5,1,1.8267,0,0.0,0.4467,2,0.34,2.979
178763,1560690484710,14,2.33,1.83,3.51,1.75,2.76,0.34,0.33,-0.75,14,12,12,0.48,6300,11,80,30,33,897,399.0,535,467,60,123.0,94,1,292,174,40,0,0,335,-19126,3327,399,,,,,,,,,,,,
178783,1560690484730,13,2.33,1.8,3.54,1.74,2.81,0.51,0.14,-0.59,12,10,11,0.53,6401,11,80,30,33,894,396.0,541,464,60,122.0,94,1,292,174,40,0,0,315,8200,-32256,396,,,,,,,,,,,,
178803,1560690484750,15,2.31,1.81,3.54,1.74,2.81,0.65,0.1,-0.53,10,9,12,0.66,6399,11,80,30,33,893,391.0,550,457,60,124.0,106,1,292,174,42,0,0,322,-6656,-27136,391,,,,,,,,,,,,
178823,1560690484770,17,2.3,1.82,3.5,1.78,2.78,0.63,0.16,-0.59,11,9,11,0.65,6287,11,80,30,33,890,382.0,553,460,60,123.0,106,1,292,174,42,0,0,354,0,2790,382,,,,,,,,,,,,
178843,1560690484791,12,2.29,1.82,3.51,1.8,2.74,0.59,0.14,-0.57,12,10,10,0.6,6264,11,80,30,33,886,375.0,550,463,60,122.0,106,1,292,174,42,0,0,353,3082,-1268,375,45.702034,4.910981,38.47,198.5,1,1.8267,0,0.0,0.45,2,0.34,2.9807
178863,1560690484811,14,2.27,1.8,3.51,1.79,2.73,0.73,0.02,-0.44,9,9,8,0.73,6403,11,80,30,32,883,367.0,553,463,60,122.0,106,1,290,169,42,0,0,330,-14707,6870,367,,,,,,,,,,,,
178883,1560690484831,16,2.26,1.81,3.53,1.77,2.76,0.86,-0.04,-0.38,7,5,7,0.86,6456,11,80,30,32,881,364.0,560,461,60,124.0,106,1,290,169,42,0,0,320,-6640,2560,362,,,,,,,,,,,,
178903,1560690484851,10,2.27,1.82,3.52,1.76,2.79,0.81,0.12,-0.48,7,5,9,0.82,6476,11,80,30,32,880,358.0,561,461,60,124.0,114,1,290,169,41,0,0,334,3302,13,358,,,,,,,,,,,,
