SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

1290 ;0:00,10 ;575 ;0 ;31;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,7 ;-1 ;4,85 ;30,0 ;0 ;0 ;
1290 ;0:00,20 ;575 ;0 ;31;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,7 ;-1 ;4,85 ;30,0 ;0 ;0 ;
1290 ;0:00,30 ;575 ;0 ;31;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,7 ;-1 ;4,96 ;30,0 ;0 ;0 ;
1290 ;0:00,40 ;575 ;1 ;31;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,7 ;-1 ;4,66 ;30,0 ;0 ;0 ;
1290 ;0:00,50 ;688 ;1 ;31;92;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,9 ;-1 ;4,36 ;30,0 ;0 ;0 ;
1290 ;0:00,60 ;1004 ;1 ;31;81;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,9 ;-1 ;3,37 ;30,0 ;0 ;0 ;
1290 ;0:00,70 ;1661 ;1 ;31;76;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,7 ;-1 ;3,07 ;29,8 ;0 ;0 ;
1290 ;0:00,80 ;2206 ;3 ;31;72;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,2 ;-1 ;3,13 ;29,8 ;0 ;0 ;
1290 ;0:00,90 ;2484 ;14 ;31;73;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,8 ;-1 ;3,20 ;10,5 ;0 ;0 ;
1290 ;0:01,00 ;2618 ;16 ;31;73;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;12,1 ;-1 ;3,34 ;12,2 ;0 ;0 ;
1290 ;0:01,10 ;2653 ;16 ;31;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;3,42 ;13,0 ;0 ;0 ;
1290 ;0:01,20 ;2664 ;16 ;31;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;3,40 ;12,8 ;0 ;0 ;
1290 ;0:01,30 ;2681 ;17 ;31;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;11,8 ;-1 ;3,47 ;13,3 ;0 ;0 ;
1290 ;0:01,40 ;2858 ;17 ;31;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,8 ;-1 ;3,71 ;16,0 ;0 ;0 ;
1290 ;0:01,50 ;2817 ;17 ;31;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;12,0 ;-1 ;3,66 ;15,4 ;0 ;0 ;
1290 ;0:01,60 ;2841 ;18 ;31;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;12,0 ;-1 ;3,69 ;15,8 ;0 ;0 ;
1290 ;0:01,70 ;2874 ;18 ;31;75;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;12,1 ;-1 ;3,81 ;16,5 ;0 ;0 ;
1290 ;0:01,80 ;2804 ;18 ;31;74;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;11,8 ;-1 ;3,66 ;15,2 ;0 ;0 ;
1290 ;0:01,90 ;2755 ;18 ;31;76;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,2 ;-1 ;3,68 ;15,0 ;0 ;0 ;
1290 ;0:02,00 ;2571 ;18 ;31;77;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,1 ;-1 ;3,45 ;13,2 ;0 ;0 ;
1290 ;0:02,10 ;2587 ;18 ;31;77;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;12,0 ;-1 ;3,47 ;13,4 ;0 ;0 ;
1290 ;0:02,20 ;2628 ;18 ;31;76;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,2 ;-1 ;3,48 ;13,0 ;0 ;0 ;
1290 ;0:02,30 ;2722 ;18 ;31;75;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;12,0 ;-1 ;3,62 ;14,2 ;0 ;0 ;
1290 ;0:02,40 ;2969 ;18 ;31;76;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;12,2 ;-1 ;4,05 ;18,5 ;0 ;0 ;
1290 ;0:02,50 ;3246 ;19 ;31;77;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;11,9 ;-1 ;4,26 ;21,6 ;0 ;0 ;
1290 ;0:02,60 ;3097 ;21 ;31;78;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,1 ;-1 ;4,10 ;19,6 ;0 ;0 ;
1290 ;0:02,70 ;2921 ;21 ;30;78;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;12,0 ;-1 ;4,03 ;18,3 ;0 ;0 ;
1290 ;0:02,80 ;2921 ;21 ;30;77;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,8 ;-1 ;4,19 ;19,4 ;0 ;0 ;
1290 ;0:02,90 ;3273 ;21 ;30;77;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;12,0 ;-1 ;4,32 ;21,8 ;0 ;0 ;
1290 ;0:03,00 ;3186 ;22 ;30;77;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,46 ;11,9 ;-1 ;4,29 ;21,0 ;0 ;0 ;
1290 ;0:03,10 ;3102 ;22 ;30;76;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;12,0 ;-1 ;4,24 ;20,0 ;0 ;0 ;
1290 ;0:03,20 ;3294 ;24 ;30;74;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;12,1 ;-1 ;4,18 ;21,6 ;0 ;0 ;
1290 ;0:03,30 ;3601 ;24 ;30;71;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,9 ;-1 ;4,28 ;25,1 ;0 ;0 ;
1290 ;0:03,40 ;3771 ;24 ;30;70;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,0 ;-1 ;4,42 ;27,1 ;0 ;0 ;
1290 ;0:03,50 ;3898 ;26 ;30;72;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;4,68 ;28,8 ;0 ;0 ;
1290 ;0:03,60 ;3847 ;27 ;30;72;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;4,59 ;28,0 ;0 ;0 ;
1290 ;0:03,70 ;3821 ;27 ;30;72;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;4,60 ;27,7 ;0 ;0 ;
1290 ;0:03,80 ;3898 ;27 ;30;71;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;12,2 ;-1 ;4,61 ;28,6 ;0 ;0 ;
1290 ;0:03,90 ;3898 ;27 ;30;71;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;12,1 ;-1 ;4,64 ;28,6 ;0 ;0 ;
1290 ;0:04,00 ;3998 ;27 ;30;71;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;4,74 ;29,7 ;0 ;0 ;
1290 ;0:04,10 ;4216 ;27 ;30;70;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;4,85 ;29,4 ;0 ;0 ;
1290 ;0:04,20 ;4435 ;27 ;30;70;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;4,92 ;29,2 ;0 ;0 ;
1290 ;0:04,30 ;4588 ;28 ;30;71;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;5,08 ;29,0 ;0 ;0 ;
1290 ;0:04,40 ;4713 ;29 ;30;72;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;5,22 ;28,8 ;0 ;0 ;
1290 ;0:04,50 ;4724 ;31 ;30;74;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,9 ;-1 ;5,39 ;28,7 ;0 ;0 ;
1290 ;0:04,60 ;4202 ;31 ;30;76;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;12,0 ;-1 ;5,22 ;29,5 ;0 ;0 ;
1290 ;0:04,70 ;3677 ;31 ;30;80;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;5,27 ;25,7 ;0 ;0 ;
1290 ;0:04,80 ;3525 ;31 ;30;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;12,0 ;-1 ;5,49 ;24,2 ;0 ;0 ;
1290 ;0:04,90 ;3296 ;30 ;30;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;12,0 ;-1 ;5,01 ;23,1 ;0 ;0 ;
1290 ;0:05,00 ;3181 ;30 ;30;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;12,1 ;-1 ;4,76 ;22,7 ;0 ;0 ;
1290 ;0:05,10 ;3322 ;30 ;30;79;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,9 ;-1 ;4,75 ;22,5 ;0 ;0 ;
1290 ;0:05,20 ;3774 ;29 ;30;73;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;12,0 ;-1 ;4,73 ;27,1 ;0 ;0 ;
1290 ;0:05,30 ;4067 ;28 ;30;68;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;4,81 ;29,8 ;0 ;0 ;
1290 ;0:05,40 ;4682 ;28 ;30;64;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;11,8 ;-1 ;4,56 ;29,2 ;0 ;0 ;
1290 ;0:05,50 ;5739 ;29 ;30;65;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;11,7 ;-1 ;4,58 ;34,7 ;0 ;0 ;
1290 ;0:05,60 ;6149 ;54 ;30;88;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;12,0 ;-1 ;8,39 ;33,2 ;0 ;0 ;
1290 ;0:05,70 ;4222 ;75 ;30;95;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;12,0 ;-1 ;10,08 ;29,4 ;0 ;0 ;
1290 ;0:05,80 ;3164 ;40 ;30;84;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;12,0 ;-1 ;4,85 ;22,6 ;0 ;0 ;
1290 ;0:05,90 ;3365 ;28 ;30;82;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,9 ;-1 ;5,10 ;23,2 ;0 ;0 ;
1290 ;0:06,00 ;3272 ;28 ;30;81;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;11,9 ;-1 ;4,86 ;22,6 ;0 ;0 ;
1290 ;0:06,10 ;3047 ;28 ;30;82;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;11,8 ;-1 ;4,50 ;21,7 ;0 ;0 ;
1290 ;0:06,20 ;3255 ;28 ;30;82;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;12,0 ;-1 ;4,97 ;22,7 ;0 ;0 ;
1290 ;0:06,30 ;3268 ;28 ;30;83;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,1 ;-1 ;5,19 ;23,0 ;0 ;0 ;
1290 ;0:06,40 ;3079 ;28 ;30;83;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;12,0 ;-1 ;4,87 ;22,3 ;0 ;0 ;
1290 ;0:06,50 ;3183 ;28 ;30;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;11,7 ;-1 ;5,21 ;22,7 ;0 ;0 ;
1290 ;0:06,60 ;3076 ;28 ;30;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;12,0 ;-1 ;5,10 ;22,3 ;0 ;0 ;
1290 ;0:06,70 ;2971 ;28 ;30;83;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;12,0 ;-1 ;4,98 ;21,8 ;0 ;0 ;
1290 ;0:06,80 ;2971 ;28 ;30;84;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;11,7 ;-1 ;5,20 ;21,8 ;0 ;0 ;
1290 ;0:06,90 ;3160 ;28 ;30;84;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,8 ;-1 ;5,72 ;22,6 ;0 ;0 ;
1290 ;0:07,00 ;3042 ;28 ;30;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,43 ;12,0 ;-1 ;5,43 ;22,1 ;0 ;0 ;
