"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
75264,1560699011675,28,2.28,1.64,3.57,1.57,5.05,1.2,-0.03,-0.12,4,0,6,1.2,7908,10,87,33,23,1002,523.0,610,449,60,117.0,85,1,269,154,46,0,0,375,-9212,-31744,520,,,,,,,,,,,,
75284,1560699011697,24,2.28,1.65,3.56,1.58,5.05,1.19,-0.11,-0.02,4,-0,5,1.19,7690,10,87,33,23,1003,515.0,606,450,60,116.0,85,1,266,154,46,0,0,364,-4054,-9166,516,,,,,,,,,,,,
75304,1560699011717,20,2.29,1.65,3.54,1.6,5.05,1.27,-0.11,0.02,4,-2,4,1.28,7548,10,87,33,23,1007,508.0,591,450,60,116.0,85,1,265,154,46,0,0,361,-22519,14488,506,,,,,,,,,,,,
75324,1560699011737,19,2.29,1.65,3.52,1.6,5.04,1.35,-0.14,0.13,3,-2,3,1.35,7364,10,87,33,23,1010,502.0,585,448,60,116.0,85,1,263,154,43,0,0,376,998,1,504,,,,,,,,,,,,
75344,1560699011757,20,2.28,1.64,3.53,1.6,5.08,1.41,-0.17,0.25,3,-2,3,1.42,7250,10,86,33,23,1023,498.0,577,447,60,117.0,85,1,262,154,43,0,0,388,-32768,-899,498,45.702064,4.910956,54.4,200.4,0,0.0,0,0.0,0.4033,1,0.32,1.2557
75364,1560699011777,17,2.28,1.63,3.51,1.58,5.06,1.32,-0.11,0.29,4,-1,3,1.33,7309,10,86,33,23,1035,490.0,567,453,60,118.0,85,1,263,154,43,0,0,371,-1818,20625,490,,,,,,,,,,,,
75384,1560699011797,17,2.27,1.63,3.53,1.58,5.04,1.22,-0.12,0.21,4,1,3,1.23,7350,10,86,33,23,1045,484.0,563,448,60,118.0,85,1,263,154,43,0,0,345,-10483,-3968,483,,,,,,,,,,,,
75404,1560699011817,18,2.25,1.64,3.52,1.59,5.05,1.09,-0.05,0.08,4,3,4,1.09,7281,10,86,34,23,1054,480.0,560,451,60,118.0,85,1,262,154,43,0,0,340,2212,-32702,479,,,,,,,,,,,,
75424,1560699011837,15,2.25,1.64,3.51,1.57,5.04,1.06,0.02,-0.07,3,2,4,1.06,7123,10,86,34,23,1061,474.0,558,452,60,116.0,86,1,261,154,41,0,0,353,-1923,-3856,474,,,,,,,,,,,,
75444,1560699011857,18,2.25,1.65,3.47,1.58,5.05,1.15,0.06,-0.02,1,2,2,1.15,7062,10,86,34,24,1067,468.0,549,452,60,117.0,86,1,260,156,41,0,0,390,-16384,23400,467,45.702053,4.910971,51.86,200.4,0,0.0,0,0.0,0.405,1,0.32,1.2574
75464,1560699011877,16,2.24,1.65,3.47,1.58,5.04,1.07,0.03,0.04,3,2,1,1.07,7102,10,86,34,24,1068,462.0,544,449,60,118.0,86,1,261,156,41,0,0,396,-23623,-6524,462,,,,,,,,,,,,
