SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;

2231 ;0:00,10 ;3509 ;0 ;89;41;61;0,970 ;18,6 ;17,8 ;18,8 ;18,3 ;0 ;4,69 ;12,0 ;-1 ;2,43 ;15,0 ;0 ;
2231 ;0:00,20 ;3589 ;0 ;89;41;59;0,965 ;19,4 ;18,6 ;19,8 ;19,1 ;0 ;4,70 ;11,9 ;-1 ;2,36 ;15,3 ;0 ;
2231 ;0:00,30 ;3632 ;0 ;88;41;59;0,951 ;19,6 ;18,8 ;20,0 ;19,3 ;0 ;4,71 ;11,9 ;-1 ;2,37 ;15,5 ;0 ;
2231 ;0:00,40 ;3702 ;0 ;88;41;58;0,938 ;19,6 ;18,8 ;19,8 ;19,2 ;0 ;4,74 ;12,0 ;-1 ;2,35 ;15,9 ;0 ;
2231 ;0:00,50 ;3739 ;0 ;88;41;57;0,937 ;19,6 ;18,8 ;20,0 ;1089,2 ;0 ;4,63 ;12,1 ;1365 ;2,31 ;15,9 ;0 ;
2231 ;0:00,60 ;3735 ;0 ;88;41;57;0,936 ;19,9 ;18,8 ;20,1 ;19,3 ;0 ;4,71 ;11,9 ;-2 ;2,31 ;15,9 ;0 ;
2231 ;0:00,70 ;3645 ;0 ;88;41;58;0,939 ;20,0 ;19,0 ;20,2 ;19,6 ;0 ;4,73 ;12,0 ;-1 ;2,33 ;15,6 ;0 ;
2231 ;0:00,80 ;3714 ;0 ;88;41;56;0,939 ;20,1 ;19,3 ;20,4 ;19,7 ;0 ;4,63 ;11,9 ;-1 ;2,26 ;15,8 ;0 ;
2231 ;0:00,90 ;3756 ;0 ;88;41;55;0,947 ;20,2 ;19,2 ;20,4 ;19,8 ;0 ;4,73 ;12,1 ;-1 ;2,23 ;16,0 ;0 ;
2231 ;0:01,00 ;3836 ;0 ;88;41;54;0,960 ;20,4 ;19,5 ;20,8 ;20,0 ;0 ;4,67 ;12,0 ;0 ;2,20 ;16,3 ;0 ;
2231 ;0:01,10 ;3847 ;0 ;88;41;54;0,962 ;20,5 ;19,6 ;21,0 ;20,0 ;0 ;4,65 ;12,0 ;-1 ;2,20 ;16,3 ;0 ;
2231 ;0:01,20 ;3870 ;0 ;88;41;54;0,964 ;20,6 ;19,7 ;21,0 ;20,2 ;0 ;4,64 ;12,0 ;0 ;2,21 ;16,4 ;0 ;
2231 ;0:01,30 ;3861 ;0 ;88;41;54;0,975 ;20,7 ;20,1 ;21,2 ;20,6 ;0 ;4,72 ;12,1 ;0 ;2,21 ;16,4 ;0 ;
2231 ;0:01,40 ;3935 ;0 ;88;41;54;0,974 ;20,6 ;20,4 ;21,1 ;20,7 ;0 ;4,68 ;12,1 ;0 ;2,22 ;16,7 ;0 ;
2231 ;0:01,50 ;3927 ;0 ;88;41;53;0,961 ;20,5 ;20,7 ;21,1 ;21,3 ;0 ;4,67 ;12,0 ;1 ;2,17 ;16,6 ;0 ;
2231 ;0:01,60 ;4043 ;0 ;88;41;53;0,972 ;20,8 ;20,9 ;21,5 ;21,4 ;0 ;4,67 ;11,9 ;2 ;2,19 ;17,4 ;0 ;
2231 ;0:01,70 ;4061 ;0 ;88;41;53;0,993 ;21,0 ;21,1 ;21,6 ;21,6 ;0 ;4,70 ;12,1 ;2 ;2,19 ;17,6 ;0 ;
