"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Ana1"|"bar"|-1000.0|1000.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
42163,1561297088016,2,2.06,2.27,3.41,1.57,3.19,1.09,0.67,0.53,-19,-3,-13,1.28,7600,16,89,39,25,894,427.0,565,463,60,126.0,111,1,266,157,45,0,0,420,31796,-1562,396,181.28,,,,,,,,,,,,
42183,1561297088036,1,2.05,2.33,3.46,1.57,3.14,1.16,0.81,0.45,-20,-4,-15,1.41,7545,15,89,39,26,893,426.0,566,458,60,124.0,111,1,268,158,45,0,0,419,13552,-19019,393,-5.59,,,,,,,,,,,,
42203,1561297088056,2,2.05,2.34,3.48,1.57,3.09,1.2,0.87,0.45,-21,-5,-17,1.48,7533,17,89,39,27,893,426.0,559,461,60,125.0,115,1,272,159,45,0,0,421,-3856,-6524,390,181.28,,,,,,,,,,,,
42223,1561297088076,2,2.04,2.38,3.51,1.57,3.09,1.23,0.9,0.4,-21,-6,-18,1.52,7479,20,89,39,29,892,424.0,562,461,60,125.0,115,1,278,162,45,0,0,419,-4082,-6475,388,181.28,,,,,,,,,,,,
42243,1561297088101,1,2.05,2.37,3.52,1.56,3.1,1.29,1.0,0.39,-21,-6,-19,1.63,7488,22,89,39,31,892,420.0,563,458,60,125.0,115,1,286,165,45,0,0,420,-8165,3,385,-5.59,45.698776,4.909781,40.0,196.8,0,0.0,0,0.0,0.4123,1,0.27,0.704
42263,1561297088121,1,2.05,2.37,3.51,1.57,3.1,1.3,1.06,0.36,-22,-6,-21,1.67,7440,14,89,39,33,897,420.0,565,459,60,126.0,115,1,292,172,45,0,0,413,-8165,-18948,385,-5.59,,,,,,,,,,,,
42283,1561297088141,1,2.05,2.37,3.5,1.56,3.09,1.37,1.12,0.4,-24,-9,-22,1.77,7437,18,89,39,34,900,422.0,561,460,60,126.0,115,1,295,177,45,0,0,418,-3414,-6656,383,181.28,,,,,,,,,,,,
42303,1561297088161,-2,2.05,2.38,3.48,1.56,3.08,1.43,1.21,0.44,-24,-10,-23,1.88,7361,25,89,39,36,904,422.0,556,460,60,126.0,132,1,301,188,51,0,0,415,-8165,-6656,381,181.28,,,,,,,,,,,,
42323,1561297088181,-0,2.05,2.39,3.48,1.56,3.09,1.49,1.29,0.49,-24,-9,-24,1.97,7352,21,89,39,38,912,420.0,558,462,60,126.0,132,1,307,200,51,0,0,416,-8165,486,381,181.28,,,,,,,,,,,,
42343,1561297088201,-0,2.05,2.39,3.45,1.54,3.11,1.54,1.24,0.61,-25,-9,-26,1.98,7358,22,89,39,39,922,419.0,560,459,60,124.0,132,1,310,206,51,0,0,411,7154,-6656,378,414.87,45.698776,4.909794,39.37,196.8,0,0.0,0,0.0,0.414,1,0.28,0.7057
