SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;

785 ;0:00,10 ;809 ;16 ;92;98;0,505 ;1,1 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;3,16 ;1,25 ;12,2 ;-100 ;0 ;0 ;
785 ;0:00,20 ;809 ;16 ;92;98;0,507 ;1,1 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;3,21 ;1,24 ;12,2 ;-100 ;0 ;0 ;
785 ;0:00,30 ;809 ;16 ;92;98;0,510 ;1,1 ;0,0 ;1,2 ;0,0 ;1,000 ;0 ;3,25 ;1,31 ;12,2 ;-72 ;0 ;0 ;
785 ;0:00,40 ;1291 ;16 ;92;89;0,515 ;1,1 ;0,0 ;1,2 ;0,0 ;1,000 ;0 ;3,30 ;1,61 ;12,4 ;-72 ;0 ;0 ;
785 ;0:00,50 ;1997 ;16 ;92;82;0,524 ;1,1 ;0,0 ;1,2 ;0,0 ;1,000 ;0 ;3,35 ;1,92 ;12,4 ;-72 ;0 ;1 ;
785 ;0:00,60 ;2712 ;16 ;92;73;0,540 ;1,2 ;0,0 ;1,2 ;0,0 ;1,000 ;0 ;3,40 ;2,27 ;12,3 ;-75 ;0 ;0 ;
785 ;0:00,70 ;3390 ;16 ;92;64;0,585 ;1,2 ;0,0 ;1,2 ;0,0 ;1,000 ;0 ;3,47 ;2,66 ;12,3 ;-75 ;0 ;0 ;
785 ;0:00,80 ;4072 ;16 ;92;57;0,686 ;1,3 ;0,0 ;1,3 ;1,4 ;1,000 ;0 ;3,52 ;3,15 ;12,3 ;0 ;0 ;0 ;
785 ;0:00,90 ;4820 ;16 ;92;51;0,754 ;1,3 ;0,0 ;1,3 ;1,4 ;1,000 ;0 ;3,59 ;3,59 ;12,4 ;0 ;0 ;0 ;
785 ;0:01,00 ;5548 ;16 ;92;42;0,852 ;1,4 ;0,0 ;1,4 ;1,4 ;1,000 ;0 ;3,67 ;4,16 ;12,4 ;0 ;0 ;0 ;
785 ;0:01,10 ;6379 ;16 ;92;36;0,918 ;1,4 ;0,0 ;1,4 ;1,4 ;1,000 ;0 ;3,79 ;4,81 ;12,4 ;0 ;0 ;0 ;
785 ;0:01,20 ;7236 ;16 ;92;35;0,948 ;1,5 ;0,0 ;1,5 ;1,4 ;1,000 ;0 ;4,63 ;5,43 ;12,4 ;-6 ;0 ;0 ;
785 ;0:01,30 ;7275 ;16 ;92;35;0,952 ;1,5 ;0,0 ;1,5 ;1,5 ;1,000 ;0 ;4,61 ;5,50 ;11,8 ;0 ;0 ;0 ;
785 ;0:01,40 ;7281 ;16 ;92;35;0,961 ;1,6 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,63 ;5,28 ;11,9 ;0 ;0 ;0 ;
785 ;0:01,50 ;7239 ;16 ;92;35;0,962 ;1,6 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,62 ;5,33 ;11,9 ;0 ;0 ;0 ;
785 ;0:01,60 ;7222 ;16 ;92;35;0,962 ;1,6 ;0,0 ;1,6 ;1,7 ;1,000 ;0 ;4,61 ;5,32 ;11,8 ;0 ;0 ;0 ;
785 ;0:01,70 ;7225 ;16 ;92;35;0,970 ;1,7 ;0,0 ;1,7 ;1,7 ;1,000 ;0 ;4,64 ;5,31 ;11,9 ;0 ;0 ;0 ;
785 ;0:01,80 ;7231 ;16 ;91;35;0,971 ;1,7 ;0,0 ;1,7 ;1,7 ;1,000 ;0 ;4,61 ;5,28 ;11,8 ;0 ;0 ;0 ;
785 ;0:01,90 ;7239 ;16 ;91;34;0,960 ;1,6 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,63 ;5,30 ;11,8 ;0 ;0 ;0 ;
785 ;0:02,00 ;7250 ;16 ;91;34;0,952 ;1,6 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,63 ;5,30 ;11,7 ;0 ;0 ;0 ;
785 ;0:02,10 ;7264 ;16 ;91;34;0,954 ;1,6 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,65 ;5,43 ;11,7 ;0 ;0 ;0 ;
785 ;0:02,20 ;7242 ;16 ;91;34;0,967 ;1,6 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,60 ;5,31 ;11,9 ;0 ;0 ;0 ;
785 ;0:02,30 ;7219 ;16 ;91;35;0,970 ;1,5 ;0,0 ;1,6 ;1,6 ;1,000 ;0 ;4,60 ;5,20 ;11,8 ;6 ;0 ;0 ;
785 ;0:02,40 ;7228 ;16 ;91;34;0,965 ;1,5 ;0,0 ;1,6 ;1,5 ;1,000 ;0 ;4,59 ;5,30 ;11,9 ;0 ;0 ;0 ;
785 ;0:02,50 ;7250 ;16 ;91;34;0,961 ;1,3 ;0,0 ;1,4 ;1,2 ;1,000 ;0 ;4,61 ;5,33 ;11,9 ;-7 ;0 ;0 ;
785 ;0:02,60 ;7253 ;16 ;91;34;0,957 ;1,3 ;0,0 ;1,4 ;1,2 ;1,000 ;0 ;4,62 ;5,44 ;11,8 ;-7 ;0 ;0 ;
785 ;0:02,70 ;7239 ;16 ;91;34;0,951 ;0,9 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,44 ;11,8 ;-100 ;0 ;0 ;
785 ;0:02,80 ;7256 ;16 ;91;34;0,954 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,58 ;5,37 ;11,8 ;-1 ;0 ;0 ;
785 ;0:02,90 ;7321 ;16 ;91;34;0,950 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,32 ;11,9 ;-1 ;0 ;0 ;
785 ;0:03,00 ;7301 ;16 ;91;34;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,41 ;11,7 ;-1 ;0 ;0 ;
785 ;0:03,10 ;7287 ;16 ;91;34;0,937 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,65 ;5,29 ;11,8 ;-1 ;0 ;0 ;
785 ;0:03,20 ;7256 ;16 ;91;34;0,951 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,57 ;5,24 ;11,9 ;-1 ;0 ;0 ;
785 ;0:03,30 ;7253 ;16 ;91;34;0,948 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,56 ;5,30 ;11,9 ;-1 ;0 ;0 ;
785 ;0:03,40 ;7242 ;16 ;91;35;0,956 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,32 ;11,7 ;-1 ;0 ;0 ;
785 ;0:03,50 ;7228 ;16 ;91;34;0,964 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,35 ;11,8 ;-1 ;0 ;0 ;
785 ;0:03,60 ;7239 ;16 ;91;34;0,959 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,40 ;11,7 ;-1 ;0 ;0 ;
785 ;0:03,70 ;7239 ;16 ;91;34;0,945 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,35 ;11,8 ;-1 ;0 ;0 ;
785 ;0:03,80 ;7275 ;16 ;91;34;0,934 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,60 ;5,44 ;11,8 ;-1 ;0 ;0 ;
785 ;0:03,90 ;7298 ;16 ;91;34;0,928 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,64 ;5,35 ;11,8 ;-1 ;0 ;0 ;
785 ;0:04,00 ;7298 ;16 ;91;34;0,928 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,34 ;11,7 ;-1 ;0 ;0 ;
785 ;0:04,10 ;7250 ;16 ;91;34;0,947 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,60 ;5,40 ;11,8 ;-1 ;0 ;0 ;
785 ;0:04,20 ;7247 ;16 ;91;35;0,960 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,58 ;5,34 ;11,7 ;-1 ;0 ;0 ;
785 ;0:04,30 ;7217 ;16 ;91;35;0,955 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,31 ;11,8 ;-1 ;0 ;0 ;
785 ;0:04,40 ;7219 ;16 ;91;34;0,952 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,59 ;5,31 ;11,8 ;-1 ;0 ;0 ;
785 ;0:04,50 ;7211 ;16 ;91;35;0,944 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,28 ;11,6 ;-1 ;0 ;0 ;
785 ;0:04,60 ;7217 ;16 ;91;34;0,941 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,37 ;11,8 ;-1 ;0 ;0 ;
785 ;0:04,70 ;7239 ;16 ;91;35;0,949 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,39 ;11,5 ;-1 ;0 ;0 ;
785 ;0:04,80 ;7233 ;16 ;91;35;0,950 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,60 ;5,32 ;11,7 ;-1 ;0 ;0 ;
785 ;0:04,90 ;7250 ;16 ;91;34;0,945 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,59 ;5,37 ;11,7 ;-1 ;0 ;0 ;
785 ;0:05,00 ;7278 ;16 ;91;34;0,950 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,65 ;5,33 ;11,8 ;-1 ;0 ;0 ;
785 ;0:05,10 ;7281 ;16 ;91;34;0,955 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,28 ;11,8 ;-1 ;0 ;0 ;
785 ;0:05,20 ;7278 ;16 ;91;35;0,954 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,41 ;11,7 ;-1 ;0 ;0 ;
785 ;0:05,30 ;7233 ;16 ;91;35;0,950 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,29 ;11,7 ;-1 ;0 ;0 ;
785 ;0:05,40 ;7205 ;16 ;91;35;0,954 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,57 ;5,21 ;11,7 ;-1 ;0 ;0 ;
785 ;0:05,50 ;7211 ;16 ;91;35;0,956 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,41 ;11,7 ;-1 ;0 ;0 ;
785 ;0:05,60 ;7217 ;16 ;91;35;0,956 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,58 ;5,24 ;11,7 ;-1 ;0 ;0 ;
785 ;0:05,70 ;7244 ;16 ;91;35;0,946 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,60 ;5,33 ;11,6 ;-1 ;0 ;0 ;
785 ;0:05,80 ;7242 ;16 ;91;34;0,944 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,57 ;5,32 ;11,9 ;-1 ;0 ;0 ;
785 ;0:05,90 ;7267 ;16 ;91;34;0,941 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,57 ;5,27 ;11,8 ;-1 ;0 ;0 ;
785 ;0:06,00 ;7267 ;16 ;91;34;0,943 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,31 ;11,8 ;-1 ;0 ;0 ;
785 ;0:06,10 ;7236 ;16 ;91;35;0,947 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,36 ;11,7 ;-1 ;0 ;0 ;
785 ;0:06,20 ;7228 ;16 ;91;35;0,952 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,34 ;11,7 ;-1 ;0 ;0 ;
785 ;0:06,30 ;7259 ;16 ;91;35;0,950 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,59 ;5,33 ;11,9 ;-1 ;0 ;0 ;
785 ;0:06,40 ;7244 ;16 ;91;35;0,951 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,60 ;5,33 ;11,8 ;-1 ;0 ;0 ;
785 ;0:06,50 ;7233 ;16 ;91;35;0,955 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,23 ;11,8 ;-1 ;0 ;0 ;
785 ;0:06,60 ;7192 ;16 ;91;35;0,961 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,58 ;5,24 ;11,9 ;-1 ;0 ;0 ;
785 ;0:06,70 ;7148 ;16 ;91;35;0,962 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,58 ;5,24 ;11,9 ;-1 ;0 ;0 ;
785 ;0:06,80 ;7129 ;16 ;91;35;0,960 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,24 ;11,7 ;-1 ;0 ;0 ;
785 ;0:06,90 ;7091 ;16 ;91;35;0,953 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,39 ;11,7 ;-1 ;0 ;0 ;
785 ;0:07,00 ;7142 ;16 ;91;35;0,956 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,58 ;5,26 ;11,9 ;-1 ;0 ;0 ;
785 ;0:07,10 ;7164 ;16 ;91;35;0,957 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,24 ;11,8 ;-1 ;0 ;0 ;
785 ;0:07,20 ;7118 ;16 ;91;35;0,951 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,57 ;5,23 ;11,7 ;-1 ;0 ;0 ;
785 ;0:07,30 ;7156 ;16 ;90;35;0,957 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,21 ;11,6 ;-1 ;0 ;0 ;
785 ;0:07,40 ;7140 ;16 ;90;36;0,965 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,63 ;5,20 ;11,6 ;-1 ;0 ;0 ;
785 ;0:07,50 ;7121 ;16 ;90;35;0,975 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,21 ;11,8 ;-1 ;0 ;0 ;
785 ;0:07,60 ;7142 ;16 ;90;35;0,982 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,25 ;11,8 ;-1 ;0 ;0 ;
785 ;0:07,70 ;7094 ;16 ;90;36;0,983 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,62 ;5,30 ;11,7 ;-1 ;0 ;0 ;
785 ;0:07,80 ;7064 ;16 ;90;36;0,981 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,26 ;11,7 ;-1 ;0 ;0 ;
785 ;0:07,90 ;7075 ;16 ;90;36;0,982 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,59 ;5,11 ;11,8 ;-1 ;0 ;0 ;
785 ;0:08,00 ;7094 ;16 ;90;36;0,992 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,61 ;5,20 ;11,8 ;-1 ;0 ;0 ;
785 ;0:08,10 ;7099 ;16 ;90;36;0,989 ;0,0 ;0,0 ;0,0 ;0,0 ;1,000 ;0 ;4,59 ;5,20 ;11,9 ;-1 ;0 ;0 ;
