SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;L/100K;

774 ;0:00,10 ;720 ;29 ;94;98;1,498 ;0,0 ;31,5 ;33,2 ;31,4 ;1,000 ;0 ;1,25 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:00,20 ;720 ;29 ;94;98;1,498 ;0,0 ;31,5 ;32,8 ;31,2 ;1,000 ;0 ;1,26 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:00,30 ;720 ;29 ;94;98;1,498 ;0,0 ;31,5 ;33,6 ;31,1 ;1,000 ;0 ;1,26 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:00,40 ;720 ;29 ;94;98;1,498 ;0,0 ;31,8 ;33,7 ;31,4 ;1,000 ;0 ;1,26 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:00,50 ;990 ;14 ;94;93;1,498 ;0,0 ;31,9 ;34,5 ;31,9 ;1,000 ;0 ;1,48 ;11,9 ;1 ;0 ;0 ;0,0;
774 ;0:00,60 ;1055 ;11 ;94;93;1,498 ;0,0 ;32,2 ;33,9 ;31,9 ;1,000 ;0 ;1,49 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:00,70 ;1309 ;11 ;94;87;1,498 ;0,0 ;32,6 ;33,9 ;32,3 ;1,000 ;0 ;1,59 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:00,80 ;1860 ;11 ;94;79;1,498 ;0,0 ;33,0 ;34,6 ;32,6 ;1,000 ;0 ;1,83 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:00,90 ;2315 ;11 ;94;72;1,498 ;0,0 ;33,3 ;34,3 ;33,3 ;1,000 ;0 ;2,01 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:01,00 ;2889 ;12 ;94;65;1,485 ;0,0 ;33,7 ;34,9 ;33,8 ;1,000 ;0 ;2,30 ;12,1 ;0 ;0 ;0 ;0,0;
774 ;0:01,10 ;3350 ;12 ;94;60;1,410 ;0,0 ;34,1 ;35,5 ;33,8 ;1,000 ;0 ;2,46 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:01,20 ;3702 ;13 ;94;55;1,352 ;0,0 ;34,5 ;35,4 ;34,2 ;1,000 ;0 ;2,77 ;12,1 ;0 ;0 ;0 ;0,0;
774 ;0:01,30 ;4076 ;13 ;94;54;1,359 ;0,0 ;34,8 ;35,8 ;34,6 ;1,000 ;0 ;2,97 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:01,40 ;4350 ;13 ;94;54;1,269 ;0,0 ;35,3 ;36,3 ;35,4 ;1,000 ;0 ;3,17 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:01,50 ;4452 ;13 ;94;53;1,139 ;0,0 ;36,0 ;37,0 ;36,0 ;1,000 ;0 ;3,13 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:01,60 ;4635 ;13 ;94;52;1,095 ;0,0 ;36,1 ;36,5 ;36,1 ;1,000 ;0 ;3,32 ;11,8 ;0 ;0 ;0 ;0,0;
774 ;0:01,70 ;4977 ;13 ;94;50;1,123 ;0,0 ;36,1 ;36,8 ;36,1 ;1,000 ;0 ;3,60 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:01,80 ;5305 ;13 ;93;46;1,317 ;0,0 ;36,4 ;37,1 ;36,3 ;1,000 ;0 ;3,83 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:01,90 ;5612 ;13 ;93;41;1,483 ;0,0 ;36,8 ;37,5 ;36,6 ;1,000 ;0 ;4,14 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:02,00 ;5879 ;13 ;93;37;1,498 ;0,0 ;37,1 ;37,2 ;36,7 ;1,000 ;0 ;4,07 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:02,10 ;6113 ;13 ;93;34;1,498 ;0,0 ;37,4 ;37,2 ;37,3 ;1,000 ;0 ;4,31 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:02,20 ;6546 ;13 ;93;31;1,474 ;0,0 ;37,7 ;37,7 ;37,5 ;1,000 ;0 ;4,71 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:02,30 ;7025 ;13 ;93;29;1,343 ;0,0 ;38,0 ;37,9 ;36,9 ;1,000 ;0 ;4,86 ;12,0 ;-2 ;0 ;0 ;0,0;
774 ;0:02,40 ;7145 ;14 ;93;28;1,203 ;0,0 ;38,6 ;38,0 ;6,4 ;1,000 ;0 ;4,95 ;12,0 ;-62 ;0 ;0 ;0,0;
774 ;0:02,50 ;7214 ;14 ;93;28;1,091 ;0,0 ;39,5 ;38,5 ;38,3 ;1,000 ;0 ;5,07 ;12,0 ;-3 ;0 ;0 ;0,0;
774 ;0:02,60 ;7402 ;14 ;93;27;1,013 ;0,0 ;40,1 ;39,8 ;39,3 ;1,000 ;0 ;4,98 ;12,0 ;-1 ;0 ;0 ;0,0;
774 ;0:02,70 ;7464 ;14 ;93;27;0,971 ;0,0 ;40,6 ;40,5 ;42,4 ;1,000 ;0 ;5,15 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:02,80 ;7640 ;14 ;93;27;0,939 ;0,0 ;41,1 ;40,6 ;7,6 ;1,000 ;0 ;5,29 ;12,0 ;-61 ;0 ;0 ;0,0;
774 ;0:02,90 ;7631 ;15 ;93;27;0,905 ;0,0 ;41,4 ;40,9 ;41,3 ;1,000 ;0 ;5,33 ;11,9 ;0 ;0 ;0 ;0,0;
774 ;0:03,00 ;7815 ;15 ;93;27;0,870 ;0,0 ;42,1 ;41,1 ;41,7 ;1,000 ;0 ;5,56 ;11,9 ;-2 ;0 ;0 ;0,0;
774 ;0:03,10 ;7802 ;15 ;93;28;0,844 ;0,0 ;42,2 ;41,2 ;8,8 ;1,000 ;0 ;5,34 ;11,9 ;-59 ;0 ;0 ;0,0;
774 ;0:03,20 ;7628 ;15 ;93;28;0,812 ;0,0 ;43,0 ;43,3 ;42,7 ;1,000 ;0 ;5,21 ;12,0 ;0 ;0 ;0 ;0,0;
774 ;0:03,30 ;7864 ;16 ;93;28;0,926 ;0,0 ;43,6 ;42,9 ;10,9 ;1,000 ;0 ;5,40 ;12,0 ;-56 ;0 ;0 ;0,0;
774 ;0:03,40 ;7968 ;16 ;93;32;1,283 ;0,0 ;43,5 ;43,1 ;4,6 ;1,000 ;0 ;5,47 ;11,9 ;-67 ;0 ;0 ;0,0;
774 ;0:03,50 ;8071 ;17 ;93;40;1,498 ;0,0 ;43,2 ;43,3 ;5,9 ;1,000 ;0 ;5,48 ;11,9 ;-64 ;0 ;0 ;0,0;
