"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
84643,1556369364896,0.435,0.415,0.4022,0.01,0.02,0.98,0,-2,-1,0,19,73,22,99,1214,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
84663,1556369364916,0.44,0.402,0.4022,0.01,0.02,0.98,0,-2,-1,0,19,73,22,99,1214,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84683,1556369364936,0.435,0.415,0.4047,0.02,0.02,0.97,-0,-2,-1,0,19,73,22,99,1214,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84703,1556369364956,0.435,0.415,0.4035,0.02,0.02,0.97,-0,-1,-0,0,19,73,22,99,1214,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84723,1556369364976,0.439,0.408,0.4072,0.01,0.02,0.98,-0,-0,-0,0,19,73,22,99,1214,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84743,1556369364992,0.439,0.41,0.4035,0.01,0.02,0.98,-0,-0,-0,0,19,73,22,99,1214,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
84763,1556369365012,0.439,0.4,0.3997,0.02,0.02,0.97,-0,-1,-0,0,19,73,22,99,1214,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84783,1556369365032,0.441,0.412,0.4022,0.02,0.02,0.97,-0,-1,-0,0,19,73,22,99,1215,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84803,1556369365052,0.44,0.41,0.4035,0.02,0.02,0.97,-0,-0,-0,0,19,73,22,99,1216,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84823,1556369365072,0.439,0.416,0.4022,0.02,0.02,0.98,-0,-1,-0,0,19,73,22,99,1217,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84843,1556369365098,0.427,0.41,0.406,0.02,0.02,0.97,-0,-1,-0,0,19,73,22,99,1218,0.0,300,96,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
84863,1556369365118,0.441,0.412,0.3972,0.02,0.02,0.97,0,-1,-0,0,19,73,22,99,1219,0.0,300,96,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84883,1556369365138,0.44,0.414,0.3934,0.02,0.02,0.98,0,-0,-1,0,19,73,22,99,1219,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84903,1556369365158,0.436,0.41,0.4047,0.02,0.02,0.97,1,0,-1,0,19,73,22,99,1219,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84923,1556369365178,0.439,0.408,0.406,0.02,0.02,0.97,1,4,-1,0,19,73,22,99,1220,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84943,1556369365198,0.434,0.414,0.3972,0.02,0.02,0.97,1,2,-1,0,19,73,22,99,1220,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
84963,1556369365218,0.434,0.408,0.4047,0.02,0.02,0.98,1,3,-1,0,19,73,22,99,1220,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
84983,1556369365238,0.436,0.407,0.3972,0.02,0.02,0.97,1,2,-1,0,19,73,22,99,1220,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
