"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10
51564,1558278131226,0.96,-0.15,0.43,0,-2,6,4312,0,73,27,45,502,0.0,424,463,60,120.0,0,1,303,369,76,0,0,0,250,250,0,,,,,
51584,1558278131246,0.93,-0.21,0.28,0,0,4,4142,0,73,27,45,502,0.0,397,466,60,120.0,0,1,299,110,57,0,0,0,250,250,0,,,,,
51604,1558278131266,0.91,-0.14,0.44,0,-1,1,3982,0,73,27,43,503,0.0,384,454,60,119.0,0,1,301,356,57,0,0,0,250,250,0,,,,,
51624,1558278131286,0.86,-0.15,0.51,0,-2,1,3865,0,73,27,43,503,0.0,370,457,60,119.0,0,1,286,354,57,0,0,0,250,250,0,,,,,
51644,1558278131308,0.87,-0.09,0.6,0,-4,-1,3681,0,73,27,42,503,0.0,354,457,60,120.0,0,1,264,344,57,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
51664,1558278131328,0.82,-0.09,0.57,0,-4,0,3557,0,73,27,42,503,0.0,343,461,60,120.0,0,1,247,343,57,0,0,0,250,250,0,,,,,
51684,1558278131348,0.82,-0.07,0.61,0,-3,-0,3368,0,73,27,42,503,0.0,327,453,60,118.0,0,1,240,98,41,0,0,0,250,250,0,,,,,
51704,1558278131368,0.82,-0.05,0.67,0,-3,-0,3236,0,73,27,43,503,0.0,309,455,60,117.0,0,1,240,321,41,0,0,0,250,250,0,,,,,
51724,1558278131388,0.79,-0.02,0.72,0,-4,-2,3099,0,73,27,44,503,0.0,292,459,60,120.0,0,1,240,313,41,0,0,0,250,250,0,,,,,
51744,1558278131408,0.77,-0.01,0.77,0,-6,-4,2956,0,73,27,45,504,0.0,289,456,60,119.0,0,1,240,308,41,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
51764,1558278131428,0.72,-0.0,0.81,0,-7,-5,2806,0,73,27,46,504,0.0,271,454,60,119.0,0,1,240,313,41,0,0,0,250,250,0,,,,,
51784,1558278131448,0.65,0.02,0.8,0,-6,-6,2723,0,73,27,46,504,0.0,276,458,60,119.0,0,1,240,94,32,0,0,0,250,250,0,,,,,
51804,1558278131468,0.67,0.03,0.75,0,-4,-5,2554,0,73,27,47,504,0.0,246,458,60,120.0,0,1,240,96,32,0,0,0,250,250,0,,,,,
51824,1558278131488,0.69,0.01,0.74,0,-5,-5,2374,0,73,27,47,504,0.0,238,457,60,120.0,0,1,287,315,32,0,0,0,250,250,0,,,,,
51844,1558278131508,0.69,0.01,0.74,0,-4,-4,2280,0,73,27,49,505,0.0,235,460,60,120.0,0,1,287,327,32,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
51864,1558278131528,0.72,0.02,0.68,0,-3,-5,2077,0,72,27,50,504,0.0,221,450,60,117.0,0,1,287,330,32,0,0,0,250,250,0,,,,,
51884,1558278131548,0.7,-0.0,0.71,0,-4,-3,1969,9,72,27,54,504,0.0,200,463,60,120.0,0,1,240,111,25,0,0,0,250,250,0,,,,,
51904,1558278131568,0.73,0.01,0.64,0,-3,-4,1854,33,72,27,63,505,0.0,199,461,60,120.0,0,1,240,146,25,0,0,0,250,250,0,,,,,
51924,1558278131588,0.73,-0.0,0.67,0,-3,-3,1725,55,72,27,77,505,0.0,188,461,60,120.0,0,1,240,447,25,0,0,0,250,250,0,,,,,
51944,1558278131608,0.75,0.01,0.63,0,-3,-3,1591,63,72,27,90,505,0.0,176,457,60,120.0,0,1,240,684,25,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
51964,1558278131628,0.75,0.0,0.61,0,-4,-2,1444,64,72,27,96,505,0.0,165,461,60,120.0,0,1,228,708,25,0,0,0,250,250,0,,,,,
51984,1558278131648,0.75,0.01,0.59,0,-3,-2,1279,64,72,27,97,505,0.0,155,462,60,120.0,0,1,194,213,34,0,0,0,250,250,0,,,,,
52004,1558278131668,0.75,0.0,0.62,0,-2,-1,1100,64,72,27,97,505,0.0,155,462,60,118.0,0,1,157,698,34,0,0,0,250,250,0,,,,,
52024,1558278131688,0.76,0.01,0.6,0,-2,-1,1100,64,72,27,97,505,0.0,148,459,60,119.0,0,1,157,210,34,0,0,0,250,250,0,,,,,
52044,1558278131708,0.75,0.01,0.63,0,-2,-1,892,64,72,27,97,505,0.0,140,459,60,118.0,0,1,137,692,34,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
52064,1558278131728,0.77,0.01,0.6,0,-1,-2,892,48,72,27,97,506,0.0,142,458,60,119.0,0,1,137,692,34,0,0,0,250,250,0,,,,,
52084,1558278131748,0.75,0.01,0.62,0,-2,-1,867,21,72,27,97,506,0.0,148,458,60,120.0,0,1,137,690,22,0,0,0,250,250,0,,,,,
52104,1558278131768,0.77,0.02,0.57,0,-1,-1,1207,0,72,27,95,505,0.0,160,456,60,119.0,0,1,300,690,22,0,0,0,250,250,0,,,,,
52124,1558278131788,0.76,0.01,0.6,0,0,-1,1479,0,72,27,94,505,0.0,174,455,60,120.0,0,1,300,691,22,0,0,0,250,250,0,,,,,
52144,1558278131808,0.79,0.01,0.58,0,1,-1,1662,0,72,27,92,505,0.0,174,462,60,120.0,0,1,300,702,22,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
52164,1558278131828,0.78,0.0,0.59,0,1,-0,1537,0,72,27,90,505,0.0,171,458,60,120.0,0,1,300,665,22,0,0,0,250,250,0,,,,,
52184,1558278131848,0.78,0.01,0.56,0,1,-1,1391,0,72,27,89,504,0.0,162,458,60,120.0,0,1,300,636,33,0,0,0,250,250,0,,,,,
52204,1558278131868,0.78,0.01,0.59,0,1,-0,1221,0,72,27,88,504,0.0,158,458,60,119.0,0,1,300,614,33,0,0,0,250,250,0,,,,,
52224,1558278131888,0.79,0.01,0.61,0,1,-1,1269,0,71,27,88,504,0.0,165,453,60,118.0,0,1,300,614,33,0,0,0,250,250,0,,,,,
52244,1558278131908,0.78,0.01,0.64,0,-1,-1,1454,0,71,27,88,504,0.0,175,458,60,117.0,0,1,300,632,33,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
52264,1558278131928,0.78,0.02,0.63,0,-1,-1,1454,0,71,27,88,505,0.0,170,455,60,118.0,0,1,300,632,33,0,0,0,250,250,0,,,,,
52284,1558278131948,0.78,0.02,0.62,0,-1,-1,1299,0,71,27,89,506,0.0,157,460,60,120.0,0,1,300,632,31,0,0,0,250,250,0,,,,,
52304,1558278131968,0.78,0.02,0.62,0,-1,-1,1118,0,71,27,88,506,0.0,150,461,60,119.0,0,1,300,610,31,0,0,0,250,250,0,,,,,
52324,1558278131988,0.8,0.02,0.62,0,-1,-1,1118,0,71,27,89,506,0.0,145,454,60,116.0,0,1,300,630,31,0,0,0,250,250,0,,,,,
52344,1558278132003,0.79,0.02,0.62,0,-0,-1,902,0,71,27,91,506,0.0,135,459,60,118.0,0,1,300,201,31,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
52364,1558278132023,0.8,0.02,0.62,0,-1,-1,902,2,71,27,92,506,0.0,140,453,60,115.0,0,1,300,202,31,0,0,0,250,250,0,,,,,
52384,1558278132043,0.79,0.02,0.62,0,-1,-1,733,26,71,27,94,506,0.0,133,457,60,118.0,0,1,137,687,18,0,0,0,250,250,0,,,,,
52404,1558278132063,0.79,0.01,0.63,0,-1,-1,733,52,71,27,97,506,0.0,132,458,60,117.0,0,1,137,697,18,0,0,0,250,250,0,,,,,
52424,1558278132083,0.78,0.01,0.63,0,-1,-1,566,64,71,27,97,506,0.0,128,458,60,117.0,0,1,137,697,18,0,0,0,250,250,0,,,,,
52444,1558278132107,0.79,0.01,0.62,0,-1,-1,566,64,71,27,97,506,0.0,120,458,60,117.0,0,1,137,697,18,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
52464,1558278132127,0.79,0.01,0.61,0,-2,-0,566,64,71,27,97,506,0.0,111,458,60,117.0,0,1,137,697,18,0,0,0,250,250,0,,,,,
52484,1558278132147,0.8,0.01,0.59,0,-1,-1,566,64,71,27,97,506,0.0,115,458,60,117.0,0,1,137,697,14,0,0,0,250,250,0,,,,,
52504,1558278132167,0.79,0.01,0.62,0,-1,-0,566,64,71,27,97,507,0.0,113,458,60,117.0,0,1,137,617,14,0,0,0,250,250,0,,,,,
52524,1558278132187,0.8,0.01,0.61,0,-1,-0,566,64,71,27,97,507,0.0,116,458,60,117.0,0,1,137,697,14,0,0,0,250,250,0,,,,,
52544,1558278132207,0.79,0.02,0.61,0,-0,-0,566,49,71,27,97,507,0.0,116,458,60,117.0,0,1,137,697,14,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
52564,1558278132227,0.79,0.02,0.6,0,-0,-0,566,18,71,27,98,507,0.0,116,458,60,117.0,0,1,137,702,14,0,0,0,250,250,0,,,,,
52584,1558278132247,0.79,0.02,0.61,0,-0,-0,566,0,71,27,98,507,0.0,115,458,60,117.0,0,1,300,702,14,0,0,0,250,250,0,,,,,
52604,1558278132267,0.8,0.02,0.61,1,-0,-0,566,0,70,27,98,507,0.0,116,458,60,117.0,0,1,300,210,14,0,0,0,250,250,0,,,,,
52624,1558278132287,0.8,0.02,0.6,1,-0,-0,566,0,70,27,97,507,0.0,116,458,60,117.0,0,1,300,208,14,0,0,0,250,250,0,,,,,
