"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Ana1"|"bar"|-1000.0|1000.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
264084,1564213406558,3,2.3,1.12,0.64,1.4,1.18,0.8,-0.01,0.55,0,-1,-1,0.8,4841,17,77,32,68,820,0.0,530,466,60,130.0,0,1,260,313,55,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264104,1564213406578,3,2.31,1.12,0.64,1.39,1.18,0.81,0.03,0.58,0,-1,-1,0.81,4801,17,77,32,67,823,0.0,532,457,60,130.0,0,1,256,313,55,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264124,1564213406598,2,2.31,1.11,0.64,1.4,1.17,0.88,0.01,0.59,-0,-2,-1,0.88,4810,17,77,32,67,826,0.0,516,458,60,130.0,0,1,257,306,55,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264144,1564213406618,6,2.3,1.11,0.64,1.39,1.18,0.9,0.0,0.52,-0,-2,-0,0.9,4815,17,77,32,68,830,0.0,529,466,60,130.0,0,1,258,236,57,0,0,0,250,250,0,-5.59,44.680759,10.020585,0.0,173.7,0,0.0,-1,0.0,0.0,0,0.01,4.4024
264164,1564213406638,5,2.3,1.12,0.65,1.39,1.18,0.88,0.01,0.52,-0,-2,-0,0.88,4876,17,77,32,68,833,0.0,529,466,60,131.0,0,1,263,314,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264184,1564213406658,2,2.3,1.11,0.65,1.39,1.19,0.82,0.02,0.57,-0,-2,-1,0.82,4861,17,77,32,68,834,0.0,529,466,60,129.0,0,1,262,314,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264204,1564213406678,3,2.3,1.12,0.64,1.4,1.18,0.86,0.02,0.56,-1,-3,-1,0.86,4899,17,77,32,67,835,0.0,535,460,60,131.0,0,1,264,230,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264224,1564213406698,6,2.3,1.12,0.65,1.4,1.18,0.89,-0.01,0.53,-1,-4,-0,0.89,4877,17,77,32,67,835,0.0,530,467,60,131.0,0,1,262,307,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264244,1564213406718,4,2.3,1.12,0.64,1.4,1.18,0.86,-0.01,0.53,-1,-2,0,0.86,4846,17,77,32,67,835,0.0,532,468,60,130.0,0,1,260,229,56,0,0,0,250,250,0,-5.59,44.680759,10.020585,0.0,173.7,0,0.0,-1,0.0,0.0,0,0.01,4.4041
264264,1564213406738,3,2.3,1.12,0.64,1.4,1.18,0.83,0.01,0.58,-1,-2,-0,0.83,4900,17,77,32,68,834,0.0,541,465,60,130.0,0,1,265,238,56,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264284,1564213406758,3,2.3,1.12,0.64,1.39,1.18,0.86,0.02,0.57,-1,-2,-0,0.87,4881,17,77,32,67,833,0.0,530,460,60,131.0,0,1,263,230,56,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264304,1564213406778,7,2.3,1.11,0.64,1.4,1.18,0.89,-0.01,0.53,-1,-2,-0,0.89,4918,17,77,32,67,833,0.0,533,465,60,131.0,0,1,266,231,56,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264324,1564213406798,2,2.3,1.11,0.64,1.39,1.18,0.85,0.01,0.57,0,-1,-1,0.85,4904,17,77,32,67,834,0.0,537,467,60,130.0,0,1,264,308,56,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264344,1564213406818,4,2.29,1.12,0.64,1.4,1.18,0.8,0.05,0.61,-0,-4,1,0.8,4930,17,77,32,67,833,0.0,533,458,60,130.0,0,1,267,308,57,0,0,0,250,250,0,-5.59,44.680759,10.020585,0.0,173.7,0,0.0,-1,0.0,0.0,0,0.01,4.4057
264364,1564213406838,4,2.3,1.11,0.64,1.39,1.18,0.86,0.04,0.59,-0,-5,-1,0.86,4931,17,77,32,67,834,0.0,546,462,60,131.0,0,1,267,308,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264384,1564213406858,8,2.29,1.11,0.64,1.4,1.18,0.84,0.04,0.53,-0,-3,0,0.84,4907,17,77,32,67,835,0.0,541,465,60,131.0,0,1,265,308,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264404,1564213406878,3,2.3,1.12,0.64,1.4,1.18,0.78,0.07,0.56,-0,-3,0,0.78,4932,17,77,32,67,835,0.0,544,466,60,129.0,0,1,267,231,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264424,1564213406898,3,2.3,1.11,0.64,1.4,1.17,0.83,0.08,0.55,-0,-3,-0,0.83,4943,17,77,32,67,834,0.0,541,458,60,131.0,0,1,268,308,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264444,1564213406918,5,2.31,1.11,0.64,1.39,1.18,0.85,0.04,0.52,-0,-3,0,0.85,4904,17,77,32,67,834,0.0,534,459,60,131.0,0,1,264,231,57,0,0,0,250,250,0,-5.59,44.680759,10.020585,0.0,173.7,0,0.0,-1,0.0,0.0,0,0.01,4.4074
264464,1564213406938,1,2.3,1.11,0.64,1.39,1.18,0.81,0.05,0.52,0,-2,1,0.81,4923,17,77,32,67,833,0.0,535,465,60,130.0,0,1,266,231,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264484,1564213406958,4,2.3,1.11,0.64,1.4,1.18,0.79,0.07,0.58,0,-2,0,0.8,4961,17,77,32,67,830,0.0,547,456,60,130.0,0,1,269,231,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264504,1564213406978,6,2.3,1.11,0.64,1.4,1.18,0.85,0.07,0.54,-0,-3,-0,0.85,4970,17,77,32,67,826,0.0,542,462,60,131.0,0,1,270,308,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264524,1564213406992,2,2.3,1.11,0.64,1.4,1.17,0.81,0.04,0.49,0,-2,1,0.81,4977,17,77,32,67,824,0.0,539,461,60,131.0,0,1,271,308,57,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
264544,1564213407012,3,2.3,1.12,0.64,1.4,1.17,0.79,0.09,0.53,0,-1,0,0.79,4960,17,77,32,67,820,0.0,546,462,60,129.0,0,1,269,308,58,0,0,0,250,250,0,-5.59,44.680759,10.020585,0.0,173.7,0,0.0,-1,0.0,0.0,0,0.01,4.4091
264564,1564213407032,5,2.29,1.11,0.64,1.39,1.17,0.85,0.06,0.56,-0,-2,0,0.85,4957,17,77,32,67,815,0.0,539,457,60,131.0,0,1,269,231,58,0,0,0,250,250,0,-5.59,,,,,,,,,,,,
