"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Ana1"|"bar"|-1000.0|1000.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
64464,1564323230319,1,2.24,1.39,0.67,2.05,1.82,0.83,0.38,0.7,-8,-7,-14,0.91,7178,100,87,31,92,1421,570.0,508,459,60,120.0,385,1,384,541,218,0,0,554,-3190,-28648,560,-5.59,,,,,,,,,,,,
64484,1564323230339,0,2.24,1.38,0.67,2.04,1.83,0.83,0.44,0.64,-9,-6,-13,0.94,7640,100,87,31,92,1397,571.0,525,462,60,120.0,271,1,420,486,152,0,0,534,1267,-22519,559,-5.59,,,,,,,,,,,,
64504,1564323230359,2,2.24,1.39,0.67,2.05,1.83,0.88,0.47,0.63,-9,-5,-13,1.0,8259,100,87,31,90,1397,572.0,549,461,60,121.0,271,1,443,608,152,0,0,564,-8188,-18032,560,181.28,,,,,,,,,,,,
64524,1564323230379,1,2.24,1.39,0.67,2.05,1.83,0.99,0.45,0.68,-10,-6,-12,1.09,9031,100,87,31,87,1397,572.0,586,463,60,121.0,271,1,418,611,152,0,0,574,-8188,-22359,559,-5.59,,,,,,,,,,,,
64544,1564323230399,2,2.23,1.39,0.67,2.05,1.83,0.73,0.48,0.74,-10,-1,-11,0.88,9659,100,87,31,86,1418,572.0,623,460,60,120.0,271,1,412,593,152,0,0,583,-8188,15649,558,-5.59,44.681362,10.016965,55.87,177.9,0,0.0,-1,0.0,0.0,0,0.37,1.0757
64564,1564323230419,2,2.23,1.4,0.67,2.05,1.83,0.57,0.46,0.75,-9,4,-10,0.73,9699,100,87,31,85,1443,578.0,631,462,60,120.0,271,1,409,579,152,0,0,624,-16384,12333,566,-5.59,,,,,,,,,,,,
64584,1564323230439,2,2.24,1.39,0.67,2.05,1.84,0.7,0.49,0.87,-10,1,-11,0.85,9699,100,87,31,88,1424,585.0,605,460,60,120.0,383,1,411,622,218,0,0,653,-25872,-2345,572,-5.59,,,,,,,,,,,,
64604,1564323230459,-2,2.24,1.39,0.67,2.05,1.83,0.83,0.45,0.89,-10,1,-10,0.95,7393,100,87,31,91,1405,589.0,566,456,60,120.0,383,1,402,550,218,0,0,590,2048,-16384,572,-5.59,,,,,,,,,,,,
64624,1564323230479,1,2.24,1.39,0.67,2.05,1.84,0.88,0.34,0.92,-11,-4,-11,0.94,7200,100,87,31,92,1368,581.0,547,458,60,121.0,383,1,386,542,218,0,0,582,10432,1780,569,-5.59,,,,,,,,,,,,
64644,1564323230499,2,2.24,1.39,0.66,2.05,1.83,0.92,0.42,0.87,-11,-5,-9,1.01,7142,100,87,31,92,1324,579.0,537,457,60,120.0,383,1,382,539,218,0,0,578,243,1267,568,-5.59,44.681347,10.016958,55.55,177.9,0,0.0,-1,0.0,0.0,0,0.37,1.0774
