"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Ana1"|"bar"|-1000.0|1000.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
184363,1564152929063,2,2.56,0.96,0.35,1.48,1.11,0.76,-0.96,0.28,22,3,29,1.22,11653,53,88,44,55,901,606.0,666,466,60,120.0,249,1,405,338,150,0,0,619,-8188,-16046,604,-5.59,,,,,,,,,,,,
184383,1564152929083,2,2.56,0.96,0.35,1.48,1.11,0.77,-0.93,0.3,22,3,30,1.21,11689,53,88,44,55,906,606.0,657,463,60,120.0,246,1,405,338,149,0,0,631,-8188,-16883,606,-5.59,,,,,,,,,,,,
184403,1564152929093,2,2.55,0.97,0.35,1.49,1.11,0.78,-0.9,0.46,22,4,29,1.2,11704,53,88,44,55,905,604.0,665,463,60,120.0,246,1,405,339,149,0,0,618,1760,966,604,-5.59,,,,,,,,,,,,
184423,1564152929113,1,2.55,0.97,0.35,1.49,1.11,0.78,-0.9,0.61,22,4,28,1.19,11726,54,88,44,55,903,607.0,658,462,60,120.0,246,1,405,339,149,0,0,637,243,-14655,608,-5.59,,,,,,,,,,,,
184443,1564152929133,1,2.55,0.95,0.35,1.49,1.1,0.82,-0.97,0.57,22,2,28,1.27,11755,54,88,44,55,895,607.0,661,465,60,120.0,246,1,405,340,149,0,0,633,1,-18357,607,-5.59,44.681301,10.025002,59.13,176.4,0,0.0,-1,0.0,0.0,0,0.85,3.074
184463,1564152929153,3,2.56,0.97,0.35,1.49,1.11,0.78,-0.9,0.52,22,1,29,1.18,11807,54,88,44,55,885,611.0,665,462,60,120.0,246,1,405,341,149,0,0,632,-3210,771,611,-5.59,,,,,,,,,,,,
184483,1564152929173,3,2.55,0.96,0.35,1.49,1.1,0.76,-0.78,0.43,21,1,31,1.09,11837,54,88,44,55,876,610.0,667,462,60,120.0,250,1,405,341,153,0,0,639,30208,-1346,613,-5.59,,,,,,,,,,,,
184503,1564152929193,3,2.54,0.95,0.35,1.49,1.1,0.71,-0.73,0.52,22,1,30,1.02,11867,54,88,44,55,868,610.0,666,462,60,121.0,250,1,405,342,153,0,0,614,-3210,-4876,612,-5.59,,,,,,,,,,,,
184523,1564152929203,3,2.54,0.96,0.35,1.48,1.1,0.65,-0.81,0.67,22,0,30,1.04,11867,54,88,43,55,857,612.0,662,462,60,119.0,250,1,405,344,153,0,0,641,10432,3,612,-5.59,,,,,,,,,,,,
184543,1564152929223,3,2.53,0.96,0.35,1.49,1.1,0.58,-0.92,0.8,22,-0,30,1.09,11859,54,88,43,56,845,615.0,670,462,60,121.0,250,1,411,353,153,0,0,652,15649,-2580,615,-5.59,44.681286,10.025015,60.1,176.5,0,0.0,-1,0.0,0.0,0,0.85,3.0757
