SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

2314 ;0:00,10 ;503 ;0 ;89;38;97;0,521 ;4,1 ;4,2 ;4,0 ;0,0 ;0 ;2,93 ;1,18 ;13,7 ;-76 ;3,60 ;20,0 ;0 ;1 ;
2314 ;0:00,20 ;503 ;0 ;89;38;97;0,531 ;4,4 ;4,5 ;4,2 ;0,0 ;0 ;3,03 ;1,20 ;13,7 ;-77 ;3,60 ;20,0 ;0 ;0 ;
2314 ;0:00,30 ;503 ;0 ;89;38;95;0,549 ;4,6 ;4,7 ;4,6 ;0,0 ;0 ;3,11 ;1,32 ;13,7 ;-76 ;3,44 ;20,0 ;0 ;0 ;
2314 ;0:00,40 ;1075 ;5 ;89;38;88;0,617 ;4,8 ;5,0 ;4,9 ;0,0 ;0 ;3,19 ;1,61 ;13,8 ;-76 ;3,00 ;3,5 ;0 ;0 ;
2314 ;0:00,50 ;0 ;5 ;89;38;78;0,651 ;5,1 ;5,2 ;5,1 ;0,0 ;0 ;3,28 ;1,90 ;13,9 ;-76 ;0,00 ;0,0 ;0 ;0 ;
2313 ;0:00,60 ;3927 ;6 ;89;38;56;0,938 ;6,3 ;6,6 ;6,3 ;6,4 ;0 ;4,65 ;3,36 ;10,5 ;-4 ;2,32 ;16,8 ;0 ;0 ;
2313 ;0:00,70 ;3956 ;6 ;89;38;56;0,937 ;6,7 ;6,9 ;6,6 ;6,8 ;0 ;4,65 ;3,37 ;12,6 ;-4 ;2,33 ;16,9 ;0 ;0 ;
2313 ;0:00,80 ;3985 ;6 ;89;38;56;0,927 ;7,2 ;7,4 ;7,1 ;7,3 ;0 ;4,58 ;3,42 ;12,6 ;-4 ;2,34 ;17,0 ;0 ;0 ;
2313 ;0:00,90 ;3906 ;6 ;89;38;56;0,926 ;7,5 ;7,7 ;7,5 ;7,8 ;0 ;4,56 ;3,37 ;12,6 ;-2 ;2,32 ;16,7 ;0 ;0 ;
2313 ;0:01,00 ;4002 ;6 ;89;38;57;0,937 ;8,0 ;8,2 ;7,9 ;8,2 ;0 ;4,57 ;3,41 ;12,5 ;-3 ;2,40 ;17,2 ;0 ;0 ;
2313 ;0:01,10 ;3953 ;6 ;89;38;57;0,939 ;8,5 ;8,7 ;8,6 ;8,7 ;0 ;4,66 ;3,46 ;12,4 ;-1 ;2,38 ;16,9 ;0 ;0 ;
2313 ;0:01,20 ;3954 ;6 ;89;38;57;0,945 ;8,9 ;9,1 ;8,8 ;9,1 ;0 ;4,66 ;3,37 ;12,5 ;-3 ;2,38 ;16,9 ;0 ;0 ;
2313 ;0:01,30 ;4002 ;6 ;89;38;57;0,940 ;9,1 ;9,5 ;9,2 ;9,5 ;0 ;4,58 ;3,40 ;12,6 ;-3 ;2,40 ;17,2 ;0 ;0 ;
2313 ;0:01,40 ;3932 ;6 ;89;38;57;0,947 ;9,5 ;9,7 ;9,4 ;9,8 ;0 ;4,57 ;3,41 ;12,5 ;-2 ;2,37 ;16,8 ;0 ;0 ;
2313 ;0:01,50 ;4014 ;6 ;88;38;57;0,962 ;9,7 ;10,0 ;9,8 ;10,0 ;0 ;4,65 ;3,45 ;12,4 ;-2 ;2,40 ;17,3 ;0 ;0 ;
2313 ;0:01,60 ;4001 ;6 ;89;38;57;0,960 ;9,9 ;10,3 ;10,0 ;10,4 ;0 ;4,71 ;3,43 ;12,5 ;-1 ;2,40 ;17,2 ;0 ;0 ;
2313 ;0:01,70 ;3934 ;6 ;89;38;57;0,949 ;10,3 ;10,7 ;10,2 ;10,7 ;0 ;4,57 ;3,43 ;12,5 ;-3 ;2,38 ;16,8 ;0 ;0 ;
