SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

2335 ;0:00,10 ;0 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;2,38 ;10,7 ;-1 ;0,00 ;0,0 ;0 ;0 ;
2335 ;0:00,20 ;0 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;2,38 ;10,8 ;-1 ;0,00 ;0,0 ;0 ;0 ;
2335 ;0:00,30 ;0 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;2,37 ;10,7 ;-1 ;0,00 ;0,0 ;0 ;0 ;
2335 ;0:00,40 ;131 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,6 ;-1 ;5,41 ;18,6 ;0 ;0 ;
2335 ;0:00,50 ;455 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,4 ;-1 ;5,41 ;18,6 ;0 ;0 ;
2335 ;0:00,60 ;457 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,6 ;-1 ;5,41 ;18,6 ;0 ;0 ;
2335 ;0:00,70 ;1062 ;50 ;28;30;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;10,7 ;-1 ;5,41 ;19,0 ;0 ;0 ;
2335 ;0:00,80 ;524 ;50 ;28;30;99;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;10,1 ;-1 ;6,23 ;20,0 ;0 ;0 ;
2335 ;0:00,90 ;1012 ;50 ;28;30;98;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;10,7 ;-1 ;5,56 ;20,0 ;0 ;0 ;
2335 ;0:01,00 ;1623 ;50 ;28;30;96;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,3 ;-1 ;5,32 ;21,2 ;0 ;0 ;
2335 ;0:01,10 ;1820 ;50 ;28;30;96;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;11,8 ;-1 ;5,39 ;21,2 ;0 ;0 ;
2335 ;0:01,20 ;2321 ;39 ;28;30;94;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,2 ;-1 ;5,18 ;18,5 ;0 ;0 ;
2335 ;0:01,30 ;2276 ;33 ;28;30;92;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,3 ;-1 ;4,80 ;15,7 ;0 ;0 ;
2335 ;0:01,40 ;2117 ;33 ;28;30;93;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,3 ;-1 ;4,96 ;17,1 ;0 ;0 ;
2335 ;0:01,50 ;2073 ;34 ;28;30;93;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;12,4 ;-1 ;4,96 ;17,1 ;0 ;0 ;
2335 ;0:01,60 ;2151 ;42 ;28;30;94;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,3 ;-1 ;5,15 ;18,5 ;0 ;0 ;
2335 ;0:01,70 ;2228 ;42 ;28;30;94;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,1 ;-1 ;5,17 ;18,5 ;0 ;0 ;
2335 ;0:01,80 ;2170 ;43 ;28;30;93;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;12,3 ;-1 ;4,98 ;17,1 ;0 ;0 ;
2335 ;0:01,90 ;2203 ;42 ;28;30;94;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;12,4 ;-1 ;5,17 ;18,5 ;0 ;0 ;
2335 ;0:02,00 ;2135 ;42 ;28;30;95;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;12,4 ;-1 ;5,32 ;19,8 ;0 ;0 ;
