SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

2319 ;0:00,10 ;585 ;7 ;90;39;97;0,907 ;7,7 ;7,5 ;7,7 ;7,5 ;0 ;4,61 ;1,24 ;12,2 ;-2 ;4,34 ;20,0 ;0 ;0 ;
2319 ;0:00,20 ;585 ;7 ;90;39;97;0,914 ;7,8 ;7,5 ;7,7 ;7,5 ;0 ;4,60 ;1,24 ;12,3 ;-3 ;4,34 ;19,4 ;0 ;0 ;
2319 ;0:00,30 ;585 ;7 ;90;39;97;0,925 ;7,8 ;7,5 ;7,8 ;7,6 ;0 ;4,59 ;1,23 ;12,3 ;-2 ;4,72 ;18,2 ;0 ;0 ;
2319 ;0:00,40 ;905 ;7 ;90;39;95;0,942 ;7,8 ;7,6 ;7,9 ;7,6 ;0 ;4,60 ;1,38 ;12,2 ;-2 ;4,20 ;10,5 ;0 ;1 ;
2319 ;0:00,50 ;852 ;7 ;90;39;94;0,977 ;8,0 ;7,7 ;7,9 ;7,7 ;0 ;4,66 ;1,47 ;12,2 ;-3 ;4,16 ;11,2 ;0 ;0 ;
2319 ;0:00,60 ;967 ;7 ;90;39;92;1,044 ;8,2 ;7,9 ;8,1 ;7,9 ;0 ;4,56 ;1,50 ;12,2 ;-3 ;3,99 ;6,5 ;0 ;0 ;
2319 ;0:00,70 ;1063 ;7 ;90;39;93;1,188 ;8,3 ;8,0 ;8,2 ;8,0 ;0 ;4,62 ;1,51 ;12,4 ;-3 ;4,24 ;1,3 ;0 ;0 ;
2319 ;0:00,80 ;1371 ;7 ;90;39;90;1,274 ;8,4 ;8,1 ;8,4 ;8,1 ;0 ;4,59 ;1,62 ;12,5 ;-3 ;4,01 ;0,0 ;0 ;0 ;
2319 ;0:00,90 ;1421 ;7 ;90;39;90;1,277 ;8,6 ;8,3 ;8,6 ;8,3 ;0 ;4,65 ;1,65 ;12,5 ;-3 ;4,12 ;0,0 ;0 ;0 ;
2319 ;0:01,00 ;1592 ;7 ;90;39;89;1,248 ;8,6 ;8,3 ;8,6 ;8,3 ;0 ;4,58 ;1,69 ;12,5 ;-3 ;4,27 ;0,0 ;0 ;0 ;
2319 ;0:01,10 ;1573 ;7 ;90;39;89;1,245 ;8,7 ;8,4 ;8,8 ;8,4 ;0 ;4,56 ;1,73 ;12,3 ;-2 ;4,39 ;0,0 ;0 ;0 ;
2319 ;0:01,20 ;1496 ;7 ;90;39;89;1,259 ;8,8 ;8,5 ;8,8 ;8,5 ;0 ;4,62 ;1,72 ;12,5 ;-3 ;4,56 ;0,0 ;0 ;0 ;
2319 ;0:01,30 ;1556 ;7 ;90;39;90;1,200 ;8,9 ;8,6 ;8,9 ;8,6 ;0 ;4,61 ;1,73 ;12,5 ;-3 ;2,69 ;0,0 ;0 ;0 ;
2319 ;0:01,40 ;1562 ;7 ;90;39;90;1,132 ;9,0 ;8,7 ;8,9 ;8,7 ;0 ;4,62 ;1,69 ;12,5 ;-3 ;2,69 ;0,0 ;0 ;0 ;
2319 ;0:01,50 ;1666 ;7 ;90;39;90;1,072 ;9,1 ;8,8 ;9,0 ;8,8 ;0 ;4,61 ;1,71 ;12,3 ;-3 ;2,69 ;0,0 ;0 ;0 ;
2319 ;0:01,60 ;1522 ;7 ;90;39;90;1,004 ;9,2 ;9,0 ;9,3 ;9,0 ;0 ;4,65 ;1,67 ;12,3 ;-2 ;2,69 ;0,1 ;0 ;0 ;
2319 ;0:01,70 ;1476 ;7 ;90;39;90;0,975 ;9,3 ;9,1 ;9,4 ;9,1 ;0 ;4,61 ;1,64 ;12,4 ;-2 ;2,69 ;0,2 ;0 ;0 ;
2319 ;0:01,80 ;1364 ;6 ;90;39;92;0,962 ;9,4 ;9,1 ;9,3 ;9,1 ;0 ;4,61 ;1,58 ;12,3 ;-3 ;2,82 ;0,2 ;0 ;0 ;
2319 ;0:01,90 ;1258 ;7 ;90;39;92;0,938 ;9,4 ;9,1 ;9,5 ;9,2 ;0 ;4,69 ;1,58 ;12,3 ;-2 ;2,82 ;0,2 ;0 ;0 ;
