SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

2329 ;0:00,10 ;1523 ;0 ;79;19;89;1,064 ;2,0 ;1,9 ;1,9 ;1,9 ;0 ;4,52 ;1,67 ;12,8 ;-5 ;2,81 ;0,0 ;0 ;0 ;
2329 ;0:00,20 ;1352 ;0 ;79;19;89;1,045 ;2,0 ;2,3 ;1,9 ;2,3 ;0 ;4,52 ;1,65 ;12,8 ;-13 ;2,81 ;0,0 ;0 ;0 ;
2329 ;0:00,30 ;1339 ;0 ;79;19;90;1,042 ;2,5 ;2,3 ;2,4 ;2,3 ;0 ;4,61 ;1,63 ;12,9 ;-8 ;2,82 ;0,0 ;0 ;0 ;
2329 ;0:00,40 ;1375 ;0 ;79;19;90;1,038 ;2,9 ;2,8 ;2,8 ;2,8 ;0 ;4,56 ;1,61 ;12,8 ;-3 ;2,82 ;0,0 ;0 ;0 ;
2329 ;0:00,50 ;1211 ;0 ;79;19;91;1,044 ;3,3 ;3,2 ;3,3 ;3,2 ;0 ;4,51 ;1,56 ;12,9 ;-3 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:00,60 ;1238 ;0 ;79;19;91;1,048 ;3,7 ;3,6 ;3,6 ;3,6 ;0 ;4,61 ;1,56 ;12,9 ;-2 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:00,70 ;1068 ;0 ;79;19;91;1,064 ;4,1 ;4,4 ;4,5 ;4,4 ;0 ;4,55 ;1,52 ;12,8 ;0 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:00,80 ;1186 ;0 ;79;19;92;1,076 ;5,0 ;5,3 ;4,9 ;4,8 ;0 ;4,56 ;1,51 ;12,9 ;-9 ;2,97 ;0,0 ;0 ;0 ;
2329 ;0:00,90 ;1090 ;0 ;79;19;92;1,082 ;5,8 ;6,0 ;5,7 ;5,7 ;0 ;4,52 ;1,51 ;13,0 ;-5 ;2,97 ;0,0 ;0 ;0 ;
2329 ;0:01,00 ;1091 ;0 ;78;19;91;1,074 ;6,4 ;6,6 ;6,6 ;6,6 ;0 ;4,57 ;1,57 ;12,7 ;0 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:01,10 ;1169 ;0 ;79;19;91;1,092 ;7,0 ;7,0 ;6,9 ;6,9 ;0 ;4,55 ;1,56 ;12,9 ;-1 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:01,20 ;1069 ;0 ;79;19;91;1,114 ;7,2 ;7,2 ;7,1 ;7,2 ;0 ;4,56 ;1,56 ;13,0 ;-1 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:01,30 ;1355 ;0 ;79;19;91;1,138 ;7,3 ;7,4 ;7,4 ;7,3 ;0 ;4,53 ;1,61 ;13,1 ;-1 ;2,90 ;0,0 ;0 ;0 ;
2329 ;0:01,40 ;1360 ;0 ;79;19;89;1,157 ;7,5 ;7,5 ;7,4 ;7,4 ;0 ;4,60 ;1,67 ;12,9 ;-1 ;2,81 ;0,0 ;0 ;0 ;
2329 ;0:01,50 ;1277 ;0 ;79;19;90;1,134 ;7,6 ;7,6 ;7,6 ;7,6 ;0 ;4,56 ;1,64 ;12,9 ;0 ;2,82 ;0,0 ;0 ;0 ;
2329 ;0:01,60 ;1558 ;0 ;79;19;88;1,094 ;7,7 ;7,7 ;7,6 ;7,6 ;0 ;4,52 ;1,70 ;13,0 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2329 ;0:01,70 ;1577 ;0 ;78;19;87;1,030 ;7,8 ;7,8 ;7,8 ;7,7 ;0 ;4,50 ;1,76 ;12,9 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2329 ;0:01,80 ;1557 ;0 ;78;19;87;0,980 ;7,9 ;7,9 ;7,9 ;7,8 ;0 ;4,53 ;1,78 ;13,0 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2329 ;0:01,90 ;1573 ;0 ;78;19;88;0,971 ;8,0 ;8,0 ;8,0 ;8,0 ;0 ;4,62 ;1,76 ;13,1 ;0 ;2,80 ;0,0 ;0 ;0 ;
2329 ;0:02,00 ;1590 ;0 ;78;19;90;0,964 ;8,2 ;8,1 ;8,1 ;8,1 ;0 ;4,52 ;1,70 ;13,0 ;-1 ;2,82 ;0,0 ;0 ;0 ;
2329 ;0:02,10 ;1460 ;13 ;78;19;93;0,959 ;8,3 ;8,2 ;8,3 ;8,2 ;0 ;4,51 ;1,61 ;12,9 ;-1 ;3,05 ;16,7 ;0 ;0 ;
2329 ;0:02,20 ;1100 ;10 ;78;19;91;0,952 ;8,5 ;8,4 ;8,5 ;8,3 ;0 ;4,50 ;1,57 ;12,7 ;-2 ;2,90 ;11,1 ;0 ;0 ;
2329 ;0:02,30 ;1284 ;6 ;78;19;90;0,956 ;8,6 ;8,5 ;8,6 ;8,4 ;0 ;4,52 ;1,62 ;12,8 ;-2 ;2,82 ;0,0 ;0 ;0 ;
2329 ;0:02,40 ;1132 ;6 ;78;19;89;0,946 ;8,7 ;8,7 ;8,6 ;8,6 ;0 ;4,53 ;1,62 ;12,8 ;-1 ;2,81 ;0,0 ;0 ;0 ;
2329 ;0:02,50 ;1241 ;6 ;78;19;90;0,925 ;8,8 ;8,8 ;8,8 ;8,7 ;0 ;4,54 ;1,61 ;13,1 ;-1 ;2,82 ;0,0 ;0 ;0 ;
2329 ;0:02,60 ;1520 ;6 ;78;18;89;0,905 ;9,0 ;9,0 ;8,9 ;8,9 ;0 ;4,51 ;1,73 ;13,2 ;-1 ;2,81 ;0,0 ;0 ;0 ;
2329 ;0:02,70 ;1619 ;6 ;78;18;87;0,889 ;9,2 ;9,1 ;9,1 ;9,1 ;0 ;4,53 ;1,78 ;13,0 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2329 ;0:02,80 ;1642 ;6 ;78;18;85;0,885 ;9,4 ;9,4 ;9,4 ;9,3 ;0 ;4,50 ;1,85 ;13,0 ;-1 ;2,77 ;0,0 ;0 ;0 ;
2329 ;0:02,90 ;1756 ;6 ;78;18;85;0,875 ;9,7 ;9,6 ;9,6 ;9,6 ;0 ;4,50 ;1,88 ;13,0 ;-1 ;2,77 ;0,0 ;0 ;0 ;
2329 ;0:03,00 ;1824 ;6 ;78;18;84;0,855 ;10,0 ;9,9 ;10,0 ;9,8 ;0 ;4,49 ;1,91 ;13,1 ;-2 ;2,76 ;0,0 ;0 ;0 ;
2329 ;0:03,10 ;1908 ;6 ;78;18;84;0,849 ;10,4 ;10,3 ;10,3 ;10,2 ;0 ;4,55 ;1,94 ;12,9 ;-1 ;2,76 ;0,0 ;0 ;0 ;
2329 ;0:03,20 ;1959 ;6 ;78;18;83;0,843 ;10,7 ;10,7 ;10,6 ;10,6 ;0 ;4,61 ;1,99 ;13,0 ;0 ;2,75 ;0,0 ;0 ;0 ;
2329 ;0:03,30 ;1999 ;6 ;78;18;82;0,846 ;11,0 ;11,0 ;10,9 ;10,9 ;0 ;4,54 ;2,00 ;12,9 ;0 ;2,73 ;0,0 ;0 ;0 ;
2329 ;0:03,40 ;2100 ;6 ;78;18;81;0,845 ;11,3 ;11,3 ;11,3 ;11,3 ;0 ;4,56 ;2,06 ;13,0 ;0 ;2,72 ;0,0 ;0 ;0 ;
2329 ;0:03,50 ;2139 ;6 ;78;18;80;0,831 ;11,7 ;11,8 ;11,6 ;11,6 ;0 ;4,53 ;2,10 ;12,9 ;-1 ;2,70 ;0,0 ;0 ;0 ;
2329 ;0:03,60 ;2267 ;6 ;78;18;78;0,828 ;12,1 ;12,1 ;12,1 ;11,9 ;0 ;4,61 ;2,16 ;13,0 ;-1 ;2,67 ;0,0 ;0 ;0 ;
2329 ;0:03,70 ;2321 ;6 ;78;18;77;0,834 ;12,7 ;12,6 ;12,6 ;12,3 ;0 ;4,55 ;2,18 ;12,9 ;-3 ;2,66 ;0,0 ;0 ;0 ;
2329 ;0:03,80 ;2412 ;6 ;78;18;75;0,831 ;13,2 ;12,9 ;13,0 ;12,7 ;0 ;4,56 ;2,23 ;13,0 ;-3 ;2,67 ;0,0 ;0 ;0 ;
2329 ;0:03,90 ;2510 ;6 ;78;18;75;0,844 ;13,6 ;13,2 ;13,4 ;13,0 ;0 ;4,54 ;2,30 ;12,9 ;-3 ;2,67 ;0,0 ;0 ;0 ;
