"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Ana1"|"bar"|-1000.0|1000.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
256264,1564237648620,1,2.28,0.96,0.31,1.33,0.97,0.9,0.18,0.53,-5,-3,-8,0.92,6686,14,86,37,40,838,487.0,542,462,60,123.0,107,1,317,208,52,0,0,492,1,-10483,485,-5.59,,,,,,,,,,,,
256284,1564237648640,-0,2.29,0.96,0.3,1.33,0.98,0.78,0.17,0.51,-4,-2,-8,0.8,6696,14,86,37,40,840,487.0,533,462,60,122.0,107,1,317,208,52,0,0,488,505,1,483,-5.59,,,,,,,,,,,,
256304,1564237648660,0,2.29,0.97,0.31,1.34,0.98,0.89,0.21,0.46,-4,-0,-7,0.92,6720,14,86,37,40,840,487.0,535,467,60,121.0,107,1,317,208,52,0,0,484,505,-899,482,-5.59,,,,,,,,,,,,
256324,1564237648680,-0,2.28,0.97,0.31,1.33,0.97,0.86,0.17,0.48,-4,-1,-7,0.88,6725,14,86,37,40,842,486.0,530,462,60,123.0,107,1,317,208,52,0,0,487,-1562,-1562,483,-5.59,,,,,,,,,,,,
256344,1564237648698,1,2.29,0.97,0.3,1.33,0.97,0.91,0.15,0.48,-4,-1,-8,0.92,6727,14,86,37,41,845,485.0,533,463,60,121.0,107,1,324,208,52,0,0,486,-6441,16648,481,-5.59,44.681389,10.02088,47.92,177.9,0,0.0,-1,0.0,0.0,0,1.68,4.2724
256364,1564237648718,-2,2.3,0.97,0.31,1.34,0.97,0.84,0.15,0.49,-4,-1,-8,0.85,6730,14,86,37,40,849,484.0,529,465,60,123.0,109,1,317,208,53,0,0,486,-10483,-10483,481,-5.59,,,,,,,,,,,,
256384,1564237648738,1,2.29,0.97,0.3,1.32,0.97,0.88,0.17,0.46,-4,-2,-7,0.9,6756,14,86,37,40,854,486.0,527,461,60,122.0,109,1,317,208,53,0,0,486,-10483,-10483,481,-5.59,,,,,,,,,,,,
256404,1564237648758,6,2.29,0.97,0.3,1.34,0.97,0.84,0.16,0.53,-4,-1,-6,0.85,6742,14,86,37,40,857,484.0,528,462,60,123.0,109,1,317,208,53,0,0,485,-1562,10305,481,-5.59,,,,,,,,,,,,
256424,1564237648778,-1,2.29,0.97,0.3,1.33,0.97,0.89,0.19,0.51,-4,-1,-5,0.91,6694,14,86,37,40,859,483.0,532,463,60,122.0,109,1,317,210,53,0,0,485,-10483,-6441,481,-5.59,,,,,,,,,,,,
256444,1564237648800,3,2.28,0.97,0.31,1.34,0.98,0.83,0.13,0.55,-4,-3,-5,0.84,6658,14,86,37,40,862,484.0,529,461,60,123.0,109,1,317,210,53,0,0,488,-10483,-6441,480,-5.59,44.681389,10.020864,47.75,177.9,0,0.0,-1,0.0,0.0,0,1.68,4.2741
256464,1564237648820,-2,2.29,0.97,0.31,1.33,0.98,0.84,0.18,0.51,-3,-1,-6,0.86,6595,14,86,37,41,865,483.0,523,466,60,122.0,110,1,324,210,53,0,0,493,3580,3580,480,-5.59,,,,,,,,,,,,
256484,1564237648840,1,2.28,0.97,0.31,1.34,0.97,0.82,0.14,0.51,-4,-1,-5,0.83,6560,15,86,37,41,867,484.0,520,460,60,127.0,110,1,323,210,53,0,0,493,3580,3580,480,-5.59,,,,,,,,,,,,
256504,1564237648860,0,2.28,0.96,0.31,1.33,0.98,0.79,0.17,0.52,-4,-0,-5,0.81,6510,15,86,37,41,868,484.0,517,465,60,124.0,110,1,323,210,53,0,0,487,-10483,-899,477,-5.59,,,,,,,,,,,,
256524,1564237648880,-2,2.28,0.96,0.31,1.33,0.98,0.84,0.16,0.5,-4,-1,-5,0.85,6469,15,86,37,42,870,485.0,516,463,60,122.0,110,1,330,211,53,0,0,487,-6441,2212,477,-5.59,,,,,,,,,,,,
256544,1564237648900,1,2.27,0.97,0.31,1.33,0.98,0.85,0.16,0.59,-5,-2,-5,0.86,6474,15,86,37,42,872,485.0,514,462,60,123.0,110,1,330,211,53,0,0,487,3580,-899,478,-5.59,44.681393,10.020847,47.59,177.9,0,0.0,-1,0.0,0.0,0,1.68,4.2757
256564,1564237648920,1,2.26,0.96,0.31,1.34,0.97,0.82,0.19,0.58,-4,-1,-6,0.84,6485,15,86,37,42,873,486.0,510,465,60,123.0,109,1,330,211,52,0,0,487,3580,-899,478,-5.59,,,,,,,,,,,,
256584,1564237648940,-2,2.27,0.96,0.31,1.33,0.98,0.84,0.26,0.53,-4,0,-6,0.88,6521,15,86,37,43,873,484.0,512,465,60,121.0,109,1,337,213,52,0,0,487,-10483,16648,478,-5.59,,,,,,,,,,,,
256604,1564237648960,1,2.27,0.96,0.31,1.33,0.98,0.84,0.23,0.61,-5,-1,-6,0.87,6533,15,86,37,42,876,483.0,522,460,60,122.0,109,1,330,237,52,0,0,485,3580,-23367,475,-5.59,,,,,,,,,,,,
256624,1564237648980,-0,2.26,0.97,0.31,1.34,0.98,0.77,0.27,0.6,-5,0,-7,0.82,6526,15,86,37,43,877,486.0,520,462,60,124.0,109,1,337,236,52,0,0,488,-1562,8488,475,-5.59,,,,,,,,,,,,
256644,1564237648991,-0,2.26,0.97,0.31,1.34,0.98,0.85,0.28,0.56,-5,1,-7,0.9,6508,15,86,37,43,878,486.0,524,465,60,122.0,109,1,337,232,52,0,0,487,-1562,-899,475,-5.59,44.681396,10.02083,47.5,178.0,0,0.0,-1,0.0,0.0,0,1.69,4.2774
256664,1564237649011,1,2.26,0.97,0.31,1.33,0.98,0.87,0.22,0.6,-6,-1,-7,0.9,6512,15,86,37,43,880,484.0,528,463,60,122.0,120,1,337,230,57,0,0,484,-10483,-23367,476,-5.59,,,,,,,,,,,,
256684,1564237649031,-1,2.27,0.96,0.31,1.34,0.97,0.83,0.26,0.57,-5,0,-7,0.87,6524,15,86,37,43,883,483.0,516,462,60,123.0,120,1,337,227,57,0,0,484,-10483,-23367,476,-5.59,,,,,,,,,,,,
256704,1564237649051,0,2.25,0.97,0.31,1.34,0.98,0.85,0.27,0.56,-5,0,-7,0.89,6549,10,86,37,43,886,482.0,520,462,60,121.0,120,1,337,226,57,0,0,484,3580,-9203,474,-5.59,,,,,,,,,,,,
256724,1564237649071,3,2.26,0.97,0.31,1.34,0.98,0.85,0.25,0.57,-6,-1,-7,0.88,6546,16,86,37,43,889,482.0,514,462,60,123.0,120,1,337,239,57,0,0,484,32033,-9203,476,-5.59,,,,,,,,,,,,
256744,1564237649099,-2,2.26,0.97,0.31,1.33,0.98,0.86,0.31,0.6,-5,0,-7,0.91,6539,16,86,37,44,891,483.0,514,460,60,122.0,120,1,344,238,57,0,0,484,3580,2212,473,-5.59,44.681396,10.020815,47.19,178.0,0,0.0,-1,0.0,0.0,0,1.69,4.2791
256764,1564237649119,1,2.26,0.97,0.3,1.33,0.98,0.89,0.24,0.63,-6,-1,-8,0.92,6537,15,86,37,44,895,481.0,519,466,60,120.0,122,1,344,234,58,0,0,482,3580,10305,475,-5.59,,,,,,,,,,,,
256784,1564237649139,3,2.26,0.96,0.3,1.33,0.97,0.85,0.28,0.61,-6,-1,-9,0.9,6546,16,86,37,44,900,483.0,521,461,60,123.0,122,1,344,231,58,0,0,481,3580,16648,473,-5.59,,,,,,,,,,,,
