SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;

2126 ;0:00,10 ;363 ;1 ;29;21;101;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,0 ;-1 ;12,94 ;20,0 ;0 ;
2126 ;0:00,20 ;363 ;1 ;29;21;101;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,0 ;-1 ;12,94 ;20,0 ;0 ;
2126 ;0:00,30 ;363 ;1 ;29;21;99;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,0 ;-1 ;12,67 ;20,0 ;0 ;
2126 ;0:00,40 ;363 ;1 ;29;21;101;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;10,9 ;-1 ;12,94 ;20,0 ;0 ;
2125 ;0:00,50 ;0 ;1 ;29;20;101;0,507 ;0,0 ;0,0 ;1,7 ;1,6 ;0 ;2,37 ;11,3 ;-1 ;0,00 ;0,0 ;0 ;
2125 ;0:00,60 ;0 ;1 ;29;20;101;0,507 ;0,0 ;0,0 ;1,7 ;1,6 ;0 ;2,37 ;11,3 ;-1 ;0,00 ;0,0 ;0 ;
2125 ;0:00,70 ;0 ;1 ;29;20;100;0,507 ;0,0 ;0,0 ;1,7 ;1,6 ;0 ;2,38 ;11,3 ;-1 ;0,00 ;0,0 ;0 ;
2125 ;0:00,80 ;0 ;1 ;29;20;101;0,506 ;0,0 ;0,0 ;1,7 ;1,5 ;0 ;2,38 ;11,1 ;-1 ;0,00 ;0,0 ;0 ;
2064 ;0:00,90 ;9309 ;27 ;70;20;33;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,0 ;-1 ;2,10 ;30,2 ;0 ;
2064 ;0:01,00 ;9370 ;27 ;70;20;33;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,0 ;-1 ;2,12 ;30,2 ;0 ;
2064 ;0:01,10 ;7446 ;31 ;70;20;36;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,0 ;-1 ;2,07 ;30,1 ;0 ;
2064 ;0:01,20 ;8840 ;61 ;70;20;67;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;10,7 ;-1 ;4,27 ;41,8 ;0 ;
2064 ;0:01,30 ;7646 ;55 ;70;20;52;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,7 ;-1 ;2,85 ;38,4 ;0 ;
2064 ;0:01,40 ;8503 ;13 ;70;21;29;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,7 ;-1 ;2,11 ;28,7 ;0 ;
2064 ;0:01,50 ;9620 ;12 ;70;21;32;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,7 ;-1 ;2,26 ;30,0 ;0 ;
2064 ;0:01,60 ;10769 ;13 ;70;21;44;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,7 ;-1 ;2,73 ;35,7 ;0 ;
2064 ;0:01,70 ;11384 ;70 ;70;21;82;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,5 ;-1 ;6,40 ;44,1 ;0 ;
2064 ;0:01,80 ;7239 ;99 ;70;21;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,7 ;-1 ;6,44 ;38,4 ;0 ;
2064 ;0:01,90 ;4885 ;76 ;70;21;78;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;10,8 ;-1 ;4,48 ;30,1 ;0 ;
2064 ;0:02,00 ;5603 ;4 ;70;21;46;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;10,6 ;-1 ;2,47 ;33,1 ;0 ;
2064 ;0:02,10 ;6492 ;2 ;70;21;63;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;10,5 ;-1 ;3,30 ;39,4 ;0 ;
2064 ;0:02,20 ;5127 ;82 ;70;22;99;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;8,11 ;30,9 ;0 ;
2064 ;0:02,30 ;1945 ;97 ;70;22;101;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;10,0 ;-1 ;8,34 ;24,0 ;0 ;
2047 ;0:02,40 ;4887 ;16 ;61;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;10,0 ;-1 ;2,92 ;29,7 ;0 ;
2047 ;0:02,50 ;4886 ;16 ;61;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,46 ;10,0 ;-1 ;2,92 ;29,7 ;0 ;
2047 ;0:02,60 ;4826 ;16 ;61;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;10,0 ;-1 ;2,92 ;29,5 ;0 ;
2047 ;0:02,70 ;4868 ;16 ;61;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;10,0 ;-1 ;2,92 ;29,7 ;0 ;
2047 ;0:02,80 ;4896 ;16 ;61;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,46 ;10,0 ;-1 ;2,92 ;29,8 ;0 ;
2047 ;0:02,90 ;4760 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,44 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:03,00 ;4755 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,46 ;10,0 ;-1 ;2,91 ;29,2 ;0 ;
2047 ;0:03,10 ;4773 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:03,20 ;4812 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;10,0 ;-1 ;2,92 ;29,5 ;0 ;
2047 ;0:03,30 ;4770 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:03,40 ;4761 ;16 ;60;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,0 ;-1 ;2,98 ;29,3 ;0 ;
2047 ;0:03,50 ;4750 ;16 ;60;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,0 ;-1 ;2,98 ;29,3 ;0 ;
2047 ;0:03,60 ;4761 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:03,70 ;4764 ;16 ;60;19;63;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:03,80 ;4743 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;2,91 ;29,2 ;0 ;
2047 ;0:03,90 ;4738 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,0 ;-1 ;2,91 ;29,2 ;0 ;
2047 ;0:04,00 ;4757 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:04,10 ;4777 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:04,20 ;4733 ;16 ;60;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,0 ;-1 ;2,97 ;29,2 ;0 ;
2047 ;0:04,30 ;4678 ;16 ;60;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;10,0 ;-1 ;2,90 ;29,0 ;0 ;
2047 ;0:04,40 ;4707 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;10,0 ;-1 ;2,91 ;29,1 ;0 ;
2047 ;0:04,50 ;4722 ;16 ;59;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;10,0 ;-1 ;2,97 ;29,2 ;0 ;
2047 ;0:04,60 ;4794 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;10,0 ;-1 ;2,91 ;29,4 ;0 ;
2047 ;0:04,70 ;4816 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;10,0 ;-1 ;2,92 ;29,5 ;0 ;
2047 ;0:04,80 ;4700 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;2,91 ;29,0 ;0 ;
2047 ;0:04,90 ;4718 ;16 ;59;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,0 ;-1 ;2,97 ;29,2 ;0 ;
2047 ;0:05,00 ;4722 ;16 ;59;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,0 ;-1 ;2,97 ;29,2 ;0 ;
2047 ;0:05,10 ;4752 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,0 ;-1 ;2,91 ;29,2 ;0 ;
2047 ;0:05,20 ;4772 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,1 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:05,30 ;4767 ;16 ;59;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,1 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:05,40 ;4696 ;16 ;58;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;10,0 ;-1 ;2,97 ;29,1 ;0 ;
2047 ;0:05,50 ;4761 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:05,60 ;4724 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,1 ;-1 ;2,91 ;29,1 ;0 ;
2047 ;0:05,70 ;4749 ;16 ;58;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;10,1 ;-1 ;2,97 ;29,3 ;0 ;
2047 ;0:05,80 ;4682 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;10,1 ;-1 ;2,90 ;29,0 ;0 ;
2047 ;0:05,90 ;4772 ;16 ;58;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;10,0 ;-1 ;2,98 ;29,4 ;0 ;
2047 ;0:06,00 ;4738 ;16 ;58;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;10,0 ;-1 ;2,98 ;29,3 ;0 ;
2047 ;0:06,10 ;4760 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,43 ;10,1 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:06,20 ;4730 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;10,1 ;-1 ;2,91 ;29,2 ;0 ;
2047 ;0:06,30 ;4745 ;16 ;58;19;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,0 ;-1 ;2,97 ;29,3 ;0 ;
2047 ;0:06,40 ;4820 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;10,0 ;-1 ;2,92 ;29,5 ;0 ;
2047 ;0:06,50 ;4766 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,0 ;-1 ;2,91 ;29,3 ;0 ;
2047 ;0:06,60 ;4731 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;10,1 ;-1 ;2,91 ;29,2 ;0 ;
2047 ;0:06,70 ;4743 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;10,0 ;-1 ;2,91 ;29,1 ;0 ;
2047 ;0:06,80 ;4713 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,45 ;10,0 ;-1 ;2,91 ;29,1 ;0 ;
2047 ;0:06,90 ;4705 ;16 ;58;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,1 ;-1 ;2,91 ;29,1 ;0 ;
2047 ;0:07,00 ;4681 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,47 ;10,0 ;-1 ;2,90 ;29,0 ;0 ;
2047 ;0:07,10 ;4685 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;2,90 ;29,0 ;0 ;
2047 ;0:07,20 ;4733 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;10,0 ;-1 ;2,93 ;29,2 ;0 ;
2047 ;0:07,30 ;4757 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;2,93 ;29,3 ;0 ;
2047 ;0:07,40 ;4813 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;10,0 ;-1 ;2,94 ;29,5 ;0 ;
2047 ;0:07,50 ;4833 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,0 ;-1 ;2,94 ;29,5 ;0 ;
2047 ;0:07,60 ;4833 ;16 ;57;19;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;10,0 ;-1 ;2,94 ;29,5 ;0 ;
