SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;

1863 ;0:00,10 ;4451 ;14 ;77;19;62;0,859 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;12,4 ;-1 ;2,80 ;28,1 ;0 ;
1863 ;0:00,20 ;4429 ;14 ;77;19;62;0,863 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;12,3 ;-1 ;2,79 ;27,9 ;0 ;
1863 ;0:00,30 ;4344 ;14 ;77;19;62;0,867 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,4 ;-1 ;2,78 ;27,7 ;0 ;
1863 ;0:00,40 ;4373 ;14 ;77;19;62;0,866 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;12,5 ;-1 ;2,78 ;27,8 ;0 ;
1863 ;0:00,50 ;4364 ;14 ;77;19;63;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,2 ;-1 ;2,84 ;27,9 ;0 ;
1863 ;0:00,60 ;4382 ;14 ;77;19;62;0,857 ;0,0 ;0,0 ;0,0 ;1,1 ;0 ;4,55 ;12,4 ;-1 ;2,78 ;27,9 ;0 ;
1863 ;0:00,70 ;4393 ;14 ;77;19;62;0,854 ;1,4 ;1,4 ;1,4 ;1,1 ;0 ;4,62 ;12,4 ;-21 ;2,78 ;27,9 ;0 ;
1863 ;0:00,80 ;4411 ;14 ;77;19;62;0,851 ;1,4 ;1,4 ;1,4 ;1,1 ;0 ;4,56 ;12,2 ;-21 ;2,79 ;28,0 ;0 ;
1863 ;0:00,90 ;4379 ;14 ;77;19;63;0,847 ;1,4 ;1,4 ;1,4 ;1,1 ;0 ;4,59 ;12,4 ;-21 ;2,84 ;27,9 ;0 ;
1863 ;0:01,00 ;4355 ;14 ;77;19;62;0,852 ;1,4 ;1,4 ;1,4 ;1,1 ;0 ;4,52 ;12,2 ;-21 ;2,78 ;27,8 ;0 ;
1863 ;0:01,10 ;4321 ;14 ;77;19;62;0,849 ;1,4 ;1,4 ;1,4 ;1,6 ;0 ;4,57 ;12,3 ;0 ;2,78 ;27,6 ;0 ;
1863 ;0:01,20 ;4328 ;14 ;77;19;62;0,834 ;1,7 ;1,7 ;1,8 ;1,6 ;0 ;4,57 ;12,2 ;-5 ;2,78 ;27,7 ;0 ;
1863 ;0:01,30 ;4318 ;14 ;77;19;63;0,831 ;1,7 ;1,7 ;1,8 ;1,9 ;0 ;4,64 ;12,4 ;5 ;2,84 ;27,7 ;0 ;
1863 ;0:01,40 ;4336 ;14 ;77;19;62;0,840 ;2,0 ;2,0 ;2,0 ;1,9 ;0 ;4,57 ;12,3 ;-5 ;2,78 ;27,7 ;0 ;
1863 ;0:01,50 ;4273 ;14 ;77;19;63;0,863 ;2,2 ;2,2 ;2,2 ;2,1 ;0 ;4,56 ;12,3 ;-4 ;2,84 ;27,6 ;0 ;
1863 ;0:01,60 ;4326 ;14 ;77;19;63;0,881 ;2,2 ;2,4 ;2,2 ;2,3 ;0 ;4,63 ;12,4 ;-8 ;2,84 ;27,8 ;0 ;
1863 ;0:01,70 ;4478 ;14 ;77;19;63;0,868 ;2,4 ;2,4 ;2,4 ;2,5 ;0 ;4,60 ;12,2 ;0 ;2,86 ;28,3 ;0 ;
1863 ;0:01,80 ;4587 ;14 ;77;19;63;0,851 ;2,6 ;2,6 ;2,6 ;2,7 ;0 ;4,59 ;12,3 ;0 ;2,86 ;28,6 ;0 ;
