SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;

1755 ;0:00,10 ;334 ;9 ;88;26;100;0,904 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,3 ;-1 ;3,83 ;18,0 ;0 ;
1755 ;0:00,20 ;334 ;9 ;88;26;100;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,3 ;-1 ;3,83 ;18,0 ;0 ;
1755 ;0:00,30 ;334 ;9 ;88;26;101;0,925 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,3 ;-1 ;4,03 ;18,0 ;0 ;
1755 ;0:00,40 ;334 ;9 ;88;26;98;0,934 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,3 ;-1 ;3,42 ;18,0 ;0 ;
1755 ;0:00,50 ;727 ;9 ;88;26;96;0,936 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,3 ;-1 ;3,29 ;15,2 ;0 ;
1755 ;0:00,60 ;994 ;9 ;88;26;93;0,934 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,5 ;-1 ;3,10 ;11,1 ;0 ;
1755 ;0:00,70 ;1151 ;9 ;88;26;87;0,933 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,4 ;-1 ;2,73 ;8,5 ;0 ;
1755 ;0:00,80 ;1608 ;9 ;88;25;81;0,929 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,6 ;-1 ;2,44 ;7,4 ;0 ;
1755 ;0:00,90 ;1979 ;9 ;89;25;72;0,915 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,4 ;-1 ;2,22 ;8,1 ;0 ;
1755 ;0:01,00 ;2420 ;9 ;89;25;64;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,7 ;-1 ;2,23 ;8,5 ;0 ;
1755 ;0:01,10 ;2757 ;9 ;89;25;59;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,6 ;-1 ;2,18 ;11,3 ;0 ;
1755 ;0:01,20 ;3183 ;9 ;89;25;56;0,879 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,7 ;-1 ;2,16 ;18,2 ;0 ;
1755 ;0:01,30 ;3590 ;9 ;89;25;52;0,880 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,7 ;-1 ;2,13 ;24,9 ;0 ;
1755 ;0:01,40 ;3793 ;9 ;89;25;51;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,5 ;-1 ;2,13 ;27,1 ;0 ;
1755 ;0:01,50 ;3954 ;9 ;89;25;52;0,918 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,6 ;-1 ;2,21 ;29,0 ;0 ;
1755 ;0:01,60 ;3979 ;9 ;89;26;55;0,953 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,5 ;-1 ;2,35 ;29,4 ;0 ;
1755 ;0:01,70 ;3881 ;9 ;89;26;57;0,981 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,7 ;-1 ;2,43 ;28,5 ;0 ;
1755 ;0:01,80 ;3672 ;9 ;89;26;60;0,990 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,5 ;-1 ;2,51 ;25,8 ;0 ;
1755 ;0:01,90 ;3590 ;9 ;89;26;62;0,976 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,5 ;-1 ;2,56 ;24,9 ;0 ;
1755 ;0:02,00 ;3472 ;9 ;89;26;62;0,940 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,7 ;-1 ;2,51 ;23,4 ;0 ;
1755 ;0:02,10 ;3432 ;9 ;89;26;63;0,904 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,7 ;-1 ;2,53 ;22,7 ;0 ;
1755 ;0:02,20 ;3322 ;9 ;89;26;63;0,905 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,7 ;-1 ;2,48 ;20,8 ;0 ;
1755 ;0:02,30 ;3296 ;9 ;89;25;63;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,6 ;-1 ;2,47 ;20,4 ;0 ;
1755 ;0:02,40 ;3256 ;9 ;89;25;63;0,909 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,6 ;-1 ;2,46 ;19,7 ;0 ;
1755 ;0:02,50 ;3272 ;9 ;89;25;62;0,907 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,7 ;-1 ;2,43 ;19,8 ;0 ;
1755 ;0:02,60 ;3358 ;9 ;89;25;60;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,7 ;-1 ;2,40 ;21,4 ;0 ;
1755 ;0:02,70 ;3594 ;9 ;89;25;57;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;11,7 ;-1 ;2,35 ;25,0 ;0 ;
1755 ;0:02,80 ;3580 ;9 ;89;25;55;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;11,7 ;-1 ;2,26 ;24,9 ;0 ;
1755 ;0:02,90 ;3756 ;9 ;89;25;55;0,880 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,5 ;-1 ;2,30 ;26,9 ;0 ;
1755 ;0:03,00 ;3664 ;9 ;89;25;54;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,6 ;-1 ;2,24 ;25,9 ;0 ;
1755 ;0:03,10 ;3841 ;9 ;89;25;53;0,892 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,4 ;-1 ;2,22 ;27,8 ;0 ;
1755 ;0:03,20 ;3814 ;9 ;90;25;53;0,892 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;11,6 ;-1 ;2,22 ;27,5 ;0 ;
1755 ;0:03,30 ;3838 ;9 ;89;25;53;0,886 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,7 ;-1 ;2,22 ;27,8 ;0 ;
1755 ;0:03,40 ;3911 ;9 ;89;26;54;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,6 ;-1 ;2,30 ;29,4 ;0 ;
