SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;CAM T;

1307 ;0:00,10 ;656 ;100 ;86;98;0,776 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,4 ;-1 ;6,99 ;18,0 ;0 ;0 ;17 ;0 ;
1307 ;0:00,20 ;656 ;100 ;86;98;0,823 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,4 ;-1 ;6,99 ;18,0 ;0 ;0 ;17 ;0 ;
1307 ;0:00,30 ;656 ;100 ;86;98;0,883 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;11,4 ;-1 ;6,99 ;18,0 ;0 ;0 ;17 ;0 ;
1307 ;0:00,40 ;656 ;100 ;86;98;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;6,99 ;18,0 ;0 ;0 ;17 ;0 ;
1307 ;0:00,50 ;871 ;100 ;86;97;0,923 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;6,87 ;17,1 ;0 ;0 ;17 ;0 ;
1307 ;0:00,60 ;1198 ;100 ;86;98;0,940 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;7,44 ;18,7 ;0 ;0 ;18 ;0 ;
1307 ;0:00,70 ;1615 ;100 ;86;97;0,943 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,8 ;-1 ;8,12 ;20,4 ;0 ;0 ;20 ;0 ;
1307 ;0:00,80 ;2086 ;100 ;86;97;0,956 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,7 ;-1 ;8,88 ;22,1 ;0 ;0 ;22 ;0 ;
1307 ;0:00,90 ;2582 ;100 ;86;97;0,962 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;12,0 ;-1 ;9,83 ;23,5 ;0 ;0 ;24 ;0 ;
