SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;TAR LB;VOLTS;SHIF A;

1337 ;0:00,10 ;368 ;0 ;102;98;0,504 ;1,000 ;11,1 ;0 ;
1337 ;0:00,20 ;368 ;0 ;102;97;0,504 ;1,000 ;11,0 ;0 ;
1337 ;0:00,30 ;368 ;0 ;102;97;0,504 ;1,000 ;11,0 ;0 ;
1337 ;0:00,40 ;368 ;1 ;102;98;0,503 ;1,000 ;11,0 ;0 ;
1337 ;0:00,50 ;470 ;0 ;102;97;0,503 ;1,000 ;11,0 ;0 ;
1337 ;0:00,60 ;510 ;8 ;102;96;0,503 ;1,000 ;10,2 ;0 ;
1337 ;0:00,70 ;593 ;9 ;102;95;0,502 ;1,000 ;10,2 ;0 ;
1337 ;0:00,80 ;397 ;57 ;102;98;0,502 ;1,000 ;10,1 ;0 ;
1337 ;0:00,90 ;423 ;82 ;102;98;0,502 ;1,000 ;10,1 ;0 ;
1337 ;0:01,00 ;0 ;85 ;102;98;0,502 ;1,000 ;10,5 ;0 ;
1337 ;0:01,10 ;0 ;84 ;102;97;0,502 ;1,000 ;10,3 ;0 ;
1337 ;0:01,20 ;0 ;85 ;102;98;0,502 ;1,000 ;10,3 ;0 ;
1337 ;0:01,30 ;441 ;26 ;102;98;0,723 ;1,000 ;11,3 ;0 ;
1337 ;0:01,40 ;441 ;25 ;102;98;0,747 ;1,000 ;11,3 ;0 ;
1337 ;0:01,50 ;441 ;78 ;102;98;0,782 ;1,000 ;11,3 ;0 ;
1337 ;0:01,60 ;787 ;88 ;102;97;0,804 ;1,000 ;11,3 ;0 ;
1337 ;0:01,70 ;977 ;89 ;102;98;0,832 ;1,000 ;11,4 ;0 ;
1337 ;0:01,80 ;1224 ;87 ;102;97;0,854 ;1,000 ;11,4 ;0 ;
1337 ;0:01,90 ;1620 ;87 ;102;98;0,875 ;1,000 ;11,6 ;0 ;
1337 ;0:02,00 ;2006 ;87 ;102;98;0,872 ;1,000 ;11,6 ;0 ;
1337 ;0:02,10 ;2182 ;86 ;102;97;0,873 ;1,000 ;11,5 ;0 ;
1337 ;0:02,20 ;2242 ;81 ;101;97;0,887 ;1,000 ;11,6 ;0 ;
1337 ;0:02,30 ;2334 ;78 ;101;97;0,897 ;1,000 ;11,4 ;0 ;
1337 ;0:02,40 ;2474 ;76 ;101;97;0,902 ;1,000 ;11,4 ;0 ;
1337 ;0:02,50 ;2561 ;79 ;101;97;0,911 ;1,000 ;11,6 ;0 ;
1337 ;0:02,60 ;2660 ;80 ;101;97;0,906 ;1,000 ;11,4 ;0 ;
