SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;LAUC S;

1352 ;0:00,10 ;368 ;96 ;79;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,3 ;-1 ;11,18 ;0 ;
1352 ;0:00,20 ;368 ;96 ;79;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,4 ;-1 ;11,18 ;0 ;
1352 ;0:00,30 ;368 ;96 ;79;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,4 ;-1 ;11,18 ;0 ;
1352 ;0:00,40 ;368 ;95 ;79;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,4 ;-1 ;11,46 ;0 ;
1352 ;0:00,50 ;451 ;95 ;79;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,4 ;-1 ;11,46 ;0 ;
1352 ;0:00,60 ;435 ;96 ;79;96;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;10,5 ;-1 ;10,97 ;0 ;
1352 ;0:00,70 ;445 ;97 ;79;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,3 ;-1 ;11,55 ;0 ;
1352 ;0:00,80 ;461 ;88 ;79;96;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,5 ;-1 ;11,00 ;0 ;
1352 ;0:00,90 ;452 ;28 ;79;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,3 ;-1 ;4,55 ;0 ;
1352 ;0:01,00 ;449 ;49 ;79;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;10,5 ;-1 ;11,58 ;0 ;
1352 ;0:01,10 ;444 ;36 ;79;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,3 ;-1 ;11,03 ;0 ;
