SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

1300 ;0:00,10 ;626 ;99 ;84;98;0,508 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,6 ;-1 ;7,07 ;18,0 ;0 ;0 ;
1300 ;0:00,20 ;626 ;99 ;84;98;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,6 ;-1 ;7,07 ;18,0 ;0 ;0 ;
1300 ;0:00,30 ;626 ;99 ;84;98;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,6 ;-1 ;7,07 ;18,0 ;0 ;0 ;
1300 ;0:00,40 ;626 ;99 ;84;98;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,6 ;-1 ;7,07 ;18,0 ;0 ;0 ;
1300 ;0:00,50 ;758 ;98 ;84;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,5 ;-1 ;6,82 ;17,1 ;0 ;0 ;
1300 ;0:00,60 ;972 ;97 ;84;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;7,02 ;18,0 ;0 ;0 ;
1300 ;0:00,70 ;1382 ;97 ;84;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,6 ;-1 ;7,55 ;19,1 ;0 ;0 ;
1300 ;0:00,80 ;1752 ;98 ;84;97;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,6 ;-1 ;8,16 ;20,6 ;0 ;0 ;
1300 ;0:00,90 ;2281 ;97 ;84;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;11,9 ;-1 ;9,10 ;22,6 ;0 ;0 ;
1300 ;0:01,00 ;2758 ;97 ;84;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,9 ;-1 ;10,52 ;23,6 ;0 ;0 ;
1300 ;0:01,10 ;3247 ;98 ;84;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,9 ;-1 ;13,34 ;23,8 ;0 ;0 ;
1300 ;0:01,20 ;3706 ;96 ;84;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,5 ;-1 ;14,50 ;26,3 ;0 ;0 ;
1300 ;0:01,30 ;4114 ;97 ;83;96;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;11,6 ;-1 ;15,22 ;29,6 ;0 ;0 ;
1300 ;0:01,40 ;4465 ;95 ;83;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,7 ;-1 ;11,76 ;29,0 ;0 ;0 ;
1300 ;0:01,50 ;4806 ;91 ;83;95;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,9 ;-1 ;11,76 ;28,3 ;0 ;0 ;
