SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;LAUC S;

998 ;0:00,10 ;6001 ;15 ;90;33;0,867 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;11,9 ;-1 ;1,74 ;0 ;
998 ;0:00,20 ;6499 ;15 ;90;29;0,855 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;11,8 ;-1 ;1,64 ;0 ;
998 ;0:00,30 ;7067 ;15 ;90;26;0,866 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,0 ;-1 ;1,60 ;0 ;
998 ;0:00,40 ;7754 ;16 ;90;25;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;11,9 ;-1 ;1,59 ;0 ;
998 ;0:00,50 ;8546 ;17 ;90;25;0,858 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;11,9 ;-1 ;1,88 ;0 ;
998 ;0:00,60 ;9426 ;18 ;91;29;0,865 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;11,9 ;-1 ;1,92 ;0 ;
998 ;0:00,70 ;10336 ;23 ;91;33;0,841 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;11,8 ;-1 ;2,14 ;0 ;
998 ;0:00,80 ;10474 ;32 ;91;36;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;11,8 ;-1 ;2,17 ;0 ;
998 ;0:00,90 ;10486 ;32 ;91;37;0,836 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,8 ;-1 ;2,17 ;0 ;
998 ;0:01,00 ;10563 ;32 ;92;37;0,892 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,8 ;-1 ;2,18 ;0 ;
998 ;0:01,10 ;10539 ;33 ;92;38;1,002 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;11,9 ;-1 ;2,18 ;0 ;
998 ;0:01,20 ;10330 ;34 ;92;41;1,047 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;11,9 ;-1 ;2,25 ;0 ;
998 ;0:01,30 ;9455 ;35 ;92;47;1,118 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;11,9 ;-1 ;2,37 ;0 ;
998 ;0:01,40 ;7874 ;34 ;92;61;1,028 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,9 ;-1 ;3,05 ;0 ;
998 ;0:01,50 ;6623 ;33 ;93;68;0,832 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;3,19 ;0 ;
998 ;0:01,60 ;5557 ;33 ;93;73;0,719 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,8 ;-1 ;3,67 ;0 ;
998 ;0:01,70 ;5125 ;32 ;93;65;0,905 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;2,94 ;0 ;
998 ;0:01,80 ;5230 ;25 ;93;43;0,927 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;2,11 ;0 ;
998 ;0:01,90 ;5835 ;13 ;93;28;0,875 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;11,9 ;-1 ;1,62 ;0 ;
998 ;0:02,00 ;6618 ;9 ;94;23;0,847 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;11,9 ;-1 ;1,52 ;0 ;
998 ;0:02,10 ;7615 ;9 ;94;23;0,820 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;1,54 ;0 ;
998 ;0:02,20 ;8733 ;10 ;94;23;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;11,9 ;-1 ;1,76 ;0 ;
998 ;0:02,30 ;9791 ;11 ;94;28;0,870 ;1,6 ;1,8 ;0,0 ;0,0 ;0 ;4,63 ;11,9 ;-100 ;1,94 ;0 ;
998 ;0:02,40 ;10819 ;16 ;94;35;0,893 ;1,6 ;1,8 ;2,9 ;2,5 ;0 ;4,63 ;11,8 ;44 ;2,20 ;0 ;
998 ;0:02,50 ;11965 ;28 ;94;54;1,033 ;1,6 ;1,8 ;2,9 ;2,5 ;0 ;4,60 ;11,8 ;44 ;3,46 ;0 ;
998 ;0:02,60 ;9725 ;92 ;94;87;1,272 ;1,6 ;1,8 ;2,9 ;2,5 ;0 ;4,62 ;11,8 ;44 ;6,08 ;0 ;
998 ;0:02,70 ;6165 ;92 ;94;96;1,055 ;1,6 ;1,8 ;2,9 ;2,5 ;0 ;4,73 ;11,9 ;44 ;5,55 ;0 ;
998 ;0:02,80 ;4024 ;90 ;94;98;0,792 ;3,1 ;3,1 ;2,9 ;2,5 ;0 ;4,58 ;11,8 ;-16 ;6,80 ;0 ;
998 ;0:02,90 ;3570 ;81 ;94;96;0,785 ;4,0 ;4,0 ;3,9 ;3,6 ;0 ;4,54 ;11,8 ;-10 ;6,00 ;0 ;
998 ;0:03,00 ;3108 ;36 ;94;65;0,892 ;4,8 ;4,8 ;4,7 ;5,2 ;0 ;4,63 ;11,8 ;0 ;2,45 ;0 ;
998 ;0:03,10 ;3523 ;10 ;93;50;0,947 ;6,1 ;6,1 ;6,0 ;6,3 ;0 ;4,65 ;12,0 ;-1 ;2,02 ;0 ;
998 ;0:03,20 ;3970 ;11 ;93;48;0,890 ;7,7 ;7,2 ;7,6 ;7,4 ;0 ;4,63 ;12,0 ;-3 ;2,03 ;0 ;
998 ;0:03,30 ;4602 ;11 ;93;46;0,807 ;9,0 ;8,6 ;9,0 ;8,8 ;0 ;4,65 ;11,9 ;-2 ;2,09 ;0 ;
998 ;0:03,40 ;5316 ;13 ;93;41;0,741 ;10,1 ;10,0 ;10,0 ;9,9 ;0 ;4,62 ;12,0 ;-1 ;2,09 ;0 ;
