SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;LAUC S;

975 ;0:00,10 ;450 ;2 ;89;99;0,772 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;11,8 ;-1 ;3,57 ;0 ;
975 ;0:00,20 ;450 ;12 ;89;99;0,806 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;11,8 ;-1 ;3,57 ;0 ;
975 ;0:00,30 ;450 ;12 ;89;96;0,867 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;11,8 ;-1 ;3,24 ;0 ;
975 ;0:00,40 ;870 ;9 ;89;87;0,881 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;11,7 ;-1 ;2,70 ;0 ;
975 ;0:00,50 ;1389 ;4 ;89;79;0,850 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;12,0 ;-1 ;2,30 ;0 ;
975 ;0:00,60 ;1953 ;4 ;89;70;0,835 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;12,0 ;-1 ;2,18 ;0 ;
975 ;0:00,70 ;2518 ;4 ;89;63;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,1 ;-1 ;2,20 ;0 ;
975 ;0:00,80 ;3055 ;4 ;89;60;0,800 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;12,1 ;-1 ;2,25 ;0 ;
975 ;0:00,90 ;3417 ;5 ;89;59;0,791 ;0,0 ;1,8 ;0,0 ;0,0 ;0 ;4,58 ;11,9 ;-100 ;2,35 ;0 ;
975 ;0:01,00 ;3377 ;5 ;89;64;0,854 ;2,0 ;1,8 ;2,2 ;2,1 ;0 ;4,68 ;12,0 ;5 ;2,51 ;0 ;
975 ;0:01,10 ;3205 ;8 ;89;70;0,856 ;2,0 ;1,8 ;2,2 ;2,1 ;0 ;4,63 ;12,0 ;5 ;2,62 ;0 ;
975 ;0:01,20 ;3064 ;16 ;89;69;0,893 ;2,0 ;1,8 ;2,2 ;2,1 ;0 ;4,60 ;11,7 ;5 ;2,53 ;0 ;
975 ;0:01,30 ;3496 ;12 ;89;61;1,036 ;2,0 ;1,8 ;2,2 ;2,1 ;0 ;4,67 ;12,1 ;5 ;2,47 ;0 ;
975 ;0:01,40 ;3845 ;12 ;89;60;1,250 ;2,0 ;2,6 ;2,2 ;2,1 ;0 ;4,63 ;11,9 ;-19 ;2,53 ;0 ;
975 ;0:01,50 ;4274 ;13 ;89;63;1,351 ;2,8 ;2,6 ;3,0 ;2,9 ;0 ;4,64 ;11,9 ;3 ;2,75 ;0 ;
975 ;0:01,60 ;4099 ;13 ;89;69;1,303 ;3,4 ;3,3 ;3,5 ;3,5 ;0 ;4,66 ;12,0 ;2 ;3,00 ;0 ;
975 ;0:01,70 ;3461 ;14 ;89;77;1,235 ;4,0 ;4,3 ;4,1 ;4,0 ;0 ;4,63 ;11,8 ;-6 ;2,92 ;0 ;
975 ;0:01,80 ;2800 ;14 ;89;83;1,215 ;5,0 ;4,8 ;5,1 ;5,1 ;0 ;4,67 ;12,0 ;2 ;2,74 ;0 ;
975 ;0:01,90 ;2423 ;14 ;89;88;1,237 ;6,0 ;5,9 ;6,0 ;6,1 ;0 ;4,63 ;12,1 ;0 ;2,80 ;0 ;
975 ;0:02,00 ;1960 ;14 ;89;90;1,261 ;6,8 ;6,8 ;6,9 ;7,0 ;0 ;4,73 ;12,1 ;1 ;2,87 ;0 ;
975 ;0:02,10 ;1634 ;14 ;89;92;1,263 ;8,0 ;8,0 ;8,1 ;8,2 ;0 ;4,60 ;11,9 ;1 ;3,11 ;0 ;
975 ;0:02,20 ;1587 ;14 ;89;92;1,260 ;8,5 ;8,5 ;8,8 ;8,7 ;0 ;4,63 ;12,0 ;2 ;3,11 ;0 ;
975 ;0:02,30 ;1745 ;14 ;89;91;1,237 ;9,0 ;8,9 ;9,2 ;9,0 ;0 ;4,69 ;12,0 ;0 ;3,00 ;0 ;
975 ;0:02,40 ;1766 ;14 ;89;91;1,202 ;9,3 ;9,4 ;9,4 ;9,5 ;0 ;4,63 ;12,0 ;0 ;3,00 ;0 ;
975 ;0:02,50 ;1901 ;14 ;89;91;1,214 ;9,5 ;9,7 ;9,8 ;9,8 ;0 ;4,62 ;12,0 ;1 ;3,01 ;0 ;
975 ;0:02,60 ;1907 ;14 ;89;90;1,213 ;9,7 ;10,1 ;9,9 ;10,2 ;0 ;4,68 ;12,0 ;-1 ;2,87 ;0 ;
975 ;0:02,70 ;1989 ;14 ;89;89;1,226 ;9,9 ;10,2 ;10,3 ;10,4 ;0 ;4,55 ;11,8 ;0 ;2,82 ;0 ;
975 ;0:02,80 ;2004 ;14 ;89;90;1,237 ;10,1 ;10,3 ;10,2 ;10,5 ;0 ;4,60 ;12,0 ;0 ;2,87 ;0 ;
975 ;0:02,90 ;1924 ;14 ;89;89;1,254 ;10,6 ;10,5 ;10,6 ;10,6 ;0 ;4,61 ;11,9 ;0 ;2,82 ;0 ;
975 ;0:03,00 ;2060 ;14 ;89;89;1,277 ;11,1 ;10,3 ;11,3 ;10,3 ;0 ;4,70 ;12,0 ;-5 ;2,82 ;0 ;
