SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;

1384 ;0:00,10 ;662 ;100 ;83;37;98;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;10,4 ;-1 ;3,34 ;18,0 ;0 ;
1384 ;0:00,20 ;662 ;100 ;83;37;99;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;10,4 ;-1 ;3,54 ;18,0 ;0 ;
1384 ;0:00,30 ;662 ;100 ;83;37;99;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;10,8 ;-1 ;3,54 ;18,0 ;0 ;
1384 ;0:00,40 ;662 ;100 ;83;37;99;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;10,8 ;-1 ;3,54 ;18,0 ;0 ;
1384 ;0:00,50 ;935 ;100 ;83;37;99;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,8 ;-1 ;3,54 ;18,0 ;0 ;
1384 ;0:00,60 ;772 ;100 ;83;37;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;10,8 ;-1 ;3,34 ;18,0 ;0 ;
1384 ;0:00,70 ;758 ;100 ;83;37;99;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,8 ;-1 ;3,54 ;18,0 ;0 ;
1384 ;0:00,80 ;866 ;100 ;83;37;98;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;10,8 ;-1 ;3,34 ;18,0 ;0 ;
1384 ;0:00,90 ;1084 ;100 ;83;37;99;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;10,8 ;-1 ;3,61 ;18,4 ;0 ;
1384 ;0:01,00 ;1450 ;100 ;83;37;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;10,7 ;-1 ;3,70 ;19,8 ;0 ;
1384 ;0:01,10 ;1724 ;100 ;83;37;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;10,5 ;-1 ;3,88 ;20,8 ;0 ;
1384 ;0:01,20 ;1931 ;100 ;83;37;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,5 ;-1 ;4,03 ;21,7 ;0 ;
1384 ;0:01,30 ;1655 ;48 ;83;37;89;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,6 ;-1 ;2,79 ;16,9 ;0 ;
1384 ;0:01,40 ;1935 ;9 ;83;37;75;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,6 ;-1 ;2,20 ;-1,0 ;0 ;
1384 ;0:01,50 ;2266 ;9 ;83;37;69;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;10,7 ;-1 ;2,22 ;0,0 ;0 ;
1384 ;0:01,60 ;2568 ;9 ;83;37;64;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;10,7 ;-1 ;2,22 ;0,0 ;0 ;
1384 ;0:01,70 ;2916 ;9 ;83;36;60;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;10,7 ;-1 ;2,21 ;0,0 ;0 ;
