SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;

1378 ;0:00,10 ;556 ;0 ;61;27;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,1 ;-1 ;3,86 ;30,0 ;0 ;
1378 ;0:00,20 ;556 ;0 ;61;27;98;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,1 ;-1 ;3,86 ;27,6 ;0 ;
1378 ;0:00,30 ;556 ;0 ;61;27;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,0 ;-1 ;3,86 ;27,6 ;0 ;
1378 ;0:00,40 ;556 ;0 ;61;27;92;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,0 ;-1 ;3,42 ;21,1 ;0 ;
1378 ;0:00,50 ;755 ;0 ;61;27;88;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,1 ;-1 ;3,12 ;21,1 ;0 ;
1378 ;0:00,60 ;1110 ;0 ;61;27;84;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,0 ;-1 ;2,85 ;18,5 ;0 ;
1378 ;0:00,70 ;1382 ;0 ;61;27;79;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,0 ;-1 ;2,59 ;18,5 ;0 ;
1378 ;0:00,80 ;1740 ;0 ;61;27;73;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,0 ;-1 ;2,43 ;17,8 ;0 ;
1378 ;0:00,90 ;2229 ;0 ;61;27;69;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;10,7 ;-1 ;2,49 ;17,8 ;0 ;
1378 ;0:01,00 ;2469 ;0 ;61;27;69;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,0 ;-1 ;2,57 ;18,4 ;0 ;
1378 ;0:01,10 ;2477 ;0 ;61;27;72;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;10,8 ;-1 ;2,57 ;18,4 ;0 ;
1378 ;0:01,20 ;2344 ;1 ;61;27;76;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,0 ;-1 ;2,55 ;19,1 ;0 ;
1378 ;0:01,30 ;2306 ;1 ;61;28;79;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,0 ;-1 ;2,73 ;19,1 ;0 ;
