SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

1499 ;0:00,10 ;577 ;5 ;82;22;99;0,874 ;3,8 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,4 ;4,36 ;20,0 ;24,4;
1499 ;0:00,20 ;577 ;5 ;82;22;99;0,886 ;4,5 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,4 ;4,36 ;20,0 ;22,0;
1499 ;0:00,30 ;577 ;5 ;82;22;99;0,898 ;5,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,3 ;4,36 ;19,6 ;21,5;
1499 ;0:00,40 ;577 ;5 ;82;22;99;0,918 ;5,1 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,4 ;4,36 ;17,5 ;30,1;
1499 ;0:00,50 ;1001 ;5 ;82;22;94;0,951 ;5,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,5 ;3,50 ;4,9 ;32,7;
1499 ;0:00,60 ;1203 ;5 ;82;22;87;1,010 ;5,5 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,3 ;3,25 ;0,0 ;48,2;
1499 ;0:00,70 ;1835 ;5 ;82;21;79;1,079 ;5,6 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,26 ;0,0 ;59,6;
1499 ;0:00,80 ;2318 ;5 ;82;21;72;1,124 ;5,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;3,26 ;0,0 ;70,6;
1499 ;0:00,90 ;2783 ;5 ;82;21;65;1,095 ;5,8 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,4 ;3,17 ;0,0 ;76,2;
1499 ;0:01,00 ;3359 ;5 ;82;21;59;1,025 ;5,9 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;2,91 ;0,0 ;73,7;
1499 ;0:01,10 ;3760 ;5 ;82;21;53;0,959 ;6,1 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;2,61 ;15,9 ;92,0;
1499 ;0:01,20 ;4397 ;5 ;82;21;49;0,908 ;6,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,2 ;2,90 ;21,0 ;108,6;
1499 ;0:01,30 ;5088 ;5 ;82;21;44;0,868 ;6,9 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,5 ;3,24 ;26,8 ;117,8;
1499 ;0:01,40 ;5841 ;5 ;81;21;43;0,849 ;7,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;3,24 ;32,2 ;121,7;
1499 ;0:01,50 ;6332 ;5 ;82;22;48;0,841 ;7,8 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;3,26 ;36,6 ;120,0;
1499 ;0:01,60 ;6474 ;5 ;82;22;52;0,833 ;8,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,22 ;37,9 ;118,2;
1499 ;0:01,70 ;6546 ;5 ;82;22;53;0,826 ;8,2 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;3,21 ;38,3 ;116,4;
1499 ;0:01,80 ;6461 ;5 ;82;22;57;0,843 ;8,5 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,27 ;39,2 ;116,2;
1499 ;0:01,90 ;5853 ;5 ;82;22;65;0,871 ;8,6 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,64 ;35,4 ;103,4;
1499 ;0:02,00 ;5024 ;5 ;82;22;70;0,887 ;8,8 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,95 ;27,6 ;86,3;
1499 ;0:02,10 ;4572 ;5 ;82;22;68;0,887 ;8,9 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,57 ;23,8 ;73,3;
1499 ;0:02,20 ;4423 ;5 ;82;22;64;0,888 ;9,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;3,24 ;21,9 ;61,2;
1499 ;0:02,30 ;4197 ;5 ;82;22;60;0,896 ;9,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;2,92 ;19,5 ;60,2;
1499 ;0:02,40 ;4195 ;5 ;82;22;60;0,899 ;9,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;2,92 ;19,4 ;57,4;
