SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;

2678 ;0:00,10 ;1731 ;6 ;76;21;91;1,113 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,3 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:00,20 ;1640 ;6 ;76;21;91;1,120 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:00,30 ;1731 ;6 ;76;21;91;1,127 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,3 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:00,40 ;1676 ;6 ;76;21;91;1,127 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:00,50 ;1689 ;6 ;76;21;91;1,140 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,3 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:00,60 ;1680 ;6 ;76;21;91;1,153 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:00,70 ;1740 ;6 ;76;21;92;1,153 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,23 ;0,0 ;0 ;0 ;
2678 ;0:00,80 ;1561 ;6 ;76;21;92;1,140 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,21 ;0,0 ;0 ;0 ;
2678 ;0:00,90 ;1505 ;6 ;76;21;91;1,147 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,0 ;-1 ;3,00 ;0,0 ;0 ;0 ;
2678 ;0:01,00 ;1518 ;6 ;76;21;91;1,147 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;13,2 ;-1 ;3,00 ;0,0 ;0 ;0 ;
2678 ;0:01,10 ;1510 ;6 ;76;21;91;1,192 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,00 ;0,0 ;0 ;0 ;
2678 ;0:01,20 ;1620 ;6 ;76;21;91;1,220 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:01,30 ;1628 ;6 ;76;21;90;1,211 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,1 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:01,40 ;1744 ;6 ;76;21;91;1,139 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:01,50 ;1778 ;6 ;76;21;91;1,094 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,3 ;-1 ;3,02 ;0,0 ;0 ;0 ;
2678 ;0:01,60 ;1704 ;6 ;76;21;91;1,089 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:01,70 ;1661 ;6 ;76;21;91;1,086 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:01,80 ;1816 ;6 ;76;21;90;1,091 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;13,1 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:01,90 ;1766 ;6 ;76;21;90;1,079 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:02,00 ;1912 ;6 ;76;21;90;1,062 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,3 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:02,10 ;1834 ;6 ;76;21;90;1,049 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,2 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:02,20 ;1664 ;6 ;76;21;91;1,037 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:02,30 ;1575 ;6 ;76;21;91;1,033 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,00 ;0,0 ;0 ;0 ;
2678 ;0:02,40 ;1741 ;6 ;76;21;91;1,031 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;13,1 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:02,50 ;1777 ;6 ;76;21;92;1,022 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,3 ;-1 ;3,24 ;0,0 ;0 ;0 ;
2678 ;0:02,60 ;1616 ;6 ;76;21;91;1,038 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:02,70 ;1643 ;6 ;76;21;91;1,029 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:02,80 ;1561 ;6 ;76;21;91;1,020 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;13,2 ;-1 ;3,00 ;0,0 ;0 ;0 ;
2678 ;0:02,90 ;1557 ;6 ;76;21;91;1,039 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,00 ;0,0 ;0 ;0 ;
2678 ;0:03,00 ;1638 ;6 ;76;21;91;1,054 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,10 ;1702 ;6 ;76;21;92;1,059 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,23 ;0,0 ;0 ;0 ;
2678 ;0:03,20 ;1720 ;6 ;76;21;91;1,053 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,30 ;1679 ;6 ;76;21;91;1,063 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,40 ;1691 ;6 ;76;21;91;1,067 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,50 ;1716 ;6 ;76;21;91;1,059 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,60 ;1622 ;6 ;76;21;91;1,067 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,70 ;1659 ;6 ;76;21;91;1,079 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,3 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,80 ;1670 ;6 ;76;21;91;1,097 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:03,90 ;1687 ;6 ;76;21;90;1,106 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;13,1 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:04,00 ;1731 ;6 ;76;21;91;1,082 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,2 ;-1 ;3,01 ;0,0 ;0 ;0 ;
2678 ;0:04,10 ;1799 ;6 ;76;21;91;1,080 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;3,02 ;0,0 ;0 ;0 ;
2678 ;0:04,20 ;1723 ;6 ;76;21;90;1,080 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;13,2 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:04,30 ;1650 ;6 ;76;21;90;1,099 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;13,1 ;-1 ;2,80 ;0,0 ;0 ;0 ;
2678 ;0:04,40 ;1710 ;6 ;76;21;89;1,120 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;13,1 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2678 ;0:04,50 ;1734 ;6 ;76;21;89;1,140 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,1 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2678 ;0:04,60 ;1783 ;6 ;76;21;89;1,175 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;13,1 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2678 ;0:04,70 ;1889 ;6 ;76;21;89;1,193 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,3 ;-1 ;2,79 ;0,0 ;0 ;0 ;
2678 ;0:04,80 ;2010 ;6 ;76;21;88;1,204 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,3 ;-1 ;2,78 ;0,0 ;0 ;0 ;
2678 ;0:04,90 ;2046 ;6 ;76;21;88;1,212 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;13,3 ;-1 ;2,78 ;0,0 ;0 ;0 ;
2678 ;0:05,00 ;2133 ;6 ;76;21;87;1,180 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,3 ;-1 ;2,77 ;0,0 ;0 ;0 ;
2678 ;0:05,10 ;2228 ;6 ;75;21;88;1,106 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,3 ;-1 ;2,78 ;0,0 ;0 ;0 ;
2678 ;0:05,20 ;2198 ;7 ;75;21;88;1,034 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;2,78 ;0,0 ;0 ;0 ;
2678 ;0:05,30 ;2226 ;7 ;75;21;88;0,946 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,1 ;-1 ;2,78 ;0,0 ;0 ;0 ;
2678 ;0:05,40 ;2291 ;8 ;75;21;89;0,882 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;13,3 ;-1 ;2,79 ;0,3 ;0 ;0 ;
2678 ;0:05,50 ;2131 ;8 ;75;21;92;0,909 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,2 ;-1 ;3,28 ;0,6 ;0 ;0 ;
2678 ;0:05,60 ;1624 ;9 ;75;21;94;0,961 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;13,0 ;-1 ;3,63 ;18,5 ;0 ;0 ;
2678 ;0:05,70 ;1297 ;8 ;75;21;95;0,945 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;13,2 ;-1 ;3,44 ;0,7 ;0 ;0 ;
2678 ;0:05,80 ;1389 ;8 ;75;20;96;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;13,1 ;-1 ;3,77 ;0,6 ;0 ;0 ;
2678 ;0:05,90 ;588 ;29 ;75;20;98;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,0 ;-1 ;3,15 ;20,0 ;0 ;0 ;
2678 ;0:06,00 ;806 ;21 ;75;20;94;0,933 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,0 ;-1 ;2,88 ;14,5 ;0 ;0 ;
2678 ;0:06,10 ;1071 ;8 ;75;20;85;0,927 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;13,1 ;-1 ;2,58 ;1,1 ;0 ;0 ;
2678 ;0:06,20 ;1637 ;7 ;75;20;76;0,925 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,2 ;-1 ;2,63 ;0,0 ;0 ;0 ;
2678 ;0:06,30 ;2269 ;6 ;75;20;69;0,921 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;13,3 ;-1 ;2,74 ;0,0 ;0 ;0 ;
2678 ;0:06,40 ;2733 ;5 ;75;20;62;0,909 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;13,3 ;-1 ;2,57 ;0,0 ;0 ;0 ;
