SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

365 ;0:00,10 ;3642 ;6 ;79;18;76;0,864 ;22,0 ;19,0 ;21,7 ;18,9 ;0 ;4,77 ;2,46 ;13,1 ;-4 ;2,81 ;21,1 ;0 ;4,8;21,9;
365 ;0:00,20 ;3675 ;6 ;79;18;76;0,876 ;22,1 ;19,7 ;21,7 ;19,7 ;0 ;4,84 ;2,51 ;13,4 ;-3 ;2,79 ;21,4 ;0 ;4,7;21,3;
365 ;0:00,30 ;3737 ;6 ;79;18;76;0,879 ;21,5 ;20,0 ;21,7 ;20,3 ;0 ;4,81 ;2,50 ;13,4 ;0 ;2,75 ;21,9 ;0 ;4,7;21,6;
365 ;0:00,40 ;3753 ;6 ;79;18;76;0,876 ;22,0 ;20,5 ;22,1 ;20,4 ;0 ;4,81 ;2,57 ;13,4 ;-1 ;2,74 ;22,0 ;0 ;4,7;21,6;
365 ;0:00,50 ;3865 ;6 ;79;18;76;0,871 ;22,2 ;20,5 ;22,2 ;20,5 ;0 ;4,81 ;2,57 ;13,4 ;-1 ;2,68 ;22,8 ;0 ;4,7;21,2;
365 ;0:00,60 ;3945 ;6 ;79;18;74;0,862 ;22,3 ;21,2 ;22,5 ;21,2 ;0 ;4,75 ;2,63 ;13,0 ;0 ;2,69 ;23,1 ;0 ;4,8;21,7;
365 ;0:00,70 ;3777 ;6 ;79;18;74;0,852 ;23,1 ;21,3 ;22,8 ;21,6 ;0 ;4,81 ;2,58 ;13,2 ;-2 ;2,75 ;21,8 ;0 ;4,9;21,5;
365 ;0:00,80 ;4255 ;6 ;79;18;72;0,833 ;22,8 ;21,5 ;22,9 ;21,7 ;0 ;4,77 ;2,73 ;13,3 ;0 ;2,90 ;26,8 ;0 ;4,8;20,9;
365 ;0:00,90 ;4029 ;6 ;79;18;70;0,801 ;23,4 ;22,4 ;23,5 ;22,6 ;0 ;4,80 ;2,70 ;13,3 ;0 ;2,77 ;23,2 ;0 ;5,2;22,7;
365 ;0:01,00 ;4140 ;5 ;79;18;69;0,769 ;23,6 ;22,5 ;23,4 ;22,6 ;0 ;4,81 ;2,72 ;13,4 ;-1 ;2,85 ;0,0 ;0 ;5,0;21,2;
365 ;0:01,10 ;4160 ;5 ;79;18;68;0,753 ;23,7 ;22,9 ;23,7 ;23,1 ;0 ;4,77 ;2,77 ;13,2 ;0 ;2,88 ;0,0 ;0 ;5,5;23,4;
365 ;0:01,20 ;4215 ;6 ;79;18;68;0,739 ;23,7 ;23,1 ;23,6 ;23,0 ;0 ;4,80 ;2,77 ;13,4 ;-1 ;2,90 ;25,5 ;0 ;5,4;22,7;
365 ;0:01,30 ;4116 ;5 ;79;18;68;0,725 ;23,1 ;23,3 ;23,4 ;23,1 ;0 ;4,83 ;2,78 ;13,4 ;0 ;2,85 ;0,0 ;0 ;5,5;23,1;
365 ;0:01,40 ;4058 ;5 ;79;18;67;0,731 ;23,2 ;23,4 ;23,1 ;23,2 ;0 ;4,77 ;2,75 ;13,0 ;-1 ;2,78 ;0,0 ;0 ;5,2;22,1;
365 ;0:01,50 ;4144 ;6 ;79;18;67;0,747 ;22,7 ;22,9 ;22,9 ;23,1 ;0 ;4,81 ;2,77 ;13,5 ;0 ;2,81 ;24,1 ;0 ;5,2;22,8;
