SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

388 ;0:00,10 ;474 ;3 ;70;14;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,10 ;12,6 ;-1 ;5,65 ;20,0 ;0 ;1,2;0,0;
388 ;0:00,20 ;474 ;3 ;70;14;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,10 ;12,6 ;-1 ;5,65 ;20,0 ;0 ;1,2;0,0;
388 ;0:00,30 ;0 ;12 ;71;15;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,89 ;1,16 ;11,3 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
388 ;0:00,40 ;0 ;12 ;71;15;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,89 ;1,17 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
388 ;0:00,50 ;0 ;14 ;71;15;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,83 ;1,18 ;11,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
388 ;0:00,60 ;0 ;16 ;71;15;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,80 ;1,18 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
388 ;0:00,70 ;421 ;16 ;71;15;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;1,18 ;11,2 ;-1 ;4,80 ;30,0 ;0 ;0,0;0,0;
388 ;0:00,80 ;419 ;16 ;71;15;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,18 ;10,9 ;-1 ;4,80 ;30,0 ;0 ;0,9;0,0;
388 ;0:00,90 ;422 ;16 ;71;15;97;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,18 ;11,2 ;-1 ;4,80 ;28,6 ;0 ;0,9;0,0;
388 ;0:01,00 ;1517 ;15 ;71;15;96;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,35 ;11,1 ;-1 ;4,80 ;31,2 ;0 ;0,9;0,0;
388 ;0:01,10 ;1041 ;14 ;72;15;95;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;1,15 ;10,3 ;-1 ;4,78 ;26,1 ;0 ;3,0;0,0;
388 ;0:01,20 ;2369 ;15 ;71;15;94;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,92 ;11,7 ;-1 ;3,73 ;28,5 ;0 ;2,8;0,0;
388 ;0:01,30 ;3982 ;19 ;71;15;91;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;3,11 ;12,1 ;-1 ;4,55 ;28,3 ;0 ;5,9;0,0;
388 ;0:01,40 ;5961 ;15 ;71;15;84;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;4,69 ;12,7 ;-1 ;4,96 ;38,6 ;0 ;8,9;0,0;
388 ;0:01,50 ;7609 ;12 ;71;15;68;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;6,00 ;12,7 ;-1 ;3,63 ;39,3 ;0 ;13,2;0,0;
388 ;0:01,60 ;8522 ;11 ;71;15;53;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,15 ;12,5 ;-1 ;3,17 ;38,7 ;0 ;10,3;0,0;
388 ;0:01,70 ;8092 ;10 ;71;15;46;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,13 ;12,7 ;-1 ;2,51 ;35,9 ;0 ;11,7;0,0;
388 ;0:01,80 ;7367 ;10 ;71;15;45;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,03 ;12,8 ;-1 ;2,34 ;33,6 ;0 ;8,8;0,0;
388 ;0:01,90 ;7402 ;10 ;71;15;47;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,06 ;12,7 ;-1 ;2,33 ;34,6 ;0 ;7,6;0,0;
388 ;0:02,00 ;7851 ;10 ;71;14;46;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,07 ;12,8 ;-1 ;2,39 ;35,4 ;0 ;8,2;0,0;
388 ;0:02,10 ;8688 ;14 ;71;14;43;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,14 ;12,7 ;-1 ;2,93 ;34,5 ;0 ;9,0;0,0;
388 ;0:02,20 ;9488 ;12 ;71;14;42;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,25 ;12,7 ;-1 ;2,95 ;34,2 ;0 ;12,1;0,0;
388 ;0:02,30 ;8984 ;5 ;72;14;31;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;6,18 ;12,5 ;-1 ;2,52 ;29,5 ;0 ;12,5;0,0;
388 ;0:02,40 ;7738 ;4 ;72;14;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,09 ;12,7 ;-1 ;2,04 ;28,3 ;0 ;10,1;0,0;
388 ;0:02,50 ;6623 ;4 ;72;14;32;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;5,68 ;12,9 ;-1 ;1,99 ;28,7 ;0 ;7,0;0,0;
388 ;0:02,60 ;5585 ;4 ;72;14;36;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;4,68 ;13,0 ;-1 ;2,31 ;28,0 ;0 ;5,9;0,0;
388 ;0:02,70 ;4705 ;4 ;71;14;40;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;4,01 ;13,0 ;-1 ;2,58 ;0,0 ;0 ;6,0;0,0;
388 ;0:02,80 ;3965 ;4 ;71;14;44;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;3,48 ;12,9 ;-1 ;2,30 ;0,0 ;0 ;5,2;0,0;
388 ;0:02,90 ;3301 ;4 ;71;14;51;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;2,91 ;13,1 ;-1 ;2,35 ;0,0 ;0 ;4,0;0,0;
388 ;0:03,00 ;2664 ;10 ;71;14;63;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;2,46 ;13,0 ;-1 ;4,17 ;15,4 ;0 ;3,3;0,0;
388 ;0:03,10 ;2677 ;11 ;71;14;76;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;2,41 ;13,1 ;-1 ;4,77 ;16,1 ;0 ;5,7;0,0;
388 ;0:03,20 ;3305 ;11 ;71;14;81;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;2,85 ;13,0 ;-1 ;5,20 ;21,7 ;0 ;6,4;0,0;
388 ;0:03,30 ;4281 ;11 ;71;15;80;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;3,55 ;13,1 ;-1 ;4,96 ;29,1 ;0 ;8,5;0,0;
388 ;0:03,40 ;5783 ;11 ;71;15;74;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;4,92 ;12,9 ;-1 ;6,10 ;36,9 ;0 ;11,3;0,0;
388 ;0:03,50 ;6270 ;11 ;71;15;65;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;5,32 ;12,6 ;-1 ;4,20 ;36,1 ;0 ;16,3;0,0;
388 ;0:03,60 ;7113 ;10 ;71;15;59;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;5,88 ;12,8 ;-1 ;3,24 ;37,6 ;0 ;11,3;0,0;
388 ;0:03,70 ;7874 ;10 ;70;15;52;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,10 ;12,9 ;-1 ;3,03 ;36,6 ;0 ;10,8;0,0;
388 ;0:03,80 ;8979 ;10 ;70;15;41;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;6,22 ;12,7 ;-1 ;2,87 ;33,2 ;0 ;10,2;0,0;
388 ;0:03,90 ;8920 ;10 ;70;15;36;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;6,20 ;12,6 ;-1 ;2,68 ;31,1 ;0 ;11,9;0,0;
388 ;0:04,00 ;7848 ;9 ;70;15;38;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,98 ;12,8 ;-1 ;2,29 ;30,7 ;0 ;10,9;0,0;
388 ;0:04,10 ;7014 ;8 ;70;15;42;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;5,79 ;12,7 ;-1 ;2,33 ;31,9 ;0 ;8,0;0,0;
388 ;0:04,20 ;7178 ;8 ;70;15;42;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;5,91 ;12,8 ;-1 ;2,34 ;32,0 ;0 ;7,6;0,0;
