SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

391 ;0:00,10 ;0 ;12 ;33;16;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,64 ;1,21 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:00,20 ;0 ;12 ;33;16;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,62 ;1,21 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:00,30 ;0 ;12 ;33;16;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,58 ;1,26 ;10,6 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:00,40 ;0 ;3 ;33;16;97;0,505 ;0,0 ;0,0 ;4,4 ;3,5 ;0 ;1,59 ;1,28 ;11,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:00,50 ;582 ;8 ;33;16;96;0,506 ;4,3 ;4,3 ;4,3 ;4,5 ;0 ;4,75 ;1,35 ;11,6 ;2 ;9,75 ;27,2 ;0 ;2,6;60,4;
391 ;0:00,60 ;1098 ;25 ;33;16;97;0,505 ;4,4 ;4,0 ;3,2 ;3,7 ;0 ;4,68 ;1,42 ;11,2 ;-18 ;18,35 ;29,3 ;0 ;2,6;60,4;
391 ;0:00,70 ;546 ;22 ;33;16;96;0,502 ;4,4 ;4,0 ;3,2 ;2,4 ;0 ;4,63 ;1,15 ;11,3 ;-31 ;18,35 ;27,2 ;0 ;4,6;104,5;
391 ;0:00,80 ;546 ;22 ;33;16;96;0,500 ;4,4 ;4,0 ;1,7 ;2,4 ;0 ;4,61 ;0,99 ;11,0 ;-50 ;18,35 ;27,2 ;0 ;4,6;104,5;
391 ;0:00,90 ;546 ;2 ;33;16;96;0,500 ;4,4 ;4,0 ;1,7 ;2,4 ;0 ;4,61 ;0,91 ;11,1 ;-50 ;18,35 ;20,0 ;0 ;4,6;104,5;
391 ;0:01,00 ;546 ;2 ;33;16;96;0,500 ;4,4 ;4,0 ;1,7 ;2,4 ;0 ;4,62 ;0,91 ;11,1 ;-50 ;18,35 ;20,0 ;0 ;4,6;104,5;
391 ;0:01,10 ;0 ;3 ;33;16;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,23 ;11,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:01,20 ;0 ;3 ;33;16;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,24 ;11,2 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:01,30 ;0 ;4 ;33;16;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,29 ;11,3 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:01,40 ;0 ;11 ;33;16;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,27 ;11,2 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
391 ;0:01,50 ;439 ;11 ;33;16;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,31 ;11,4 ;-1 ;18,07 ;28,6 ;0 ;0,0;0,0;
391 ;0:01,60 ;461 ;12 ;33;16;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,31 ;11,3 ;-1 ;18,07 ;30,0 ;0 ;3,6;0,0;
391 ;0:01,70 ;461 ;12 ;33;16;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,32 ;11,3 ;-1 ;17,83 ;28,6 ;0 ;3,7;0,0;
391 ;0:01,80 ;440 ;12 ;33;16;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,31 ;11,3 ;-1 ;17,55 ;30,0 ;0 ;3,7;0,0;
391 ;0:01,90 ;439 ;12 ;33;16;97;0,508 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,32 ;11,3 ;-1 ;17,31 ;28,6 ;0 ;3,5;0,0;
391 ;0:02,00 ;466 ;12 ;33;16;98;0,509 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,31 ;11,4 ;-1 ;17,31 ;30,0 ;0 ;3,4;0,0;
391 ;0:02,10 ;465 ;12 ;33;16;97;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;1,26 ;10,7 ;-1 ;17,03 ;28,6 ;0 ;3,6;0,0;
391 ;0:02,20 ;1588 ;11 ;33;16;94;0,508 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;1,61 ;10,6 ;-1 ;14,59 ;28,5 ;0 ;3,6;0,0;
