SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

399 ;0:00,10 ;0 ;3 ;66;17;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,15 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
399 ;0:00,20 ;0 ;3 ;66;17;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,15 ;11,6 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
399 ;0:00,30 ;0 ;3 ;66;17;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,18 ;13,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
399 ;0:00,40 ;1966 ;3 ;66;17;88;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;1,15 ;12,1 ;-1 ;4,72 ;-0,2 ;0 ;4,3;0,0;
399 ;0:00,50 ;2443 ;3 ;66;17;85;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,61 ;13,1 ;-1 ;3,97 ;-0,2 ;0 ;4,4;0,0;
399 ;0:00,60 ;2172 ;3 ;66;17;83;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,75 ;12,7 ;-1 ;3,52 ;-0,5 ;0 ;3,5;0,0;
399 ;0:00,70 ;1797 ;3 ;66;17;86;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,73 ;13,1 ;-1 ;3,59 ;-0,5 ;0 ;2,9;0,0;
399 ;0:00,80 ;1361 ;3 ;66;17;89;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;1,58 ;13,0 ;-1 ;3,69 ;-0,3 ;0 ;2,3;0,0;
399 ;0:00,90 ;972 ;3 ;66;17;91;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;1,44 ;12,7 ;-1 ;3,68 ;-0,3 ;0 ;1,6;0,0;
