SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

403 ;0:00,10 ;0 ;3 ;66;16;97;0,828 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,15 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
403 ;0:00,20 ;0 ;3 ;66;16;97;0,729 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,16 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
403 ;0:00,30 ;0 ;3 ;66;16;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,15 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
403 ;0:00,40 ;0 ;3 ;66;16;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,16 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
403 ;0:00,50 ;448 ;3 ;66;16;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,16 ;11,4 ;-1 ;4,80 ;17,8 ;0 ;0,0;0,0;
403 ;0:00,60 ;455 ;3 ;66;16;97;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,16 ;11,5 ;-1 ;4,80 ;17,8 ;0 ;0,9;0,0;
403 ;0:00,70 ;453 ;3 ;66;16;97;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,15 ;11,4 ;-1 ;4,80 ;20,0 ;0 ;0,9;0,0;
403 ;0:00,80 ;1363 ;2 ;66;16;92;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;1,14 ;11,0 ;-1 ;4,80 ;20,0 ;0 ;0,9;0,0;
403 ;0:00,90 ;1494 ;3 ;66;16;92;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;1,27 ;11,8 ;-1 ;4,16 ;20,0 ;0 ;3,0;0,0;
403 ;0:01,00 ;1385 ;3 ;66;16;91;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,47 ;12,3 ;-1 ;3,73 ;20,0 ;0 ;3,1;0,0;
403 ;0:01,10 ;1268 ;3 ;66;16;91;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;1,52 ;12,0 ;-1 ;3,73 ;20,0 ;0 ;2,7;0,0;
403 ;0:01,20 ;1373 ;3 ;66;16;92;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,49 ;12,9 ;-1 ;3,73 ;20,0 ;0 ;2,1;0,0;
403 ;0:01,30 ;1342 ;3 ;66;16;93;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,48 ;13,0 ;-1 ;3,73 ;20,0 ;0 ;2,1;0,0;
