SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1253 ;0:00,10 ;4641 ;6 ;84;37;56;0,906 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;4,02 ;13,1 ;-1 ;2,64 ;27,7 ;0 ;0 ;10 ;5,6;0,0;
1253 ;0:00,20 ;4646 ;6 ;84;37;55;0,902 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;4,07 ;13,1 ;-1 ;2,64 ;27,5 ;0 ;0 ;10 ;5,7;0,0;
1253 ;0:00,30 ;4562 ;6 ;84;37;56;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;4,02 ;13,2 ;-1 ;2,59 ;26,8 ;0 ;0 ;9 ;5,6;0,0;
1253 ;0:00,40 ;4567 ;6 ;84;37;56;0,900 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;4,08 ;13,2 ;-1 ;2,59 ;26,8 ;0 ;0 ;9 ;5,4;0,0;
1253 ;0:00,50 ;4602 ;6 ;84;37;56;0,900 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;3,99 ;13,2 ;-1 ;2,62 ;27,3 ;0 ;0 ;9 ;5,5;0,0;
1253 ;0:00,60 ;4667 ;6 ;84;37;56;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;4,02 ;13,1 ;-1 ;2,66 ;27,7 ;0 ;0 ;10 ;5,7;0,0;
1253 ;0:00,70 ;4605 ;6 ;84;37;55;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;4,08 ;13,0 ;-1 ;2,61 ;27,0 ;0 ;0 ;10 ;5,7;0,0;
1253 ;0:00,80 ;4527 ;6 ;84;37;55;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;4,05 ;13,2 ;-1 ;2,56 ;26,0 ;0 ;0 ;9 ;5,5;0,0;
1253 ;0:00,90 ;4485 ;6 ;84;37;56;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;4,02 ;13,2 ;-1 ;2,54 ;25,8 ;0 ;0 ;9 ;5,3;0,0;
1253 ;0:01,00 ;4510 ;6 ;84;37;56;0,900 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;4,00 ;13,2 ;-1 ;2,56 ;26,1 ;0 ;0 ;9 ;5,4;0,0;
1253 ;0:01,10 ;4556 ;6 ;84;37;55;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;4,02 ;12,9 ;-1 ;2,58 ;26,4 ;0 ;0 ;9 ;5,4;0,0;
