SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1256 ;0:00,10 ;0 ;6 ;73;53;92;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,98 ;1,10 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1256 ;0:00,20 ;0 ;6 ;73;53;92;0,632 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,10 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1256 ;0:00,30 ;0 ;6 ;73;53;92;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,12 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1256 ;0:00,40 ;121 ;6 ;73;53;92;0,635 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,36 ;1,13 ;11,5 ;-1 ;4,37 ;18,8 ;0 ;0 ;10 ;0,0;0,0;
1256 ;0:00,50 ;421 ;6 ;73;53;92;0,633 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;1,13 ;11,8 ;-1 ;4,37 ;18,8 ;0 ;0 ;10 ;0,8;0,0;
1256 ;0:00,60 ;428 ;6 ;73;53;92;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;1,13 ;11,6 ;-1 ;4,37 ;20,0 ;0 ;0 ;10 ;0,8;0,0;
1256 ;0:00,70 ;429 ;6 ;73;53;92;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;1,13 ;11,7 ;-1 ;4,37 ;20,0 ;0 ;0 ;10 ;0,8;0,0;
1256 ;0:00,80 ;432 ;6 ;73;53;92;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;1,16 ;11,7 ;-1 ;4,37 ;20,0 ;0 ;0 ;10 ;0,8;0,0;
1256 ;0:00,90 ;427 ;6 ;73;53;92;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;1,16 ;11,6 ;-1 ;4,37 ;20,0 ;0 ;0 ;10 ;0,8;0,0;
1256 ;0:01,00 ;682 ;6 ;73;53;91;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;1,21 ;11,9 ;-1 ;4,37 ;20,0 ;0 ;0 ;10 ;0,8;0,0;
1256 ;0:01,10 ;1229 ;17 ;74;54;88;0,601 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;1,18 ;11,0 ;-1 ;3,81 ;17,9 ;0 ;0 ;9 ;2,1;0,0;
1256 ;0:01,20 ;1492 ;42 ;73;53;92;0,570 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;1,49 ;12,4 ;-1 ;5,75 ;25,6 ;0 ;0 ;14 ;4,2;0,0;
1256 ;0:01,30 ;1854 ;47 ;73;53;92;0,576 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;1,65 ;12,9 ;-1 ;5,75 ;25,7 ;0 ;0 ;14 ;4,6;0,0;
1256 ;0:01,40 ;2137 ;6 ;73;53;88;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;1,83 ;13,0 ;-1 ;5,43 ;20,0 ;0 ;0 ;13 ;5,5;0,0;
1256 ;0:01,50 ;2263 ;6 ;73;53;84;0,627 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;2,06 ;12,9 ;-1 ;4,92 ;20,0 ;0 ;0 ;12 ;5,2;0,0;
1256 ;0:01,60 ;2151 ;9 ;73;53;84;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,99 ;12,7 ;-1 ;4,42 ;20,0 ;0 ;0 ;11 ;4,4;0,0;
1256 ;0:01,70 ;2113 ;24 ;73;53;89;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;2,01 ;12,6 ;-1 ;5,08 ;21,5 ;0 ;0 ;12 ;5,1;0,0;
1256 ;0:01,80 ;3323 ;31 ;73;53;90;0,625 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;2,45 ;12,7 ;-1 ;5,89 ;25,0 ;0 ;0 ;15 ;6,7;0,0;
1256 ;0:01,90 ;4742 ;37 ;73;53;90;0,623 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;3,98 ;13,0 ;-1 ;5,81 ;38,8 ;0 ;0 ;22 ;12,0;0,0;
1256 ;0:02,00 ;6602 ;6 ;73;53;74;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,34 ;13,0 ;-1 ;5,40 ;40,1 ;0 ;0 ;30 ;18,3;0,0;
1256 ;0:02,10 ;6923 ;6 ;73;53;56;0,610 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;6,33 ;12,8 ;-1 ;2,61 ;36,2 ;0 ;0 ;15 ;8,8;0,0;
1256 ;0:02,20 ;7275 ;6 ;73;53;47;0,610 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,52 ;13,0 ;-1 ;2,18 ;34,2 ;0 ;0 ;13 ;7,2;0,0;
1256 ;0:02,30 ;7422 ;6 ;73;53;41;0,613 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,55 ;12,8 ;-1 ;2,22 ;31,9 ;0 ;0 ;13 ;7,6;0,0;
1256 ;0:02,40 ;7250 ;6 ;73;53;37;0,614 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,96 ;6,48 ;12,9 ;-1 ;2,12 ;30,4 ;0 ;0 ;12 ;7,1;0,0;
1256 ;0:02,50 ;7009 ;6 ;73;52;35;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,42 ;13,0 ;-1 ;2,03 ;29,8 ;0 ;0 ;12 ;6,8;0,0;
1256 ;0:02,60 ;6759 ;6 ;74;52;35;0,618 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;6,40 ;13,0 ;-1 ;2,03 ;29,6 ;0 ;0 ;11 ;6,4;0,0;
1256 ;0:02,70 ;6266 ;6 ;74;52;35;0,619 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,28 ;13,0 ;-1 ;2,03 ;29,1 ;0 ;0 ;10 ;6,0;0,0;
1256 ;0:02,80 ;5437 ;6 ;74;52;40;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;5,55 ;13,0 ;-1 ;2,41 ;28,6 ;0 ;0 ;11 ;6,1;0,0;
1256 ;0:02,90 ;4843 ;6 ;74;51;43;0,625 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;4,92 ;13,1 ;-1 ;2,53 ;26,6 ;0 ;0 ;10 ;6,0;0,0;
