SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1275 ;0:00,10 ;5676 ;8 ;68;37;54;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;5,81 ;13,1 ;-1 ;2,45 ;32,3 ;0 ;0 ;11 ;6,4;0,0;
1275 ;0:00,20 ;5702 ;8 ;68;37;54;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,81 ;13,0 ;-1 ;2,44 ;32,3 ;0 ;0 ;11 ;6,4;0,0;
1275 ;0:00,30 ;5702 ;8 ;68;37;55;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,90 ;13,0 ;-1 ;2,43 ;32,5 ;0 ;0 ;11 ;6,4;0,0;
1275 ;0:00,40 ;5769 ;8 ;68;37;55;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,97 ;12,8 ;-1 ;2,38 ;32,6 ;0 ;0 ;11 ;6,4;0,0;
1275 ;0:00,50 ;5813 ;8 ;68;37;54;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,00 ;13,2 ;-1 ;2,36 ;32,4 ;0 ;0 ;11 ;6,3;0,0;
1275 ;0:00,60 ;5875 ;8 ;68;37;54;0,648 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,96 ;13,0 ;-1 ;2,32 ;32,5 ;0 ;0 ;11 ;6,3;0,0;
1275 ;0:00,70 ;5927 ;8 ;69;37;54;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,08 ;13,2 ;-1 ;2,28 ;32,5 ;0 ;0 ;11 ;6,2;0,0;
1275 ;0:00,80 ;5977 ;8 ;69;37;53;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,12 ;13,2 ;-1 ;2,27 ;32,3 ;0 ;0 ;11 ;6,2;0,0;
1275 ;0:00,90 ;6052 ;8 ;69;37;53;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,18 ;13,2 ;-1 ;2,25 ;32,5 ;0 ;0 ;11 ;6,2;0,0;
1275 ;0:01,00 ;6184 ;8 ;69;37;52;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,21 ;13,1 ;-1 ;2,25 ;32,6 ;0 ;0 ;11 ;6,3;0,0;
1275 ;0:01,10 ;6355 ;8 ;69;37;50;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,26 ;13,2 ;-1 ;2,26 ;32,6 ;0 ;0 ;12 ;6,5;0,0;
1275 ;0:01,20 ;6641 ;8 ;69;37;46;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,36 ;13,2 ;-1 ;2,26 ;32,3 ;0 ;0 ;12 ;6,8;0,0;
1275 ;0:01,30 ;6903 ;8 ;69;37;44;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,39 ;12,9 ;-1 ;2,25 ;32,2 ;0 ;0 ;13 ;7,0;0,0;
1275 ;0:01,40 ;7009 ;8 ;69;37;42;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,42 ;13,0 ;-1 ;2,26 ;31,9 ;0 ;0 ;13 ;7,2;0,0;
1275 ;0:01,50 ;7088 ;8 ;69;37;41;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,43 ;13,1 ;-1 ;2,27 ;31,6 ;0 ;0 ;13 ;7,4;0,0;
1275 ;0:01,60 ;7121 ;8 ;69;36;40;0,643 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,46 ;13,0 ;-1 ;2,28 ;31,3 ;0 ;0 ;13 ;7,5;0,0;
1275 ;0:01,70 ;7070 ;8 ;69;36;39;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,40 ;13,0 ;-1 ;2,28 ;31,0 ;0 ;0 ;13 ;7,4;0,0;
1275 ;0:01,80 ;6988 ;8 ;69;36;39;0,643 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,43 ;13,2 ;-1 ;2,28 ;30,9 ;0 ;0 ;13 ;7,4;0,0;
1275 ;0:01,90 ;6929 ;8 ;69;36;39;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,39 ;13,1 ;-1 ;2,28 ;30,9 ;0 ;0 ;13 ;7,3;0,0;
1275 ;0:02,00 ;6833 ;8 ;69;36;39;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,37 ;13,1 ;-1 ;2,28 ;30,7 ;0 ;0 ;13 ;7,2;0,0;
1275 ;0:02,10 ;6667 ;8 ;69;36;39;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,33 ;12,9 ;-1 ;2,28 ;30,6 ;0 ;0 ;12 ;7,1;0,0;
1275 ;0:02,20 ;6537 ;8 ;69;36;40;0,643 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,35 ;13,1 ;-1 ;2,28 ;30,6 ;0 ;0 ;12 ;6,9;0,0;
1275 ;0:02,30 ;6071 ;8 ;69;36;41;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,23 ;13,2 ;-1 ;2,28 ;30,1 ;0 ;0 ;11 ;6,6;0,0;
1275 ;0:02,40 ;5445 ;8 ;69;36;46;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,65 ;12,9 ;-1 ;2,55 ;30,0 ;0 ;0 ;11 ;6,3;0,0;
