"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
23064,0,,,251,253,238,234,,0.19,0.11,2.2,-0,-10,-9,0.22,,69,5927,8,37,54,0.65,0.0,607,4.87,13.2,0.0,1,32.5,1.17,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23084,0,,,252,253,238,233,,0.24,0.14,2.34,0,-15,-12,0.28,,69,5937,8,37,54,0.65,0.0,608,4.89,13.2,0.0,1,32.5,2.28,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23104,0,,,251,253,238,234,,0.28,0.14,2.47,0,-17,-13,0.32,,69,5948,8,37,54,0.65,0.0,615,4.88,13.2,0.0,1,32.5,2.27,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23124,0,,,252,253,238,234,,0.31,0.13,2.58,0,-19,-14,0.34,,69,5948,8,37,54,0.65,0.0,608,4.88,13.2,0.0,1,32.5,2.27,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23144,0,-0,2,252,253,238,234,2,0.34,0.1,2.69,0,-21,-15,0.35,1,69,5954,8,37,54,0.65,0.0,610,4.88,13.2,0.0,1,32.5,2.28,6.2,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.3857
23164,0,,,252,253,238,234,,0.36,0.06,2.79,0,-21,-15,0.36,,69,5977,8,37,54,0.652,0.0,611,4.88,13.2,0.0,1,32.5,2.27,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23184,0,,,251,253,237,234,,0.37,0.04,2.89,0,-21,-15,0.37,,69,5971,8,37,54,0.654,0.0,616,4.88,13.2,0.0,1,32.5,2.27,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23204,0,,,251,254,238,234,,0.38,0.01,2.97,0,-20,-15,0.38,,69,6000,8,37,53,0.657,0.0,616,4.87,13.2,0.0,1,32.4,2.25,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23224,0,,,251,253,237,234,,0.39,-0.02,3.05,0,-20,-15,0.39,,69,6009,8,37,53,0.659,0.0,607,4.89,13.2,0.0,1,32.4,2.25,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23244,0,0,2,251,254,238,234,1,0.41,-0.04,3.12,0,-20,-15,0.41,1,69,6046,8,37,53,0.66,0.0,612,4.87,13.2,0.0,1,32.5,2.25,6.2,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3874
23264,0,,,251,253,237,234,,0.43,-0.05,3.19,0,-21,-16,0.44,,69,6052,8,37,53,0.661,0.0,616,4.88,13.2,0.0,1,32.5,2.25,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23284,0,,,252,253,238,234,,0.47,-0.06,3.25,1,-23,-17,0.47,,69,6062,8,37,53,0.661,0.0,618,4.86,13.2,0.0,1,32.5,2.25,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23304,0,,,251,253,238,233,,0.51,-0.04,3.31,1,-26,-19,0.51,,69,6117,8,37,53,0.661,0.0,619,4.87,13.2,0.0,1,32.6,2.24,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23324,0,,,251,253,238,233,,0.56,-0.01,3.36,0,-28,-21,0.56,,69,6121,8,37,53,0.66,0.0,618,4.88,13.1,0.0,1,32.6,1.13,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23344,0,-1,2,252,253,238,234,3,0.59,0.02,3.41,0,-30,-22,0.59,1,69,6159,8,37,53,0.66,0.0,616,4.86,13.0,0.0,1,32.8,2.24,6.3,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.3891
23364,0,,,251,254,237,233,,0.56,0.03,3.17,0,-28,-20,0.56,,69,6184,8,37,52,0.658,0.0,621,4.87,13.1,0.0,1,32.7,2.25,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23384,0,,,252,254,237,234,,0.45,0.03,2.92,0,-24,-16,0.45,,69,6190,8,37,52,0.655,0.0,627,4.88,12.9,0.0,1,32.7,2.25,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23404,0,,,252,254,237,234,,0.34,0.04,2.7,0,-18,-12,0.34,,69,6231,8,37,52,0.653,0.0,628,4.88,12.9,0.0,1,32.8,2.25,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23424,0,,,251,254,237,234,,0.31,0.07,2.49,0,-15,-10,0.31,,69,6243,8,37,51,0.651,0.0,631,4.87,13.2,0.0,1,32.6,2.26,6.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23444,0,-1,2,251,253,238,234,3,0.32,0.05,2.6,0,-16,-12,0.33,1,69,6304,8,37,51,0.651,0.0,627,4.86,13.2,0.0,1,32.8,1.15,6.5,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3907
23464,0,,,252,253,237,234,,0.36,0.01,2.71,0,-17,-12,0.36,,69,6355,8,37,50,0.651,0.0,626,4.87,13.2,0.0,1,32.6,2.26,6.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23484,0,,,251,254,238,234,,0.29,0.03,2.5,0,-13,-9,0.29,,69,6425,8,37,50,0.649,0.0,625,4.87,13.0,0.0,1,32.9,2.26,6.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23504,0,,,252,254,237,234,,0.27,0.05,2.31,0,-11,-8,0.27,,69,6478,8,37,49,0.647,0.0,633,4.87,13.0,0.0,1,32.7,2.26,6.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
