SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1277 ;0:00,10 ;0 ;6 ;73;41;92;0,646 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,96 ;1,13 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1277 ;0:00,20 ;0 ;6 ;73;41;92;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,96 ;1,13 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1277 ;0:00,30 ;0 ;6 ;73;41;91;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,96 ;1,13 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1277 ;0:00,40 ;0 ;6 ;73;41;92;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,96 ;1,13 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1277 ;0:00,50 ;675 ;30 ;73;41;92;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;3,99 ;1,16 ;12,1 ;-1 ;7,80 ;21,7 ;0 ;0 ;19 ;0,0;0,0;
1277 ;0:00,60 ;1153 ;49 ;75;42;90;0,609 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,05 ;11,0 ;-1 ;7,72 ;20,2 ;0 ;0 ;19 ;5,2;0,0;
1277 ;0:00,70 ;1560 ;54 ;74;42;91;0,577 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,34 ;12,0 ;-1 ;7,76 ;24,3 ;0 ;0 ;19 ;3,4;0,0;
1277 ;0:00,80 ;1587 ;6 ;73;42;90;0,587 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,47 ;12,4 ;-1 ;5,68 ;18,9 ;0 ;0 ;14 ;4,4;0,0;
1277 ;0:00,90 ;1196 ;52 ;73;41;92;0,631 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,51 ;12,5 ;-1 ;5,90 ;23,2 ;0 ;0 ;14 ;3,9;0,0;
1277 ;0:01,00 ;1319 ;56 ;74;42;91;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,54 ;12,2 ;-1 ;5,90 ;22,8 ;0 ;0 ;14 ;3,5;0,0;
1277 ;0:01,10 ;1813 ;15 ;73;41;91;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,68 ;12,6 ;-1 ;5,68 ;24,3 ;0 ;0 ;14 ;3,6;0,0;
1277 ;0:01,20 ;1936 ;6 ;73;42;86;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,80 ;12,3 ;-1 ;5,26 ;19,0 ;0 ;0 ;13 ;4,3;0,0;
1277 ;0:01,30 ;1743 ;6 ;73;41;85;0,633 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;1,84 ;12,6 ;-1 ;4,83 ;19,0 ;0 ;0 ;12 ;4,7;0,0;
1277 ;0:01,40 ;1505 ;57 ;73;41;92;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,73 ;12,6 ;-1 ;5,42 ;25,7 ;0 ;0 ;13 ;3,7;0,0;
1277 ;0:01,50 ;2519 ;51 ;73;41;92;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,89 ;12,5 ;-1 ;4,99 ;25,7 ;0 ;0 ;12 ;5,1;0,0;
1277 ;0:01,60 ;3738 ;6 ;73;41;83;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;2,69 ;12,6 ;-1 ;3,15 ;0,0 ;0 ;0 ;9 ;7,2;0,0;
1277 ;0:01,70 ;3851 ;42 ;74;41;89;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;3,26 ;12,6 ;-1 ;6,13 ;26,3 ;0 ;0 ;19 ;5,1;0,0;
1277 ;0:01,80 ;6105 ;24 ;74;41;88;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;4,99 ;12,8 ;-1 ;4,50 ;39,4 ;0 ;0 ;22 ;12,6;0,0;
1277 ;0:01,90 ;8396 ;29 ;74;41;79;0,628 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,65 ;12,8 ;-1 ;4,46 ;40,3 ;0 ;0 ;31 ;12,0;0,0;
1277 ;0:02,00 ;10800 ;6 ;74;41;49;0,620 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,97 ;12,8 ;-1 ;2,93 ;38,5 ;0 ;0 ;26 ;18,0;0,0;
1277 ;0:02,10 ;9740 ;6 ;74;41;35;0,619 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,86 ;12,7 ;-1 ;2,51 ;30,8 ;0 ;0 ;20 ;12,2;0,0;
1277 ;0:02,20 ;8708 ;6 ;74;41;30;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;6,66 ;12,9 ;-1 ;2,40 ;29,1 ;0 ;0 ;17 ;10,8;0,0;
1277 ;0:02,30 ;7712 ;6 ;74;41;31;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,56 ;12,9 ;-1 ;1,94 ;28,6 ;0 ;0 ;12 ;8,9;0,0;
1277 ;0:02,40 ;6786 ;8 ;74;41;32;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,35 ;12,7 ;-1 ;1,91 ;28,8 ;0 ;0 ;11 ;6,6;0,0;
1277 ;0:02,50 ;6850 ;47 ;74;40;75;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,37 ;13,0 ;-1 ;4,25 ;41,8 ;0 ;0 ;24 ;6,8;0,0;
1277 ;0:02,60 ;7961 ;26 ;74;40;83;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,51 ;12,8 ;-1 ;4,41 ;36,8 ;0 ;0 ;29 ;14,3;0,0;
