"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
40064,1627482359546,,,246,251,238,235,,-0.06,0.01,1.05,-2,-0,-0,0.06,,67,4139,24,37,88,1.263,17.1,369,4.84,13.1,64.9,1,29.0,5.93,11.1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40084,1627482359566,,,246,251,238,235,,0.0,-0.02,0.97,-2,-1,0,0.02,,67,4331,24,37,88,1.274,17.1,395,4.85,13.2,64.9,1,31.8,2.52,11.1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40104,1627482359586,,,247,249,238,235,,0.08,-0.04,0.9,-2,-1,0,0.09,,67,4355,24,37,87,1.289,17.5,422,4.86,13.1,64.9,1,32.0,5.86,11.1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40124,1627482359606,,,249,252,236,233,,0.17,-0.04,0.83,-2,-1,1,0.17,,67,4062,24,37,87,1.301,18.4,413,4.82,13.2,64.9,1,27.6,5.68,11.1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40144,1627482359626,0,0,250,254,234,232,-8,0.13,-0.04,1.03,-3,-1,1,0.13,1,67,3983,19,37,87,1.311,18.7,405,4.88,12.8,64.9,1,26.5,5.65,11.1,0,0,0,1,0,196,-1,18432,187,47.221031,14.761069,17.92,686.7,9,2,1.7,0,0.0,-1,0.0,,0.0,0,0.02,0.6691
40164,1627482359646,,,251,254,233,230,,0.1,-0.04,1.24,-3,0,1,0.11,,67,4374,12,37,86,1.325,19.3,413,4.82,12.9,56.4,1,32.0,2.42,10.9,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40184,1627482359666,,,252,255,233,230,,-0.06,0.01,1.45,-3,1,-0,0.06,,67,4673,9,37,83,1.335,18.9,439,4.87,13.1,56.4,1,35.7,2.42,10.9,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40204,1627482359686,,,251,254,235,232,,-0.01,0.07,1.65,-3,-2,-3,0.07,,67,4789,9,37,80,1.325,18.9,471,4.87,13.0,56.4,1,36.5,3.36,10.9,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40224,1627482359706,,,251,252,238,234,,0.03,-0.01,1.52,-3,-1,-2,0.03,,67,5064,10,37,78,1.312,18.1,500,4.86,13.2,56.4,1,39.0,3.57,10.9,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40244,1627482359726,-1,2,251,251,239,236,-13,0.06,0.0,1.71,-4,0,-2,0.06,1,67,5358,14,37,77,1.299,18.5,542,4.8,13.0,56.4,1,38.1,3.73,10.9,0,0,0,1,0,178,-1,-1,185,47.221035,14.761072,17.85,686.9,9,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.02,0.6707
40264,1627482359746,,,251,252,239,236,,0.01,-0.03,1.58,-4,1,-1,0.03,,67,5595,15,37,76,1.283,18.9,568,4.88,13.1,51.3,1,37.6,4.35,9.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
40284,1627482359766,,,251,253,238,235,,0.02,-0.06,1.56,-5,-3,-4,0.06,,67,5896,15,37,75,1.261,19.1,592,4.93,13.2,51.3,1,36.9,4.47,9.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
