SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1310 ;0:00,10 ;8932 ;13 ;55;32;39;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,82 ;13,5 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,2;0,0;
1310 ;0:00,20 ;8997 ;13 ;55;32;39;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,77 ;13,5 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,3;0,0;
1310 ;0:00,30 ;9036 ;13 ;55;32;39;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,78 ;13,5 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,4;0,0;
1310 ;0:00,40 ;8988 ;13 ;55;32;39;0,660 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,78 ;13,4 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,4;0,0;
1310 ;0:00,50 ;9079 ;13 ;55;32;39;0,656 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,83 ;13,4 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,4;0,0;
1310 ;0:00,60 ;9071 ;13 ;55;32;39;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,82 ;13,6 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,4;0,0;
1310 ;0:00,70 ;9079 ;13 ;55;32;39;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,78 ;13,5 ;-1 ;2,73 ;32,0 ;0 ;0 ;20 ;11,4;0,0;
1310 ;0:00,80 ;9124 ;13 ;55;32;39;0,648 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,81 ;13,5 ;-1 ;2,73 ;32,0 ;0 ;0 ;21 ;11,5;0,0;
1310 ;0:00,90 ;9150 ;14 ;55;32;39;0,646 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,85 ;13,6 ;-1 ;2,74 ;32,0 ;0 ;0 ;21 ;11,6;0,0;
1310 ;0:01,00 ;9115 ;14 ;55;32;40;0,648 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,87 ;13,4 ;-1 ;2,76 ;32,6 ;0 ;0 ;21 ;11,6;0,0;
1310 ;0:01,10 ;9115 ;14 ;56;32;40;0,648 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,78 ;13,5 ;-1 ;2,76 ;32,6 ;0 ;0 ;21 ;11,7;0,0;
1310 ;0:01,20 ;9222 ;16 ;56;32;42;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,86 ;13,4 ;-1 ;2,83 ;34,0 ;0 ;0 ;22 ;11,9;0,0;
1310 ;0:01,30 ;9600 ;17 ;56;32;45;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,87 ;13,5 ;-1 ;2,92 ;36,5 ;0 ;0 ;23 ;12,8;0,0;
1310 ;0:01,40 ;10118 ;18 ;56;32;44;0,647 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,96 ;13,5 ;-1 ;2,69 ;35,7 ;0 ;0 ;23 ;12,5;0,0;
1310 ;0:01,50 ;10486 ;18 ;56;32;44;0,646 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,98 ;13,5 ;-1 ;2,69 ;35,7 ;0 ;0 ;23 ;12,9;0,0;
1310 ;0:01,60 ;10641 ;18 ;56;32;44;0,648 ;0,5 ;0,5 ;0,0 ;0,0 ;0 ;4,84 ;6,97 ;13,4 ;-100 ;2,70 ;35,7 ;0 ;0 ;24 ;13,2;0,0;
1310 ;0:01,70 ;10732 ;18 ;56;31;44;0,654 ;0,5 ;0,5 ;0,0 ;0,0 ;0 ;4,86 ;6,99 ;13,5 ;-100 ;2,71 ;35,7 ;0 ;0 ;24 ;13,4;0,0;
1310 ;0:01,80 ;10813 ;18 ;56;31;44;0,662 ;1,2 ;1,2 ;1,0 ;1,1 ;0 ;4,86 ;7,07 ;13,5 ;-16 ;2,72 ;35,7 ;0 ;0 ;24 ;13,5;0,0;
1310 ;0:01,90 ;10831 ;18 ;56;31;45;0,669 ;1,7 ;1,7 ;1,6 ;1,6 ;0 ;4,87 ;7,01 ;13,5 ;-5 ;2,75 ;36,5 ;0 ;0 ;25 ;13,8;0,0;
1310 ;0:02,00 ;10782 ;18 ;56;31;45;0,670 ;2,1 ;2,2 ;2,0 ;2,0 ;0 ;4,85 ;7,02 ;13,5 ;-9 ;2,74 ;36,5 ;0 ;0 ;25 ;13,7;0,0;
1310 ;0:02,10 ;10629 ;18 ;56;31;45;0,673 ;2,6 ;2,6 ;2,5 ;2,5 ;0 ;4,87 ;7,03 ;13,5 ;-3 ;2,74 ;36,5 ;0 ;0 ;24 ;13,5;642,8;
1310 ;0:02,20 ;10387 ;18 ;56;31;44;0,673 ;3,1 ;3,2 ;3,5 ;3,6 ;0 ;4,82 ;6,96 ;13,5 ;9 ;2,69 ;35,7 ;0 ;0 ;23 ;13,0;419,3;
1310 ;0:02,30 ;10179 ;18 ;56;31;44;0,668 ;4,3 ;4,2 ;4,5 ;4,5 ;0 ;4,87 ;6,97 ;13,5 ;4 ;2,69 ;35,7 ;0 ;0 ;23 ;12,7;295,3;
1310 ;0:02,40 ;9962 ;18 ;56;31;45;0,660 ;5,0 ;5,1 ;5,3 ;5,4 ;0 ;4,86 ;6,90 ;13,4 ;3 ;2,75 ;36,5 ;0 ;0 ;23 ;12,4;248,0;
1310 ;0:02,50 ;9806 ;19 ;56;31;46;0,654 ;6,1 ;6,1 ;6,4 ;6,4 ;0 ;4,79 ;6,93 ;13,4 ;4 ;2,86 ;37,2 ;0 ;0 ;23 ;12,9;222,4;
1310 ;0:02,60 ;9704 ;19 ;56;31;48;0,624 ;7,1 ;7,1 ;7,3 ;7,3 ;0 ;4,83 ;6,86 ;13,6 ;2 ;3,03 ;38,2 ;0 ;0 ;24 ;13,6;202,9;
1310 ;0:02,70 ;9580 ;19 ;56;31;49;0,578 ;8,2 ;8,2 ;8,2 ;8,2 ;0 ;4,83 ;6,86 ;13,6 ;0 ;3,13 ;38,5 ;0 ;0 ;25 ;13,9;180,5;
1310 ;0:02,80 ;9398 ;19 ;56;31;51;0,528 ;9,1 ;9,4 ;9,3 ;9,4 ;0 ;4,81 ;6,89 ;13,6 ;-1 ;3,25 ;39,0 ;0 ;0 ;25 ;14,0;159,0;
1310 ;0:02,90 ;9010 ;19 ;56;31;52;0,526 ;10,6 ;10,8 ;10,9 ;11,0 ;0 ;4,84 ;6,74 ;13,5 ;0 ;3,20 ;39,1 ;0 ;0 ;24 ;13,7;134,3;
1310 ;0:03,00 ;8668 ;19 ;56;31;53;0,524 ;11,9 ;12,6 ;12,4 ;12,6 ;0 ;4,80 ;6,69 ;13,6 ;0 ;3,12 ;38,9 ;0 ;0 ;22 ;12,8;111,3;
1310 ;0:03,10 ;8300 ;21 ;56;31;56;0,521 ;13,6 ;14,3 ;14,6 ;14,6 ;0 ;4,92 ;6,70 ;13,5 ;2 ;2,92 ;39,3 ;0 ;0 ;20 ;11,8;90,0;
1310 ;0:03,20 ;7064 ;21 ;56;31;65;0,518 ;15,2 ;17,2 ;17,3 ;17,1 ;0 ;4,85 ;6,45 ;13,4 ;0 ;3,05 ;39,6 ;0 ;0 ;18 ;9,0;60,8;
1310 ;0:03,30 ;4552 ;21 ;56;31;79;0,520 ;17,5 ;21,0 ;27,2 ;28,4 ;0 ;4,85 ;5,98 ;13,7 ;33 ;3,24 ;32,7 ;0 ;0 ;12 ;8,5;50,0;
1310 ;0:03,40 ;3470 ;31 ;56;31;88;0,527 ;19,7 ;23,0 ;20,2 ;22,5 ;0 ;4,92 ;4,37 ;13,8 ;-4 ;3,67 ;24,2 ;0 ;0 ;10 ;5,7;29,6;
1310 ;0:03,50 ;4267 ;37 ;57;31;91;0,534 ;20,3 ;22,8 ;19,8 ;22,5 ;0 ;4,85 ;4,86 ;13,7 ;-3 ;6,35 ;32,2 ;0 ;0 ;21 ;11,5;56,9;
1310 ;0:03,60 ;4297 ;40 ;57;31;91;0,536 ;21,8 ;24,2 ;23,3 ;24,5 ;0 ;4,90 ;5,59 ;13,5 ;0 ;6,12 ;33,0 ;0 ;0 ;22 ;12,5;59,2;
1310 ;0:03,70 ;4523 ;40 ;57;31;91;0,537 ;23,3 ;26,2 ;27,4 ;26,0 ;0 ;4,90 ;5,77 ;13,7 ;3 ;5,86 ;35,9 ;0 ;0 ;22 ;12,1;52,6;
1310 ;0:03,80 ;5114 ;40 ;57;31;91;0,540 ;24,4 ;27,4 ;29,6 ;27,5 ;0 ;4,91 ;6,17 ;13,8 ;6 ;5,74 ;42,5 ;0 ;0 ;24 ;12,7;52,2;
1310 ;0:03,90 ;5524 ;40 ;57;31;90;0,541 ;25,9 ;30,2 ;27,8 ;30,4 ;0 ;4,89 ;6,25 ;13,7 ;-1 ;6,31 ;41,2 ;0 ;0 ;29 ;15,8;62,4;
1310 ;0:04,00 ;5772 ;40 ;57;31;89;0,539 ;27,5 ;32,3 ;36,2 ;32,8 ;0 ;4,87 ;6,25 ;13,7 ;9 ;6,45 ;40,2 ;0 ;0 ;30 ;16,5;60,6;
1310 ;0:04,10 ;6212 ;40 ;57;31;89;0,541 ;29,4 ;34,9 ;32,4 ;36,0 ;0 ;4,82 ;6,32 ;13,6 ;0 ;6,29 ;41,5 ;0 ;0 ;33 ;18,4;64,1;
1310 ;0:04,20 ;6438 ;40 ;57;31;89;0,545 ;32,1 ;34,2 ;36,1 ;35,6 ;0 ;4,83 ;6,36 ;13,5 ;5 ;4,55 ;43,8 ;0 ;0 ;24 ;13,5;43,6;
1310 ;0:04,30 ;6585 ;40 ;57;31;89;0,546 ;35,8 ;35,9 ;38,9 ;37,8 ;0 ;4,80 ;6,43 ;13,6 ;7 ;4,44 ;45,2 ;0 ;0 ;24 ;13,5;39,4;
1310 ;0:04,40 ;6975 ;40 ;57;31;89;0,551 ;37,9 ;37,8 ;38,9 ;39,1 ;0 ;4,89 ;6,49 ;13,6 ;2 ;4,17 ;49,0 ;0 ;0 ;24 ;13,5;36,3;
1310 ;0:04,50 ;7298 ;39 ;57;31;88;0,556 ;40,7 ;39,2 ;41,7 ;41,2 ;0 ;4,90 ;6,50 ;13,6 ;2 ;4,41 ;44,9 ;0 ;0 ;27 ;14,5;36,8;
1310 ;0:04,60 ;7812 ;39 ;57;31;87;0,557 ;41,9 ;39,9 ;43,8 ;44,3 ;0 ;4,89 ;6,56 ;13,5 ;5 ;4,87 ;38,1 ;0 ;0 ;32 ;16,8;39,9;
1310 ;0:04,70 ;8495 ;40 ;57;31;83;0,556 ;44,9 ;42,3 ;48,7 ;50,2 ;0 ;4,90 ;6,65 ;13,4 ;11 ;5,13 ;42,7 ;0 ;0 ;36 ;19,5;43,6;
1310 ;0:04,80 ;9305 ;39 ;57;31;80;0,558 ;47,4 ;43,3 ;52,6 ;52,3 ;0 ;4,91 ;6,65 ;13,5 ;10 ;4,90 ;40,0 ;0 ;0 ;38 ;21,3;45,3;
1310 ;0:04,90 ;9760 ;34 ;57;31;77;0,562 ;48,8 ;45,6 ;55,4 ;56,0 ;0 ;4,84 ;6,78 ;13,5 ;14 ;4,78 ;40,4 ;0 ;0 ;39 ;21,8;45,3;
1310 ;0:05,00 ;10324 ;8 ;57;31;61;0,568 ;52,2 ;48,0 ;58,8 ;58,5 ;0 ;4,80 ;6,86 ;13,5 ;12 ;4,05 ;43,5 ;0 ;0 ;35 ;19,4;37,5;
1310 ;0:05,10 ;8581 ;6 ;57;31;40;0,569 ;51,1 ;50,4 ;50,8 ;50,3 ;0 ;4,88 ;6,58 ;13,7 ;0 ;2,75 ;32,6 ;0 ;0 ;20 ;11,6;22,3;
1310 ;0:05,20 ;7793 ;6 ;57;30;35;0,573 ;49,9 ;50,1 ;48,8 ;48,4 ;0 ;4,85 ;6,56 ;13,7 ;-2 ;2,09 ;29,8 ;0 ;0 ;13 ;7,7;15,2;
1310 ;0:05,30 ;7955 ;6 ;58;30;33;0,581 ;49,6 ;47,3 ;45,2 ;46,0 ;0 ;4,94 ;6,61 ;13,6 ;-7 ;1,99 ;29,2 ;0 ;0 ;13 ;7,4;14,8;
1310 ;0:05,40 ;8033 ;9 ;58;30;32;0,588 ;48,5 ;45,9 ;44,7 ;44,9 ;0 ;4,87 ;6,60 ;13,7 ;-7 ;1,97 ;29,0 ;0 ;0 ;13 ;7,2;14,8;
1310 ;0:05,50 ;8109 ;13 ;58;30;37;0,596 ;47,4 ;44,7 ;45,9 ;44,5 ;0 ;4,95 ;6,58 ;13,6 ;-3 ;2,29 ;30,6 ;0 ;0 ;15 ;8,0;16,8;
1310 ;0:05,60 ;8212 ;17 ;58;30;44;0,604 ;45,8 ;44,2 ;45,8 ;44,2 ;0 ;4,84 ;6,67 ;13,6 ;0 ;2,54 ;34,7 ;0 ;0 ;17 ;9,2;20,1;
1310 ;0:05,70 ;9014 ;31 ;58;30;57;0,609 ;45,2 ;44,3 ;46,5 ;45,0 ;0 ;4,82 ;6,72 ;13,4 ;2 ;3,34 ;39,9 ;0 ;0 ;25 ;12,6;27,4;
1310 ;0:05,80 ;8216 ;7 ;58;30;60;0,609 ;46,8 ;46,4 ;48,0 ;46,8 ;0 ;4,88 ;6,60 ;13,6 ;1 ;3,04 ;40,2 ;0 ;0 ;21 ;15,1;31,9;
