"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
17063,0,,,249,253,238,234,,-0.07,0.18,3.02,-0,-10,-9,0.2,,67,4630,6,36,54,0.639,0.0,562,4.85,13.2,0.0,1,27.1,1.53,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17083,0,,,249,253,238,234,,-0.03,0.14,2.79,-0,-8,-8,0.15,,67,4718,6,36,54,0.64,0.0,567,4.85,13.1,0.0,1,27.9,2.69,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17103,0,,,249,253,239,234,,-0.02,0.11,2.57,-0,-7,-6,0.11,,67,4636,6,36,54,0.639,0.0,571,4.85,13.0,0.0,1,27.2,1.53,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17123,0,,,249,253,239,234,,-0.05,0.12,2.5,-0,-6,-5,0.13,,67,4742,6,36,54,0.64,0.0,563,4.87,13.0,0.0,1,28.5,2.71,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17143,0,-1,2,249,253,239,234,-1,-0.09,0.13,2.61,-0,-6,-5,0.16,1,67,4653,6,36,53,0.64,0.0,576,4.91,13.1,0.0,1,27.1,2.64,5.5,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.2857
17163,0,,,249,253,238,234,,-0.11,0.15,2.72,-0,-6,-6,0.18,,67,4604,6,36,53,0.641,0.0,573,4.9,13.2,0.0,1,26.5,2.6,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17183,0,,,249,253,238,234,,-0.13,0.15,2.82,-0,-6,-6,0.2,,67,4594,6,36,53,0.641,0.0,562,4.88,13.2,0.0,1,26.4,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17203,0,,,249,253,238,234,,-0.12,0.15,2.91,-0,-7,-7,0.2,,67,4554,6,36,53,0.641,0.0,567,4.86,13.2,0.0,1,25.9,2.56,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17223,0,,,249,253,238,234,,-0.1,0.15,2.99,-0,-8,-7,0.18,,67,4563,6,36,54,0.642,0.0,555,4.9,13.3,0.0,1,26.3,2.57,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
17243,0,0,2,249,253,238,234,-2,-0.07,0.17,3.02,-0,-9,-7,0.18,1,67,4558,6,36,54,0.642,0.0,564,4.9,13.2,0.0,1,26.2,2.57,5.5,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.2874
