SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1498 ;0:00,10 ;0 ;4 ;71;33;99;0,560 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,34 ;1,18 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1498 ;0:00,20 ;0 ;4 ;71;33;98;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,33 ;1,18 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1498 ;0:00,30 ;0 ;4 ;71;33;99;0,563 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,31 ;1,18 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1498 ;0:00,40 ;127 ;5 ;71;33;98;0,557 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,21 ;12,0 ;-1 ;4,61 ;12,2 ;0 ;0,0;0,0;
1498 ;0:00,50 ;1503 ;21 ;72;33;97;0,548 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,23 ;11,6 ;-1 ;8,04 ;32,6 ;0 ;0,9;0,0;
1498 ;0:00,60 ;868 ;45 ;72;33;98;0,531 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,24 ;11,7 ;-1 ;8,04 ;30,0 ;0 ;4,5;0,0;
1498 ;0:00,70 ;2268 ;45 ;71;33;99;0,522 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,59 ;12,6 ;-1 ;6,71 ;34,0 ;0 ;4,8;0,0;
1498 ;0:00,80 ;4760 ;46 ;71;33;98;0,542 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,78 ;12,6 ;-1 ;7,43 ;41,2 ;0 ;12,7;0,0;
1498 ;0:00,90 ;7828 ;23 ;71;33;90;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,47 ;12,4 ;-1 ;7,14 ;38,5 ;0 ;26,0;0,0;
1498 ;0:01,00 ;10557 ;4 ;71;33;50;0,586 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;7,00 ;12,7 ;-1 ;3,08 ;38,8 ;0 ;22,4;0,0;
1498 ;0:01,10 ;9450 ;4 ;71;33;37;0,605 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,87 ;12,9 ;-1 ;2,69 ;31,4 ;0 ;12,5;0,0;
1498 ;0:01,20 ;8351 ;4 ;71;33;34;0,625 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,71 ;13,0 ;-1 ;2,37 ;30,2 ;0 ;10,8;0,0;
1498 ;0:01,30 ;7321 ;4 ;71;32;35;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,48 ;12,8 ;-1 ;2,09 ;29,8 ;0 ;7,5;0,0;
1498 ;0:01,40 ;6461 ;4 ;71;32;38;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,96 ;6,38 ;13,0 ;-1 ;2,23 ;30,0 ;0 ;6,9;0,0;
1498 ;0:01,50 ;5535 ;5 ;71;32;43;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;5,97 ;13,1 ;-1 ;2,50 ;29,5 ;0 ;6,5;0,0;
1498 ;0:01,60 ;4980 ;11 ;71;32;52;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,38 ;12,8 ;-1 ;2,85 ;30,8 ;0 ;6,4;0,0;
1498 ;0:01,70 ;5430 ;22 ;71;32;76;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,55 ;13,0 ;-1 ;4,29 ;37,8 ;0 ;6,5;0,0;
1498 ;0:01,80 ;6848 ;17 ;72;32;82;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,38 ;13,1 ;-1 ;4,26 ;44,0 ;0 ;12,2;0,0;
1498 ;0:01,90 ;9101 ;4 ;72;32;52;0,633 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,80 ;12,8 ;-1 ;3,16 ;39,2 ;0 ;14,7;0,0;
1498 ;0:02,00 ;9356 ;4 ;72;32;35;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;6,88 ;12,8 ;-1 ;2,62 ;30,8 ;0 ;12,8;0,0;
1498 ;0:02,10 ;8252 ;4 ;72;32;33;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,75 ;13,0 ;-1 ;2,22 ;29,7 ;0 ;10,4;0,0;
1498 ;0:02,20 ;7219 ;4 ;72;32;35;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,48 ;12,8 ;-1 ;2,09 ;29,8 ;0 ;7,4;0,0;
1498 ;0:02,30 ;6379 ;5 ;72;32;38;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,32 ;13,1 ;-1 ;2,23 ;29,9 ;0 ;6,9;0,0;
1498 ;0:02,40 ;5433 ;5 ;72;32;43;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,85 ;12,8 ;-1 ;2,54 ;29,3 ;0 ;6,3;0,0;
1498 ;0:02,50 ;4912 ;5 ;72;32;47;0,647 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;5,26 ;13,1 ;-1 ;2,74 ;28,5 ;0 ;6,4;0,0;
1498 ;0:02,60 ;4617 ;4 ;72;32;49;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;4,93 ;13,0 ;-1 ;2,60 ;25,5 ;0 ;5,8;0,0;
1498 ;0:02,70 ;4560 ;4 ;71;32;52;0,646 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;4,80 ;13,2 ;-1 ;2,58 ;25,7 ;0 ;5,5;0,0;
1498 ;0:02,80 ;4649 ;5 ;71;32;54;0,646 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;4,77 ;13,2 ;-1 ;2,65 ;27,4 ;0 ;5,4;0,0;
1498 ;0:02,90 ;4797 ;4 ;71;32;55;0,646 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;4,99 ;13,2 ;-1 ;2,76 ;29,5 ;0 ;5,8;0,0;
1498 ;0:03,00 ;4821 ;4 ;71;32;56;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;5,11 ;13,2 ;-1 ;2,77 ;30,1 ;0 ;6,1;0,0;
1498 ;0:03,10 ;4919 ;4 ;71;32;57;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;5,20 ;13,1 ;-1 ;2,82 ;31,6 ;0 ;6,3;0,0;
1498 ;0:03,20 ;5074 ;4 ;71;32;58;0,643 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;5,33 ;13,1 ;-1 ;2,81 ;33,0 ;0 ;6,4;0,0;
1498 ;0:03,30 ;5238 ;4 ;71;32;57;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,97 ;5,58 ;13,2 ;-1 ;2,72 ;32,8 ;0 ;6,6;0,0;
