SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1504 ;0:00,10 ;5763 ;4 ;86;32;43;0,920 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;5,13 ;13,1 ;-1 ;2,40 ;30,0 ;0 ;6,7;0,0;
1504 ;0:00,20 ;5195 ;4 ;86;32;49;0,924 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;4,58 ;13,1 ;-1 ;2,72 ;30,4 ;0 ;6,4;0,0;
1504 ;0:00,30 ;4750 ;4 ;86;32;53;0,948 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;4,10 ;12,9 ;-1 ;2,71 ;28,3 ;0 ;6,5;0,0;
1504 ;0:00,40 ;4471 ;4 ;86;32;56;0,999 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;3,88 ;13,1 ;-1 ;2,55 ;25,6 ;0 ;5,8;0,0;
1504 ;0:00,50 ;4574 ;4 ;86;32;59;1,045 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;3,84 ;13,2 ;-1 ;2,63 ;27,8 ;0 ;5,3;0,0;
1504 ;0:00,60 ;4760 ;4 ;86;32;59;1,041 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;4,00 ;13,1 ;-1 ;2,73 ;30,2 ;0 ;5,7;0,0;
1504 ;0:00,70 ;4834 ;4 ;87;32;60;0,993 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;4,06 ;12,9 ;-1 ;2,75 ;31,5 ;0 ;6,0;0,0;
1504 ;0:00,80 ;4943 ;4 ;87;32;62;0,962 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;4,18 ;13,1 ;-1 ;2,83 ;33,5 ;0 ;6,1;0,0;
1504 ;0:00,90 ;5063 ;4 ;87;32;62;0,953 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;4,32 ;13,1 ;-1 ;2,83 ;34,3 ;0 ;6,5;0,0;
1504 ;0:01,00 ;5414 ;4 ;87;32;62;0,946 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;4,48 ;13,1 ;-1 ;2,65 ;34,2 ;0 ;6,7;0,0;
1504 ;0:01,10 ;5613 ;4 ;87;33;61;0,943 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;4,80 ;12,9 ;-1 ;2,43 ;34,0 ;0 ;6,6;0,0;
1504 ;0:01,20 ;5886 ;4 ;87;33;59;0,954 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,08 ;12,8 ;-1 ;2,28 ;33,5 ;0 ;6,3;0,0;
1504 ;0:01,30 ;6200 ;4 ;87;33;56;0,962 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;5,33 ;13,1 ;-1 ;2,24 ;33,6 ;0 ;6,1;0,0;
