SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1565 ;0:00,10 ;0 ;4 ;75;38;99;0,550 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,07 ;1,18 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1565 ;0:00,20 ;0 ;4 ;75;38;99;0,547 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,07 ;1,18 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1565 ;0:00,30 ;0 ;4 ;75;38;99;0,545 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,07 ;1,18 ;12,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1565 ;0:00,40 ;0 ;4 ;75;38;99;0,546 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,07 ;1,20 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1565 ;0:00,50 ;125 ;4 ;75;38;99;0,547 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;1,24 ;12,0 ;-1 ;4,47 ;12,4 ;0 ;0,0;0,0;
1565 ;0:00,60 ;464 ;4 ;75;38;99;0,547 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;1,23 ;11,8 ;-1 ;4,47 ;12,4 ;0 ;0,9;0,0;
1565 ;0:00,70 ;469 ;4 ;75;38;99;0,551 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;1,26 ;11,9 ;-1 ;4,47 ;14,7 ;0 ;0,9;0,0;
1565 ;0:00,80 ;460 ;4 ;75;38;99;0,561 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,26 ;11,9 ;-1 ;4,47 ;14,7 ;0 ;0,9;0,0;
1565 ;0:00,90 ;465 ;4 ;75;38;98;0,571 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,23 ;11,5 ;-1 ;4,47 ;17,1 ;0 ;0,9;0,0;
1565 ;0:01,00 ;708 ;4 ;75;38;98;0,575 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,28 ;11,8 ;-1 ;4,47 ;17,1 ;0 ;0,9;0,0;
1565 ;0:01,10 ;899 ;4 ;76;38;97;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,28 ;11,6 ;-1 ;4,07 ;17,4 ;0 ;2,2;0,0;
