SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1575 ;0:00,10 ;5664 ;4 ;64;34;58;0,698 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;6,23 ;13,2 ;-1 ;2,43 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,20 ;5702 ;4 ;64;34;58;0,699 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,21 ;13,2 ;-1 ;2,41 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,30 ;5742 ;4 ;64;34;58;0,699 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;6,31 ;13,2 ;-1 ;2,38 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,40 ;5748 ;4 ;64;34;58;0,699 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;6,27 ;13,2 ;-1 ;2,38 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,50 ;5721 ;4 ;64;34;58;0,700 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;6,25 ;13,2 ;-1 ;2,39 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,60 ;5693 ;4 ;64;34;58;0,698 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;6,18 ;13,1 ;-1 ;2,41 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,70 ;5699 ;4 ;64;34;58;0,698 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;6,22 ;13,1 ;-1 ;2,41 ;33,2 ;0 ;6,3;0,0;
1575 ;0:00,80 ;5776 ;4 ;64;35;58;0,703 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,27 ;13,1 ;-1 ;2,35 ;33,3 ;0 ;6,3;0,0;
1575 ;0:00,90 ;5778 ;5 ;64;35;58;0,707 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,32 ;12,9 ;-1 ;2,35 ;33,3 ;0 ;6,2;0,0;
1575 ;0:01,00 ;5723 ;5 ;64;35;58;0,707 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,32 ;13,2 ;-1 ;2,38 ;33,2 ;0 ;6,3;0,0;
