SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

30 ;0:00,10 ;0 ;29 ;60;33;100;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,10 ;1,15 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
30 ;0:00,20 ;0 ;29 ;60;33;99;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,10 ;1,16 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
30 ;0:00,30 ;0 ;29 ;60;33;100;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,10 ;1,15 ;12,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
30 ;0:00,40 ;137 ;35 ;60;33;100;0,648 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,15 ;1,16 ;11,6 ;-1 ;4,61 ;30,0 ;0 ;0,0;0,0;
30 ;0:00,50 ;737 ;73 ;60;33;100;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,18 ;12,0 ;-1 ;8,08 ;30,0 ;0 ;1,6;0,0;
30 ;0:00,60 ;1128 ;56 ;61;33;97;0,602 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,21 ;11,2 ;-1 ;7,96 ;29,6 ;0 ;4,8;0,0;
30 ;0:00,70 ;1732 ;63 ;61;33;99;0,565 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,47 ;12,1 ;-1 ;6,86 ;34,0 ;0 ;5,8;0,0;
30 ;0:00,80 ;3594 ;56 ;60;33;99;0,572 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;2,23 ;12,6 ;-1 ;8,79 ;31,9 ;0 ;11,1;0,0;
30 ;0:00,90 ;6079 ;4 ;60;33;83;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,28 ;13,0 ;-1 ;7,51 ;38,8 ;0 ;20,6;0,0;
30 ;0:01,00 ;6196 ;5 ;60;33;64;0,627 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,51 ;13,0 ;-1 ;3,30 ;35,5 ;0 ;11,8;0,0;
30 ;0:01,10 ;6618 ;5 ;60;32;55;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;6,57 ;13,1 ;-1 ;2,26 ;34,8 ;0 ;6,7;0,0;
30 ;0:01,20 ;6980 ;5 ;60;32;49;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,61 ;12,8 ;-1 ;2,23 ;34,0 ;0 ;7,1;0,0;
30 ;0:01,30 ;7200 ;12 ;61;32;49;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,65 ;12,8 ;-1 ;2,47 ;34,6 ;0 ;7,4;0,0;
30 ;0:01,40 ;7461 ;7 ;60;32;55;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,73 ;13,0 ;-1 ;2,52 ;36,6 ;0 ;8,9;0,0;
30 ;0:01,50 ;7864 ;5 ;61;32;44;0,623 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,76 ;12,9 ;-1 ;2,32 ;34,1 ;0 ;8,3;0,0;
30 ;0:01,60 ;8029 ;5 ;61;32;36;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;6,77 ;13,0 ;-1 ;2,16 ;30,1 ;0 ;8,3;0,0;
30 ;0:01,70 ;7643 ;5 ;61;32;33;0,620 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,69 ;12,8 ;-1 ;1,99 ;29,2 ;0 ;7,1;0,0;
30 ;0:01,80 ;6768 ;5 ;61;31;35;0,622 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,53 ;12,8 ;-1 ;2,09 ;29,6 ;0 ;6,7;0,0;
