SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1510 ;0:00,10 ;0 ;4 ;69;32;99;0,686 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,15 ;1,18 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1510 ;0:00,20 ;0 ;4 ;69;32;99;0,687 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,15 ;1,18 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1510 ;0:00,30 ;0 ;4 ;69;32;98;0,688 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,15 ;1,21 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1510 ;0:00,40 ;0 ;4 ;69;32;99;0,687 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,13 ;1,24 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1510 ;0:00,50 ;465 ;4 ;69;32;99;0,681 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,26 ;11,7 ;-1 ;4,61 ;12,1 ;0 ;0,0;0,0;
1510 ;0:00,60 ;472 ;10 ;69;32;98;0,674 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,26 ;11,8 ;-1 ;8,08 ;12,1 ;0 ;0,9;0,0;
1510 ;0:00,70 ;476 ;48 ;69;33;99;0,663 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,26 ;11,7 ;-1 ;8,08 ;30,0 ;0 ;1,8;0,0;
1510 ;0:00,80 ;473 ;55 ;69;33;99;0,657 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,26 ;11,5 ;-1 ;8,08 ;30,0 ;0 ;1,7;0,0;
1510 ;0:00,90 ;476 ;18 ;69;33;99;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,26 ;11,8 ;-1 ;7,96 ;30,0 ;0 ;1,7;0,0;
1510 ;0:01,00 ;501 ;4 ;69;33;98;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,26 ;11,7 ;-1 ;7,86 ;14,5 ;0 ;1,7;0,0;
1510 ;0:01,10 ;468 ;40 ;69;33;99;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,29 ;11,8 ;-1 ;6,86 ;30,0 ;0 ;1,8;0,0;
1510 ;0:01,20 ;533 ;55 ;69;33;99;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,29 ;11,8 ;-1 ;6,86 ;30,0 ;0 ;1,5;0,0;
1510 ;0:01,30 ;538 ;4 ;69;33;99;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,28 ;11,7 ;-1 ;6,76 ;16,3 ;0 ;1,6;0,0;
1510 ;0:01,40 ;756 ;32 ;69;33;98;0,647 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,36 ;11,9 ;-1 ;5,81 ;30,0 ;0 ;1,6;0,0;
1510 ;0:01,50 ;556 ;71 ;69;33;99;0,647 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,32 ;12,1 ;-1 ;6,04 ;30,0 ;0 ;2,1;0,0;
1510 ;0:01,60 ;1199 ;4 ;69;33;97;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,42 ;11,5 ;-1 ;3,56 ;16,3 ;0 ;1,5;0,0;
1510 ;0:01,70 ;819 ;3 ;70;33;96;0,590 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,24 ;10,9 ;-1 ;3,59 ;16,3 ;0 ;1,9;0,0;
1510 ;0:01,80 ;1036 ;4 ;69;33;97;0,554 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,41 ;11,6 ;-1 ;3,59 ;17,3 ;0 ;0,9;0,0;
