SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1448 ;0:00,10 ;0 ;4 ;46;25;99;0,625 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,15 ;1,13 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1448 ;0:00,20 ;0 ;4 ;46;25;98;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,15 ;1,13 ;12,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1448 ;0:00,30 ;0 ;4 ;46;25;99;0,617 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,12 ;1,14 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1448 ;0:00,40 ;137 ;25 ;46;25;99;0,613 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,08 ;1,12 ;11,7 ;-1 ;12,10 ;30,0 ;0 ;0,0;0,0;
1448 ;0:00,50 ;457 ;52 ;46;25;99;0,609 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,16 ;11,8 ;-1 ;12,10 ;30,0 ;0 ;2,5;0,0;
1448 ;0:00,60 ;462 ;21 ;46;25;99;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,15 ;11,7 ;-1 ;11,91 ;30,0 ;0 ;2,5;0,0;
1448 ;0:00,70 ;477 ;4 ;46;25;99;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,16 ;11,9 ;-1 ;11,76 ;5,3 ;0 ;2,6;0,0;
1448 ;0:00,80 ;1707 ;59 ;46;25;98;0,601 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,18 ;11,5 ;-1 ;12,10 ;34,0 ;0 ;9,5;0,0;
1448 ;0:00,90 ;1791 ;63 ;46;25;98;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,39 ;11,7 ;-1 ;10,51 ;34,0 ;0 ;6,3;0,0;
1448 ;0:01,00 ;3990 ;4 ;46;25;90;0,550 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;2,48 ;12,4 ;-1 ;5,78 ;5,0 ;0 ;11,0;0,0;
1448 ;0:01,10 ;4646 ;15 ;46;25;80;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,57 ;13,1 ;-1 ;7,97 ;34,4 ;0 ;9,4;0,0;
1448 ;0:01,20 ;6967 ;30 ;46;25;91;0,600 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,67 ;12,9 ;-1 ;10,08 ;49,1 ;0 ;33,0;0,0;
1448 ;0:01,30 ;8029 ;4 ;46;25;61;0,594 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,90 ;12,9 ;-1 ;3,08 ;38,1 ;0 ;14,0;0,0;
1448 ;0:01,40 ;6934 ;4 ;46;25;48;0,592 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,70 ;12,8 ;-1 ;2,63 ;33,5 ;0 ;8,6;0,0;
1448 ;0:01,50 ;6036 ;4 ;46;25;47;0,601 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,51 ;13,0 ;-1 ;2,63 ;31,2 ;0 ;7,4;0,0;
1448 ;0:01,60 ;5018 ;4 ;46;25;50;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,33 ;12,9 ;-1 ;3,21 ;30,5 ;0 ;7,4;0,0;
1448 ;0:01,70 ;4480 ;4 ;46;24;53;0,612 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;6,21 ;13,1 ;-1 ;2,85 ;25,0 ;0 ;5,9;0,0;
1448 ;0:01,80 ;4370 ;20 ;46;24;64;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,07 ;12,8 ;-1 ;3,07 ;26,4 ;0 ;5,7;0,0;
1448 ;0:01,90 ;5296 ;25 ;46;24;87;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,35 ;12,9 ;-1 ;7,89 ;41,0 ;0 ;17,9;0,0;
1448 ;0:02,00 ;6843 ;4 ;46;24;69;0,603 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,68 ;12,8 ;-1 ;3,93 ;40,0 ;0 ;12,9;0,0;
1448 ;0:02,10 ;8050 ;4 ;46;24;48;0,601 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,89 ;13,0 ;-1 ;2,72 ;36,6 ;0 ;9,9;0,0;
1448 ;0:02,20 ;7700 ;4 ;46;24;37;0,604 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,83 ;12,9 ;-1 ;2,43 ;30,4 ;0 ;9,0;0,0;
1448 ;0:02,30 ;6434 ;4 ;46;24;40;0,614 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,59 ;12,8 ;-1 ;2,56 ;30,5 ;0 ;7,8;0,0;
1448 ;0:02,40 ;5325 ;4 ;46;24;45;0,625 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,42 ;13,0 ;-1 ;2,95 ;29,6 ;0 ;7,2;0,0;
1448 ;0:02,50 ;4619 ;4 ;46;24;48;0,632 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,25 ;13,2 ;-1 ;2,91 ;25,2 ;0 ;6,3;0,0;
1448 ;0:02,60 ;4165 ;5 ;46;24;51;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,00 ;13,1 ;-1 ;2,57 ;20,5 ;0 ;4,9;0,0;
1448 ;0:02,70 ;3968 ;6 ;46;24;55;0,619 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,74 ;13,1 ;-1 ;2,44 ;0,0 ;0 ;4,4;0,0;
1448 ;0:02,80 ;3557 ;19 ;46;24;72;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,29 ;12,8 ;-1 ;4,87 ;19,2 ;0 ;5,0;0,0;
1448 ;0:02,90 ;4168 ;19 ;46;24;88;0,619 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,91 ;13,2 ;-1 ;6,67 ;29,4 ;1 ;13,0;0,0;
