SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1557 ;0:00,10 ;0 ;4 ;32;47;99;0,689 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,07 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1557 ;0:00,20 ;0 ;4 ;32;47;99;0,695 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,07 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1557 ;0:00,30 ;0 ;4 ;32;47;99;0,700 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,10 ;12,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1557 ;0:00,40 ;132 ;4 ;32;47;99;0,696 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,42 ;1,10 ;11,7 ;-1 ;8,91 ;20,0 ;0 ;0,0;0,0;
1557 ;0:00,50 ;467 ;14 ;32;47;99;0,698 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,10 ;12,0 ;-1 ;16,67 ;30,0 ;0 ;3,6;0,0;
1557 ;0:00,60 ;472 ;15 ;32;47;99;0,693 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,10 ;11,8 ;-1 ;16,43 ;30,0 ;0 ;3,5;0,0;
1557 ;0:00,70 ;481 ;15 ;32;47;99;0,686 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,08 ;11,5 ;-1 ;16,19 ;30,0 ;0 ;3,4;0,0;
1557 ;0:00,80 ;444 ;15 ;32;47;99;0,682 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,10 ;12,0 ;-1 ;15,95 ;30,0 ;0 ;3,3;0,0;
1557 ;0:00,90 ;1422 ;23 ;32;47;96;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,05 ;10,9 ;-1 ;15,47 ;30,5 ;0 ;11,3;0,0;
1557 ;0:01,00 ;1326 ;27 ;32;47;97;0,581 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;1,12 ;11,0 ;-1 ;12,61 ;31,2 ;0 ;6,1;0,0;
1557 ;0:01,10 ;2798 ;4 ;32;47;91;0,557 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,87 ;12,1 ;-1 ;11,21 ;20,0 ;0 ;12,0;0,0;
1557 ;0:01,20 ;3381 ;4 ;32;47;85;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;4,12 ;13,0 ;-1 ;8,88 ;20,0 ;0 ;14,1;0,0;
1557 ;0:01,30 ;3319 ;4 ;32;47;83;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,72 ;13,0 ;-1 ;7,23 ;20,0 ;0 ;12,0;0,0;
1557 ;0:01,40 ;3437 ;4 ;32;47;82;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;5,99 ;12,9 ;-1 ;6,45 ;20,0 ;0 ;10,1;0,0;
1557 ;0:01,50 ;3538 ;4 ;32;47;82;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,03 ;12,7 ;-1 ;5,87 ;20,0 ;0 ;8,9;0,0;
1557 ;0:01,60 ;3465 ;4 ;32;47;81;0,656 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,04 ;12,9 ;-1 ;4,97 ;20,0 ;0 ;8,1;0,0;
1557 ;0:01,70 ;3534 ;4 ;32;47;80;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,05 ;12,9 ;-1 ;4,85 ;0,0 ;0 ;8,3;0,0;
1557 ;0:01,80 ;3182 ;4 ;32;47;80;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;5,87 ;12,8 ;-1 ;4,58 ;-0,3 ;0 ;7,2;0,0;
1557 ;0:01,90 ;2959 ;4 ;32;46;81;0,662 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;5,44 ;13,1 ;-1 ;4,42 ;-0,3 ;0 ;6,3;0,0;
1557 ;0:02,00 ;2779 ;4 ;32;46;82;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;4,84 ;13,1 ;-1 ;4,16 ;-0,4 ;0 ;5,4;0,0;
1557 ;0:02,10 ;2654 ;4 ;32;46;83;0,656 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;4,60 ;13,1 ;-1 ;4,00 ;-0,4 ;0 ;5,0;0,0;
1557 ;0:02,20 ;2524 ;4 ;32;46;83;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;4,35 ;13,1 ;-1 ;3,86 ;-0,4 ;0 ;4,6;0,0;
1557 ;0:02,30 ;2364 ;4 ;32;46;86;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;4,08 ;13,1 ;-1 ;3,95 ;-0,4 ;0 ;4,4;0,0;
1557 ;0:02,40 ;2241 ;4 ;32;46;87;0,655 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;3,91 ;12,7 ;-1 ;3,98 ;-0,4 ;0 ;4,2;0,0;
1557 ;0:02,50 ;2050 ;4 ;32;46;90;0,660 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;3,57 ;13,0 ;-1 ;4,09 ;-0,4 ;0 ;3,8;0,0;
1557 ;0:02,60 ;1845 ;20 ;32;46;95;0,663 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;3,23 ;13,1 ;-1 ;4,09 ;29,8 ;0 ;3,5;0,0;
1557 ;0:02,70 ;2461 ;43 ;32;46;99;0,663 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;3,37 ;13,0 ;-1 ;7,03 ;34,0 ;0 ;5,7;0,0;
1557 ;0:02,80 ;3950 ;32 ;32;46;98;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,00 ;12,9 ;-1 ;9,65 ;35,4 ;0 ;14,3;0,0;
1557 ;0:02,90 ;5739 ;4 ;32;46;80;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,47 ;13,0 ;-1 ;7,82 ;38,2 ;0 ;18,5;0,0;
1557 ;0:03,00 ;5634 ;4 ;32;46;68;0,655 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,46 ;12,9 ;-1 ;5,08 ;35,8 ;0 ;15,1;0,0;
1557 ;0:03,10 ;5161 ;4 ;32;46;64;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,32 ;13,0 ;-1 ;3,68 ;34,9 ;0 ;9,4;0,0;
1557 ;0:03,20 ;4922 ;4 ;32;46;64;0,655 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;6,35 ;13,1 ;-1 ;3,71 ;33,8 ;0 ;8,2;0,0;
1557 ;0:03,30 ;4737 ;4 ;32;46;62;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,32 ;13,1 ;-1 ;3,46 ;30,7 ;0 ;7,4;0,0;
1557 ;0:03,40 ;4676 ;4 ;32;46;62;0,662 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;6,26 ;13,1 ;-1 ;3,43 ;29,9 ;0 ;7,0;0,0;
1557 ;0:03,50 ;4520 ;4 ;32;45;63;0,663 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,22 ;13,0 ;-1 ;3,41 ;28,2 ;0 ;6,7;0,0;
1557 ;0:03,60 ;4260 ;4 ;32;45;63;0,664 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,23 ;12,9 ;-1 ;3,26 ;24,7 ;0 ;6,3;0,0;
1557 ;0:03,70 ;4083 ;4 ;32;45;64;0,664 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,17 ;12,8 ;-1 ;3,15 ;22,6 ;0 ;6,2;0,0;
1557 ;0:03,80 ;4042 ;4 ;32;45;65;0,666 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;6,14 ;13,1 ;-1 ;3,10 ;22,3 ;0 ;5,8;0,0;
1557 ;0:03,90 ;3485 ;4 ;32;45;69;0,667 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,07 ;12,9 ;-1 ;3,20 ;0,0 ;0 ;5,5;0,0;
1557 ;0:04,00 ;2895 ;4 ;31;45;74;0,667 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;5,42 ;13,1 ;-1 ;3,25 ;-0,3 ;0 ;4,6;0,0;
1557 ;0:04,10 ;2553 ;4 ;31;45;79;0,669 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;4,49 ;13,1 ;-1 ;3,33 ;-0,3 ;0 ;3,9;0,0;
1557 ;0:04,20 ;2307 ;4 ;31;45;84;0,674 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;4,05 ;13,1 ;-1 ;3,41 ;-0,3 ;0 ;3,6;0,0;
1557 ;0:04,30 ;1984 ;4 ;31;45;88;0,676 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;3,51 ;13,1 ;-1 ;3,48 ;-0,3 ;0 ;3,2;0,0;
1557 ;0:04,40 ;1800 ;4 ;31;45;91;0,677 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;3,12 ;13,1 ;-1 ;3,50 ;0,0 ;0 ;2,7;0,0;
1557 ;0:04,50 ;1637 ;4 ;31;45;94;0,673 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;2,90 ;13,1 ;-1 ;3,50 ;0,0 ;0 ;2,4;0,0;
1557 ;0:04,60 ;1694 ;4 ;31;45;94;0,665 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,96 ;2,85 ;13,1 ;-1 ;3,50 ;0,5 ;0 ;2,5;0,0;
1557 ;0:04,70 ;1852 ;4 ;31;45;93;0,657 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;2,99 ;13,1 ;-1 ;3,50 ;0,5 ;0 ;2,7;0,0;
1557 ;0:04,80 ;1920 ;4 ;31;45;94;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;3,14 ;13,1 ;-1 ;3,50 ;1,0 ;0 ;2,9;0,0;
1557 ;0:04,90 ;2027 ;4 ;31;45;93;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;3,27 ;13,1 ;-1 ;3,50 ;1,0 ;0 ;2,9;0,0;
1557 ;0:05,00 ;2016 ;4 ;31;45;93;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;3,37 ;13,1 ;-1 ;3,50 ;1,3 ;0 ;3,1;0,0;
1557 ;0:05,10 ;2117 ;4 ;31;45;93;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;3,45 ;13,2 ;-1 ;3,50 ;1,3 ;0 ;3,1;0,0;
1557 ;0:05,20 ;2148 ;4 ;31;45;92;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;3,52 ;13,1 ;-1 ;3,50 ;1,5 ;0 ;3,3;0,0;
1557 ;0:05,30 ;2154 ;4 ;31;45;92;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;3,52 ;13,1 ;-1 ;3,50 ;1,5 ;0 ;3,2;0,0;
1557 ;0:05,40 ;2128 ;4 ;31;45;92;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;3,50 ;13,2 ;-1 ;3,50 ;1,7 ;0 ;3,2;0,0;
1557 ;0:05,50 ;2071 ;4 ;31;45;92;0,660 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;3,44 ;13,1 ;-1 ;3,50 ;1,7 ;0 ;3,2;0,0;
1557 ;0:05,60 ;2085 ;4 ;31;45;92;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;3,43 ;13,0 ;-1 ;3,50 ;2,0 ;0 ;3,2;0,0;
