SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1438 ;0:00,10 ;0 ;4 ;69;28;99;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,23 ;1,12 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1438 ;0:00,20 ;0 ;4 ;69;28;99;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,23 ;1,13 ;11,3 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1438 ;0:00,30 ;0 ;4 ;69;28;99;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,21 ;1,15 ;11,6 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1438 ;0:00,40 ;113 ;4 ;69;28;98;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,21 ;1,16 ;11,8 ;-1 ;4,65 ;14,4 ;0 ;0,0;0,0;
1438 ;0:00,50 ;443 ;4 ;69;28;99;0,657 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,18 ;11,5 ;-1 ;4,65 ;14,4 ;0 ;0,9;0,0;
1438 ;0:00,60 ;450 ;4 ;69;28;98;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,21 ;11,7 ;-1 ;4,65 ;17,0 ;0 ;0,9;0,0;
1438 ;0:00,70 ;451 ;43 ;69;28;99;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,21 ;11,6 ;-1 ;8,15 ;30,0 ;0 ;1,6;0,0;
1438 ;0:00,80 ;1319 ;54 ;69;29;98;0,624 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,24 ;11,2 ;-1 ;8,15 ;32,5 ;0 ;4,9;0,0;
1438 ;0:00,90 ;1407 ;54 ;69;29;98;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;1,28 ;10,9 ;-1 ;6,82 ;33,2 ;0 ;4,4;0,0;
1438 ;0:01,00 ;3092 ;42 ;69;28;98;0,531 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,91 ;12,0 ;-1 ;7,27 ;31,0 ;0 ;10,2;0,0;
1438 ;0:01,10 ;6081 ;57 ;69;28;97;0,569 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,02 ;12,4 ;-1 ;11,20 ;40,5 ;0 ;24,7;0,0;
