SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

1445 ;0:00,10 ;0 ;4 ;68;26;99;0,632 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,16 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1445 ;0:00,20 ;0 ;5 ;68;26;99;0,634 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,18 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1445 ;0:00,30 ;0 ;5 ;68;26;99;0,633 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,17 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
1445 ;0:00,40 ;132 ;5 ;68;26;99;0,629 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,26 ;1,18 ;11,5 ;-1 ;4,70 ;12,7 ;0 ;0,0;0,0;
1445 ;0:00,50 ;462 ;5 ;68;26;99;0,628 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,18 ;11,8 ;-1 ;4,70 ;12,7 ;0 ;0,9;0,0;
1445 ;0:00,60 ;462 ;5 ;68;26;99;0,629 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,21 ;11,6 ;-1 ;4,70 ;15,3 ;0 ;0,9;0,0;
1445 ;0:00,70 ;690 ;27 ;68;26;99;0,627 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,24 ;12,0 ;-1 ;8,25 ;30,0 ;0 ;1,7;0,0;
1445 ;0:00,80 ;1132 ;37 ;69;27;97;0,589 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;1,18 ;10,9 ;-1 ;8,25 ;29,6 ;0 ;4,3;0,0;
1445 ;0:00,90 ;1979 ;4 ;68;27;95;0,543 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,30 ;11,3 ;-1 ;6,82 ;15,3 ;0 ;4,2;0,0;
1445 ;0:01,00 ;1676 ;10 ;68;26;94;0,539 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,64 ;12,6 ;-1 ;5,78 ;15,3 ;0 ;4,7;0,0;
1445 ;0:01,10 ;1723 ;4 ;68;26;95;0,586 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,78 ;13,0 ;-1 ;6,08 ;14,9 ;0 ;4,9;0,0;
1445 ;0:01,20 ;1637 ;30 ;68;26;98;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,83 ;13,1 ;-1 ;6,16 ;34,0 ;0 ;4,7;0,0;
1445 ;0:01,30 ;2243 ;40 ;68;26;99;0,619 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,85 ;13,0 ;-1 ;6,08 ;34,0 ;0 ;5,3;0,0;
1445 ;0:01,40 ;4154 ;4 ;68;26;89;0,620 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,94 ;13,0 ;-1 ;6,12 ;29,4 ;0 ;13,1;0,0;
1445 ;0:01,50 ;4752 ;4 ;68;26;76;0,620 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;4,42 ;12,8 ;-1 ;4,64 ;34,8 ;0 ;9,9;0,0;
1445 ;0:01,60 ;5095 ;4 ;68;26;70;0,617 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;5,32 ;12,8 ;-1 ;4,07 ;36,7 ;0 ;10,2;0,0;
1445 ;0:01,70 ;5136 ;4 ;68;26;65;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,53 ;13,0 ;-1 ;3,03 ;35,2 ;0 ;8,2;0,0;
1445 ;0:01,80 ;5243 ;4 ;68;26;63;0,617 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,51 ;13,0 ;-1 ;2,85 ;34,6 ;0 ;7,1;0,0;
1445 ;0:01,90 ;5311 ;4 ;68;26;61;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;5,68 ;13,2 ;-1 ;2,66 ;34,0 ;0 ;6,7;0,0;
1445 ;0:02,00 ;5472 ;11 ;68;26;63;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;5,76 ;13,1 ;-1 ;2,76 ;34,5 ;0 ;6,7;0,0;
1445 ;0:02,10 ;6289 ;9 ;68;26;71;0,620 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,27 ;13,0 ;-1 ;3,67 ;37,2 ;0 ;10,1;0,0;
1445 ;0:02,20 ;7378 ;4 ;68;26;55;0,621 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,60 ;12,9 ;-1 ;2,37 ;36,5 ;0 ;8,1;0,0;
1445 ;0:02,30 ;7884 ;4 ;68;26;43;0,625 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,71 ;13,1 ;-1 ;2,34 ;33,6 ;0 ;8,4;0,0;
1445 ;0:02,40 ;7738 ;4 ;68;26;36;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,62 ;12,9 ;-1 ;2,16 ;30,1 ;0 ;8,1;0,0;
1445 ;0:02,50 ;6744 ;4 ;68;25;38;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,48 ;12,8 ;-1 ;2,26 ;30,3 ;0 ;7,3;0,0;
1445 ;0:02,60 ;6023 ;4 ;68;25;41;0,627 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,33 ;13,0 ;-1 ;2,32 ;30,1 ;0 ;6,6;0,0;
1445 ;0:02,70 ;5218 ;4 ;68;25;46;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,70 ;13,1 ;-1 ;2,71 ;29,6 ;0 ;6,5;0,0;
1445 ;0:02,80 ;4811 ;4 ;68;25;49;0,631 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,37 ;13,1 ;-1 ;2,74 ;27,9 ;0 ;6,3;0,0;
1445 ;0:02,90 ;4612 ;6 ;68;25;52;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;4,99 ;13,1 ;-1 ;2,65 ;26,7 ;0 ;5,7;0,0;
1445 ;0:03,00 ;4728 ;7 ;68;25;56;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,06 ;13,2 ;-1 ;2,75 ;28,9 ;0 ;5,9;0,0;
1445 ;0:03,10 ;4905 ;4 ;68;25;59;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,20 ;13,2 ;-1 ;2,83 ;32,1 ;0 ;6,3;0,0;
1445 ;0:03,20 ;5106 ;4 ;68;25;58;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;5,41 ;13,1 ;-1 ;2,83 ;33,0 ;0 ;6,7;0,0;
1445 ;0:03,30 ;5231 ;4 ;68;25;57;0,635 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,67 ;13,2 ;-1 ;2,77 ;32,8 ;0 ;6,7;0,0;
1445 ;0:03,40 ;5326 ;4 ;68;25;57;0,635 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,65 ;13,0 ;-1 ;2,70 ;32,8 ;0 ;6,6;0,0;
1445 ;0:03,50 ;5351 ;4 ;68;25;58;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;5,73 ;12,9 ;-1 ;2,67 ;33,1 ;0 ;6,6;0,0;
1445 ;0:03,60 ;5419 ;4 ;68;25;57;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;5,68 ;13,0 ;-1 ;2,64 ;32,9 ;0 ;6,6;0,0;
1445 ;0:03,70 ;5472 ;4 ;68;25;57;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,84 ;13,0 ;-1 ;2,60 ;32,9 ;0 ;6,6;0,0;
1445 ;0:03,80 ;5537 ;4 ;68;25;56;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,90 ;13,1 ;-1 ;2,57 ;32,7 ;0 ;6,5;0,0;
1445 ;0:03,90 ;5603 ;4 ;68;25;56;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,88 ;12,9 ;-1 ;2,52 ;32,7 ;0 ;6,5;0,0;
1445 ;0:04,00 ;5711 ;4 ;68;25;55;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,07 ;13,0 ;-1 ;2,47 ;32,5 ;0 ;6,5;0,0;
1445 ;0:04,10 ;5813 ;4 ;68;25;55;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,15 ;12,9 ;-1 ;2,39 ;32,6 ;0 ;6,4;0,0;
1445 ;0:04,20 ;5848 ;4 ;68;25;54;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,25 ;13,2 ;-1 ;2,38 ;32,4 ;0 ;6,4;0,0;
1445 ;0:04,30 ;5812 ;4 ;68;25;54;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,06 ;13,1 ;-1 ;2,40 ;32,4 ;0 ;6,4;0,0;
1445 ;0:04,40 ;5772 ;4 ;68;25;53;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,10 ;13,1 ;-1 ;2,44 ;32,1 ;0 ;6,5;0,0;
1445 ;0:04,50 ;5730 ;4 ;68;25;53;0,640 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,17 ;13,2 ;-1 ;2,47 ;32,0 ;0 ;6,5;0,0;
1445 ;0:04,60 ;5680 ;4 ;68;25;54;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,09 ;13,2 ;-1 ;2,49 ;32,3 ;0 ;6,5;0,0;
1445 ;0:04,70 ;5644 ;4 ;68;25;54;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,98 ;13,2 ;-1 ;2,52 ;32,3 ;0 ;6,5;0,0;
1445 ;0:04,80 ;5583 ;4 ;68;25;54;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;5,92 ;12,9 ;-1 ;2,56 ;32,2 ;0 ;6,6;0,0;
1445 ;0:04,90 ;5593 ;4 ;68;25;55;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;5,92 ;13,2 ;-1 ;2,54 ;32,4 ;0 ;6,6;0,0;
1445 ;0:05,00 ;5540 ;4 ;68;25;54;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;5,84 ;13,1 ;-1 ;2,59 ;32,2 ;0 ;6,5;0,0;
1445 ;0:05,10 ;5445 ;4 ;67;25;55;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;5,80 ;13,3 ;-1 ;2,64 ;32,3 ;0 ;6,6;0,0;
1445 ;0:05,20 ;5412 ;4 ;67;25;56;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,75 ;13,2 ;-1 ;2,65 ;32,6 ;0 ;6,6;0,0;
1445 ;0:05,30 ;5433 ;4 ;67;25;56;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;5,68 ;13,2 ;-1 ;2,64 ;32,6 ;0 ;6,6;0,0;
1445 ;0:05,40 ;5341 ;4 ;67;25;56;0,642 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,74 ;13,3 ;-1 ;2,70 ;32,5 ;0 ;6,6;0,0;
1445 ;0:05,50 ;5252 ;5 ;67;25;57;0,644 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;5,63 ;13,3 ;-1 ;2,75 ;32,8 ;1 ;6,6;0,0;
1445 ;0:05,60 ;4495 ;4 ;67;25;56;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;4,82 ;13,0 ;-1 ;2,60 ;25,9 ;0 ;5,9;0,0;
1445 ;0:05,70 ;4775 ;4 ;67;25;57;0,655 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;4,90 ;13,2 ;-1 ;2,78 ;29,8 ;0 ;5,9;0,0;
1445 ;0:05,80 ;4665 ;5 ;67;25;58;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;4,82 ;13,2 ;-1 ;2,71 ;28,7 ;0 ;5,8;0,0;
1445 ;0:05,90 ;4786 ;5 ;67;25;59;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,07 ;13,2 ;-1 ;2,78 ;30,5 ;0 ;6,1;0,0;
1445 ;0:06,00 ;4894 ;4 ;67;25;60;0,650 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,28 ;13,2 ;-1 ;2,82 ;32,2 ;0 ;6,3;0,0;
1445 ;0:06,10 ;5032 ;4 ;67;25;59;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,31 ;12,9 ;-1 ;2,86 ;33,3 ;0 ;6,6;0,0;
1445 ;0:06,20 ;5274 ;4 ;67;25;59;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;5,44 ;12,9 ;-1 ;2,71 ;33,4 ;0 ;6,6;0,0;
1445 ;0:06,30 ;5334 ;4 ;67;25;59;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,62 ;12,9 ;-1 ;2,67 ;33,4 ;0 ;6,6;0,0;
1445 ;0:06,40 ;5395 ;4 ;67;25;59;0,648 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,60 ;13,1 ;-1 ;2,63 ;33,4 ;0 ;6,6;0,0;
1445 ;0:06,50 ;5479 ;4 ;67;25;58;0,649 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,76 ;13,2 ;-1 ;2,59 ;33,1 ;0 ;6,5;0,0;
1445 ;0:06,60 ;5608 ;4 ;67;25;57;0,651 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,90 ;13,1 ;-1 ;2,51 ;32,9 ;0 ;6,5;0,0;
1445 ;0:06,70 ;5681 ;4 ;67;25;56;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;5,93 ;13,0 ;-1 ;2,47 ;32,7 ;0 ;6,4;0,0;
1445 ;0:06,80 ;5765 ;4 ;67;25;55;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,05 ;13,1 ;-1 ;2,43 ;32,6 ;0 ;6,4;0,0;
1445 ;0:06,90 ;5817 ;4 ;67;25;55;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,14 ;13,3 ;-1 ;2,39 ;32,6 ;0 ;6,4;0,0;
1445 ;0:07,00 ;5844 ;4 ;67;25;54;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,14 ;12,9 ;-1 ;2,38 ;32,4 ;0 ;6,4;0,0;
1445 ;0:07,10 ;5815 ;4 ;67;25;54;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,10 ;13,2 ;-1 ;2,40 ;32,4 ;0 ;6,4;0,0;
1445 ;0:07,20 ;5744 ;4 ;67;25;54;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,97 ;13,1 ;-1 ;2,45 ;32,3 ;0 ;6,4;0,0;
1445 ;0:07,30 ;5656 ;5 ;67;25;54;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,91 ;13,1 ;-1 ;2,51 ;32,3 ;0 ;6,5;0,0;
1445 ;0:07,40 ;5592 ;5 ;67;25;55;0,656 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,92 ;13,3 ;-1 ;2,54 ;32,4 ;0 ;6,5;0,0;
1445 ;0:07,50 ;5587 ;4 ;67;25;55;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,81 ;13,1 ;-1 ;2,55 ;32,4 ;0 ;6,5;0,0;
1445 ;0:07,60 ;5590 ;4 ;67;25;55;0,657 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;5,77 ;13,2 ;-1 ;2,54 ;32,4 ;0 ;6,6;0,0;
1445 ;0:07,70 ;5500 ;4 ;67;25;55;0,660 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;5,76 ;12,9 ;-1 ;2,60 ;32,4 ;0 ;6,5;0,0;
1445 ;0:07,80 ;5535 ;4 ;67;25;56;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,79 ;13,3 ;-1 ;2,57 ;32,7 ;0 ;6,5;0,0;
1445 ;0:07,90 ;5613 ;4 ;67;25;56;0,659 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,82 ;13,2 ;-1 ;2,52 ;32,7 ;0 ;6,5;0,0;
1445 ;0:08,00 ;5553 ;4 ;67;25;56;0,656 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,80 ;13,1 ;-1 ;2,56 ;32,7 ;0 ;6,6;0,0;
1445 ;0:08,10 ;5555 ;4 ;67;25;56;0,660 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;5,78 ;13,2 ;-1 ;2,56 ;32,7 ;0 ;6,5;0,0;
1445 ;0:08,20 ;5634 ;4 ;67;25;56;0,662 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;5,86 ;13,1 ;-1 ;2,50 ;32,7 ;0 ;6,5;0,0;
1445 ;0:08,30 ;5634 ;5 ;67;25;56;0,658 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,92 ;13,2 ;-1 ;2,50 ;32,7 ;0 ;6,5;0,0;
1445 ;0:08,40 ;5582 ;4 ;67;25;55;0,661 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,80 ;13,2 ;-1 ;2,55 ;32,4 ;0 ;6,5;0,0;
1445 ;0:08,50 ;5530 ;4 ;67;25;56;0,662 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,77 ;13,1 ;-1 ;2,57 ;32,7 ;0 ;6,5;0,0;
