"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|50,"RUD_Speed"|"km/h"|-30|250|50,"LD_Speed"|"km/h"|-30|250|50,"LUD_Speed"|"km/h"|-30|250|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
16064,1625578024874,,,,,,,,0.05,-0.04,1.69,-0,-4,-4,0.07,,60,4641,7,26,54,0.619,0.0,581,4.84,13.4,0.0,1,27.3,1.54,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16084,1625578024894,,,,,,,,0.11,-0.1,1.55,-0,-4,-5,0.15,,60,4663,7,26,54,0.62,0.0,579,4.83,13.4,0.0,1,27.5,2.7,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16104,1625578024914,,,,,,,,0.13,-0.1,1.42,0,-3,-3,0.16,,60,4619,7,26,54,0.619,0.0,585,4.82,13.3,0.0,1,27.0,2.67,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16124,1625578024934,,,,,,,,0.09,-0.08,1.3,0,-0,0,0.12,,60,4687,7,26,54,0.619,0.0,576,4.82,13.4,0.0,1,27.8,1.57,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16144,1625578024954,4,4,43,45,35,33,0,0.02,-0.07,1.36,0,1,1,0.07,1,60,4643,7,26,54,0.619,0.0,583,4.79,13.3,0.0,1,27.3,1.54,5.7,0,0,0,1,0,0,250,250,0,52.957336,6.522213,0.0,36.8,8,2,1.9,0,0.0,-1,0.0,,0.0,0,0.0,0.2691
16164,1625578024974,,,,,,,,-0.06,-0.08,1.58,0,2,2,0.1,,60,4671,7,26,54,0.619,0.0,583,4.81,13.2,0.0,1,27.6,2.71,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16184,1625578024994,,,,,,,,-0.09,-0.04,1.78,0,0,-1,0.1,,60,4659,7,26,54,0.619,0.0,579,4.79,13.2,0.0,1,27.5,2.7,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16204,1625578025006,,,,,,,,-0.13,-0.01,1.97,-0,-1,-2,0.13,,60,4563,7,26,54,0.619,0.0,580,4.83,13.1,0.0,1,26.3,1.48,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16224,1625578025026,,,,,,,,-0.11,0.01,2.14,-0,-4,-4,0.11,,60,4653,7,26,54,0.619,0.0,572,4.81,13.2,0.0,1,27.4,2.7,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
16244,1625578025046,3,3,43,45,35,33,1,-0.04,-0.0,2.17,-0,-5,-5,0.04,1,60,4604,7,26,54,0.619,0.0,576,4.81,13.4,0.0,1,26.8,2.66,5.7,0,0,0,1,0,0,250,250,0,52.957336,6.522213,0.0,36.8,8,2,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.2707
