SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

914 ;0:00,10 ;0 ;27 ;69;29;99;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,16 ;12,3 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
914 ;0:00,20 ;0 ;27 ;69;29;99;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,18 ;12,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
914 ;0:00,30 ;0 ;27 ;69;29;99;0,629 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,21 ;12,3 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
914 ;0:00,40 ;137 ;27 ;69;29;99;0,628 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,24 ;12,3 ;-1 ;4,65 ;30,0 ;0 ;0,0;0,0;
914 ;0:00,50 ;480 ;27 ;69;29;99;0,628 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,24 ;12,2 ;-1 ;4,65 ;30,0 ;0 ;1,0;0,0;
914 ;0:00,60 ;482 ;44 ;69;29;99;0,626 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,26 ;12,0 ;-1 ;8,15 ;30,0 ;0 ;1,0;0,0;
914 ;0:00,70 ;471 ;51 ;69;29;99;0,628 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,26 ;12,2 ;-1 ;8,15 ;30,0 ;0 ;1,7;0,0;
914 ;0:00,80 ;823 ;18 ;69;29;98;0,623 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,28 ;12,1 ;-1 ;8,03 ;30,0 ;0 ;2,2;0,0;
914 ;0:00,90 ;1001 ;38 ;69;29;98;0,609 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;1,35 ;12,0 ;-1 ;7,93 ;30,0 ;0 ;3,6;0,0;
914 ;0:01,00 ;578 ;50 ;69;30;98;0,566 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,21 ;11,2 ;-1 ;6,86 ;30,0 ;0 ;1,8;0,0;
914 ;0:01,10 ;536 ;13 ;69;30;98;0,533 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,26 ;11,3 ;-1 ;6,76 ;30,0 ;0 ;1,6;0,0;
914 ;0:01,20 ;1930 ;16 ;69;30;94;0,536 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,58 ;11,7 ;-1 ;5,74 ;28,5 ;0 ;5,3;0,0;
914 ;0:01,30 ;3563 ;34 ;69;29;97;0,552 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;2,45 ;12,6 ;-1 ;8,85 ;30,8 ;0 ;12,9;0,0;
914 ;0:01,40 ;6332 ;20 ;69;29;91;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,40 ;12,6 ;-1 ;8,53 ;43,1 ;0 ;26,5;0,0;
914 ;0:01,50 ;7211 ;7 ;69;29;64;0,588 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,67 ;12,6 ;-1 ;3,81 ;39,0 ;0 ;14,1;0,0;
914 ;0:01,60 ;7083 ;7 ;69;29;52;0,592 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,59 ;12,6 ;-1 ;2,39 ;35,2 ;0 ;8,0;0,0;
914 ;0:01,70 ;7017 ;7 ;69;29;44;0,598 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,63 ;13,4 ;-1 ;2,26 ;32,5 ;0 ;7,3;0,0;
914 ;0:01,80 ;6788 ;12 ;69;29;42;0,598 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,58 ;13,5 ;-1 ;2,29 ;31,5 ;0 ;7,2;0,0;
914 ;0:01,90 ;7278 ;27 ;69;29;69;0,598 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,68 ;13,5 ;-1 ;4,03 ;40,3 ;0 ;12,1;0,0;
914 ;0:02,00 ;8074 ;29 ;69;29;81;0,599 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,80 ;13,3 ;-1 ;4,90 ;37,3 ;0 ;17,4;0,0;
914 ;0:02,10 ;10521 ;7 ;69;29;53;0,595 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;7,23 ;13,3 ;-1 ;3,42 ;39,7 ;0 ;18,0;0,0;
914 ;0:02,20 ;9780 ;7 ;69;29;37;0,585 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;7,16 ;13,3 ;-1 ;2,60 ;31,4 ;0 ;11,8;0,0;
914 ;0:02,30 ;8700 ;7 ;69;29;32;0,576 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,96 ;13,4 ;-1 ;2,45 ;30,0 ;0 ;10,1;0,0;
914 ;0:02,40 ;7684 ;7 ;69;28;32;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,71 ;13,5 ;-1 ;1,95 ;29,0 ;0 ;7,2;0,0;
914 ;0:02,50 ;6776 ;7 ;69;28;35;0,576 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,64 ;13,5 ;-1 ;2,10 ;29,6 ;0 ;6,4;0,0;
