SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

916 ;0:00,10 ;0 ;7 ;62;27;99;0,592 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,15 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
916 ;0:00,20 ;0 ;7 ;62;27;99;0,592 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,15 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
916 ;0:00,30 ;0 ;7 ;62;27;98;0,593 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,13 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
916 ;0:00,40 ;137 ;7 ;62;27;98;0,593 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;2,35 ;1,16 ;11,9 ;-1 ;4,70 ;18,2 ;0 ;0,0;0,0;
916 ;0:00,50 ;478 ;7 ;62;27;99;0,591 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,18 ;11,7 ;-1 ;4,70 ;18,2 ;0 ;1,0;0,0;
916 ;0:00,60 ;479 ;29 ;62;27;99;0,590 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,19 ;11,9 ;-1 ;8,25 ;30,0 ;0 ;1,0;0,0;
916 ;0:00,70 ;478 ;70 ;62;27;99;0,588 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,21 ;11,7 ;-1 ;8,25 ;30,0 ;0 ;1,8;0,0;
916 ;0:00,80 ;480 ;56 ;62;27;99;0,590 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,22 ;11,5 ;-1 ;8,13 ;30,0 ;0 ;1,7;0,0;
916 ;0:00,90 ;1416 ;7 ;62;27;96;0,585 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,31 ;11,7 ;-1 ;7,93 ;20,0 ;0 ;2,5;0,0;
916 ;0:01,00 ;892 ;6 ;62;27;96;0,556 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,31 ;10,8 ;-1 ;6,63 ;20,0 ;0 ;3,3;0,0;
916 ;0:01,10 ;2019 ;7 ;62;27;91;0,537 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,68 ;12,1 ;-1 ;5,63 ;20,0 ;0 ;4,7;0,0;
916 ;0:01,20 ;3322 ;35 ;62;27;96;0,557 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;2,32 ;12,7 ;-1 ;8,25 ;29,5 ;0 ;7,3;0,0;
916 ;0:01,30 ;5803 ;31 ;62;27;95;0,581 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;5,95 ;13,0 ;-1 ;9,86 ;40,4 ;0 ;17,2;0,0;
916 ;0:01,40 ;7473 ;7 ;62;27;67;0,589 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,68 ;13,0 ;-1 ;4,84 ;39,3 ;0 ;20,9;0,0;
916 ;0:01,50 ;6959 ;7 ;62;27;52;0,591 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,59 ;13,0 ;-1 ;2,57 ;35,0 ;0 ;10,2;0,0;
916 ;0:01,60 ;6818 ;7 ;62;27;46;0,597 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,63 ;13,2 ;-1 ;2,28 ;32,6 ;0 ;7,1;0,0;
916 ;0:01,70 ;6715 ;7 ;62;27;42;0,597 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,54 ;13,2 ;-1 ;2,31 ;31,3 ;0 ;7,2;0,0;
916 ;0:01,80 ;6512 ;17 ;62;27;43;0,596 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,57 ;13,2 ;-1 ;2,54 ;31,3 ;0 ;7,1;0,0;
916 ;0:01,90 ;6865 ;37 ;62;26;85;0,595 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,55 ;13,0 ;-1 ;4,72 ;45,7 ;0 ;10,1;0,0;
916 ;0:02,00 ;7183 ;7 ;62;26;67;0,596 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,66 ;13,2 ;-1 ;3,31 ;40,0 ;0 ;12,6;0,0;
916 ;0:02,10 ;8205 ;7 ;62;26;48;0,596 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,85 ;13,1 ;-1 ;2,59 ;36,8 ;0 ;8,4;0,0;
