SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

931 ;0:00,10 ;9551 ;13 ;75;29;39;0,594 ;3,7 ;3,5 ;3,7 ;3,5 ;0 ;4,68 ;6,93 ;13,6 ;-2 ;2,77 ;32,0 ;0 ;12,1;336,1;
931 ;0:00,20 ;9075 ;7 ;75;29;32;0,596 ;3,7 ;3,6 ;3,7 ;3,6 ;0 ;4,73 ;6,84 ;13,7 ;-2 ;2,46 ;30,0 ;0 ;10,3;278,3;
931 ;0:00,30 ;7822 ;7 ;75;29;31;0,597 ;3,8 ;3,6 ;3,8 ;3,6 ;0 ;4,74 ;6,65 ;13,6 ;-2 ;1,98 ;28,6 ;0 ;10,3;278,3;
931 ;0:00,40 ;6756 ;7 ;75;29;34;0,594 ;3,8 ;3,6 ;3,8 ;3,7 ;0 ;4,81 ;6,42 ;13,8 ;-2 ;2,05 ;29,3 ;0 ;6,4;168,4;
931 ;0:00,50 ;6025 ;7 ;75;29;36;0,595 ;3,8 ;3,7 ;3,8 ;3,7 ;0 ;4,80 ;6,03 ;13,8 ;-2 ;2,14 ;29,2 ;0 ;6,4;168,4;
931 ;0:00,60 ;5152 ;7 ;75;29;42;0,601 ;3,7 ;3,6 ;3,8 ;3,7 ;0 ;4,79 ;5,21 ;13,5 ;0 ;2,64 ;28,4 ;0 ;5,9;155,2;
931 ;0:00,70 ;4533 ;7 ;75;29;46;0,602 ;3,6 ;3,7 ;3,6 ;3,7 ;0 ;4,79 ;4,46 ;13,6 ;-2 ;2,54 ;23,6 ;0 ;6,3;170,2;
931 ;0:00,80 ;4195 ;13 ;75;29;53;0,597 ;2,9 ;2,9 ;3,0 ;3,2 ;0 ;4,80 ;3,92 ;13,8 ;6 ;3,57 ;21,4 ;0 ;6,9;237,9;
931 ;0:00,90 ;4478 ;15 ;75;29;68;0,597 ;2,3 ;2,4 ;2,4 ;2,6 ;0 ;4,79 ;4,06 ;13,8 ;4 ;4,69 ;29,0 ;0 ;9,7;421,7;
931 ;0:01,00 ;4925 ;7 ;76;29;65;0,598 ;2,3 ;2,4 ;1,7 ;1,9 ;0 ;4,85 ;4,62 ;13,8 ;-25 ;4,64 ;34,2 ;0 ;9,7;421,7;
931 ;0:01,10 ;4574 ;7 ;76;30;62;0,595 ;1,5 ;1,6 ;1,7 ;1,9 ;0 ;4,80 ;4,46 ;13,8 ;12 ;3,93 ;28,6 ;0 ;8,3;0,0;
931 ;0:01,20 ;4361 ;8 ;76;30;61;0,591 ;1,5 ;1,6 ;1,7 ;1,9 ;0 ;4,76 ;4,11 ;13,6 ;12 ;3,62 ;25,6 ;0 ;7,3;0,0;
931 ;0:01,30 ;4437 ;16 ;76;30;69;0,591 ;1,5 ;1,6 ;1,7 ;1,9 ;0 ;4,82 ;4,03 ;13,8 ;12 ;4,08 ;28,6 ;0 ;7,3;0,0;
