SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

934 ;0:00,10 ;0 ;38 ;68;33;100;0,629 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,18 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
934 ;0:00,20 ;0 ;37 ;68;33;100;0,632 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,18 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
934 ;0:00,30 ;0 ;37 ;68;33;100;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,21 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
934 ;0:00,40 ;135 ;38 ;68;33;100;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;2,42 ;1,21 ;12,0 ;-1 ;4,61 ;30,0 ;0 ;0,0;0,0;
934 ;0:00,50 ;480 ;43 ;68;33;100;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,21 ;11,8 ;-1 ;8,08 ;30,0 ;0 ;0,9;0,0;
934 ;0:00,60 ;491 ;35 ;68;33;100;0,630 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,22 ;11,6 ;-1 ;7,96 ;30,0 ;0 ;1,6;0,0;
934 ;0:00,70 ;1396 ;47 ;68;34;100;0,622 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,35 ;11,8 ;-1 ;8,08 ;33,1 ;0 ;2,4;0,0;
934 ;0:00,80 ;924 ;52 ;69;34;98;0,580 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,28 ;10,8 ;-1 ;6,76 ;30,0 ;0 ;4,1;0,0;
934 ;0:00,90 ;2508 ;24 ;68;34;97;0,544 ;0,0 ;0,0 ;0,0 ;35,4 ;0 ;4,77 ;1,79 ;11,8 ;-1 ;5,74 ;32,6 ;0 ;5,9;0,0;
934 ;0:01,00 ;5131 ;34 ;68;33;96;0,556 ;0,0 ;0,0 ;0,0 ;222,5 ;0 ;4,77 ;3,87 ;12,4 ;0 ;7,05 ;42,4 ;0 ;13,8;0,0;
934 ;0:01,10 ;8074 ;46 ;68;33;94;0,589 ;0,0 ;0,0 ;0,0 ;19,2 ;0 ;4,74 ;6,80 ;12,3 ;-1 ;10,02 ;36,7 ;0 ;29,8;0,0;
934 ;0:01,20 ;9590 ;7 ;68;33;63;0,603 ;0,0 ;0,0 ;0,0 ;19,2 ;0 ;4,74 ;7,14 ;12,9 ;-1 ;4,84 ;41,4 ;0 ;42,9;0,0;
934 ;0:01,30 ;8589 ;7 ;68;33;43;0,602 ;0,0 ;0,0 ;0,0 ;0,9 ;0 ;4,79 ;6,94 ;13,1 ;-1 ;2,82 ;34,5 ;0 ;16,2;0,0;
