SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

945 ;0:00,10 ;0 ;38 ;25;27;100;0,525 ;0,0 ;0,0 ;1,0 ;0,0 ;0 ;1,00 ;1,10 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
945 ;0:00,20 ;0 ;38 ;25;27;100;0,520 ;0,0 ;0,0 ;1,0 ;0,0 ;0 ;1,00 ;1,10 ;12,1 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
945 ;0:00,30 ;0 ;39 ;25;27;100;0,516 ;0,0 ;0,0 ;1,0 ;0,0 ;0 ;1,00 ;1,10 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
945 ;0:00,40 ;454 ;35 ;25;27;100;0,519 ;0,0 ;0,0 ;1,0 ;0,0 ;0 ;4,47 ;1,12 ;11,8 ;-1 ;9,51 ;30,0 ;0 ;0,0;0,0;
945 ;0:00,50 ;478 ;35 ;25;27;100;0,523 ;0,0 ;0,0 ;1,0 ;0,0 ;0 ;4,80 ;1,13 ;11,7 ;-1 ;9,51 ;30,0 ;0 ;1,9;0,0;
945 ;0:00,60 ;476 ;49 ;25;27;100;0,523 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,08 ;11,5 ;-1 ;17,87 ;30,0 ;0 ;1,9;0,0;
945 ;0:00,70 ;450 ;50 ;25;27;100;0,522 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,13 ;11,7 ;-1 ;17,87 ;30,0 ;0 ;3,9;0,0;
945 ;0:00,80 ;441 ;41 ;25;27;100;0,521 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;1,12 ;11,5 ;-1 ;17,59 ;30,0 ;0 ;3,9;0,0;
945 ;0:00,90 ;649 ;50 ;25;27;101;0,522 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,16 ;12,0 ;-1 ;17,87 ;30,0 ;0 ;3,5;0,0;
945 ;0:01,00 ;861 ;50 ;25;27;99;0,516 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,13 ;11,4 ;-1 ;17,87 ;30,0 ;0 ;8,7;0,0;
945 ;0:01,10 ;518 ;41 ;26;27;99;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;1,10 ;10,6 ;-1 ;15,53 ;30,0 ;0 ;4,7;0,0;
945 ;0:01,20 ;542 ;45 ;25;27;99;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,17 ;10,3 ;-1 ;13,30 ;30,0 ;0 ;3,7;0,0;
945 ;0:01,30 ;1723 ;45 ;26;27;98;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;1,80 ;10,9 ;-1 ;12,80 ;34,0 ;0 ;4,4;0,0;
945 ;0:01,40 ;1031 ;19 ;25;27;99;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;2,16 ;11,9 ;-1 ;11,29 ;30,2 ;0 ;9,7;0,0;
945 ;0:01,50 ;581 ;10 ;25;27;100;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,75 ;11,6 ;-1 ;10,83 ;1,9 ;0 ;5,3;0,0;
945 ;0:01,60 ;481 ;11 ;25;27;100;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,58 ;11,4 ;-1 ;10,83 ;1,9 ;0 ;2,9;0,0;
945 ;0:01,70 ;0 ;64 ;25;27;100;0,561 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,48 ;11,5 ;-1 ;10,32 ;1,9 ;0 ;2,9;0,0;
945 ;0:01,80 ;0 ;63 ;25;27;100;0,560 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,48 ;11,7 ;-1 ;10,32 ;1,9 ;0 ;2,9;0,0;
