SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

950 ;0:00,10 ;0 ;7 ;69;39;100;0,528 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,21 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
950 ;0:00,20 ;0 ;7 ;69;39;100;0,528 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,21 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
950 ;0:00,30 ;0 ;7 ;69;39;100;0,528 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,21 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
950 ;0:00,40 ;138 ;7 ;69;39;99;0,529 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;3,71 ;1,23 ;12,0 ;-1 ;4,55 ;16,5 ;0 ;0,0;0,0;
950 ;0:00,50 ;492 ;7 ;69;39;100;0,532 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,23 ;11,8 ;-1 ;4,55 ;16,5 ;0 ;0,9;0,0;
950 ;0:00,60 ;1383 ;7 ;69;39;98;0,537 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,33 ;11,8 ;-1 ;4,55 ;20,0 ;0 ;0,9;0,0;
950 ;0:00,70 ;1211 ;6 ;69;39;95;0,525 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,36 ;11,5 ;-1 ;4,55 ;20,0 ;0 ;3,1;0,0;
950 ;0:00,80 ;1681 ;36 ;69;39;100;0,524 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,76 ;12,5 ;-1 ;5,95 ;34,0 ;0 ;3,4;0,0;
950 ;0:00,90 ;3234 ;45 ;69;39;99;0,535 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;2,32 ;12,5 ;-1 ;8,30 ;31,0 ;0 ;6,1;0,0;
950 ;0:01,00 ;4364 ;7 ;69;39;89;0,552 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;3,82 ;13,0 ;-1 ;6,71 ;32,7 ;0 ;15,5;0,0;
950 ;0:01,10 ;4638 ;7 ;69;39;76;0,557 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;4,67 ;13,0 ;-1 ;4,95 ;33,2 ;0 ;12,2;0,0;
950 ;0:01,20 ;4503 ;7 ;69;39;69;0,561 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;4,73 ;13,1 ;-1 ;4,30 ;29,5 ;0 ;10,0;0,0;
950 ;0:01,30 ;4436 ;33 ;69;39;82;0,565 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;4,52 ;12,8 ;-1 ;5,47 ;31,9 ;0 ;8,3;0,0;
950 ;0:01,40 ;7338 ;44 ;69;39;96;0,565 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,65 ;13,0 ;-1 ;8,31 ;45,1 ;0 ;17,6;0,0;
950 ;0:01,50 ;8869 ;7 ;69;39;62;0,559 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,99 ;12,9 ;-1 ;5,26 ;41,1 ;0 ;38,9;0,0;
950 ;0:01,60 ;7838 ;7 ;69;39;46;0,557 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,86 ;12,8 ;-1 ;3,12 ;35,3 ;0 ;18,2;0,0;
950 ;0:01,70 ;6868 ;7 ;69;38;43;0,562 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,65 ;13,1 ;-1 ;2,91 ;31,9 ;0 ;10,4;0,0;
950 ;0:01,80 ;5894 ;7 ;69;38;45;0,570 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,35 ;13,1 ;-1 ;2,92 ;30,6 ;0 ;8,6;0,0;
950 ;0:01,90 ;4972 ;7 ;69;38;49;0,574 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,57 ;13,1 ;-1 ;2,77 ;29,8 ;0 ;8,0;0,0;
950 ;0:02,00 ;4451 ;7 ;69;38;50;0,577 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;4,93 ;13,0 ;-1 ;2,47 ;23,8 ;0 ;5,6;0,0;
950 ;0:02,10 ;4229 ;8 ;69;38;52;0,577 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;4,42 ;13,1 ;-1 ;2,35 ;21,5 ;0 ;4,6;0,0;
950 ;0:02,20 ;4810 ;28 ;69;38;77;0,577 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;4,98 ;12,9 ;-1 ;5,47 ;35,9 ;0 ;4,8;0,0;
950 ;0:02,30 ;6939 ;32 ;69;38;91;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,57 ;12,9 ;-1 ;7,12 ;49,3 ;0 ;16,4;0,0;
950 ;0:02,40 ;10016 ;7 ;69;38;59;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;7,15 ;12,9 ;-1 ;3,76 ;40,7 ;0 ;31,9;0,0;
950 ;0:02,50 ;9323 ;7 ;69;38;38;0,565 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;7,07 ;13,0 ;-1 ;2,68 ;31,7 ;0 ;12,5;0,0;
950 ;0:02,60 ;8259 ;7 ;69;38;35;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,97 ;13,0 ;-1 ;2,31 ;30,3 ;0 ;10,7;0,0;
950 ;0:02,70 ;7225 ;7 ;69;37;35;0,563 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,71 ;13,0 ;-1 ;2,08 ;29,8 ;0 ;7,4;0,0;
